1499,1499,Shakir Mohamed,DeepMind,Finale P Doshi-Velez,Harvard,Matrix Completion with Quantified Uncertainty through Low Rank Gaussian Copula.
1500,1500,Kevin G Waugh,University of Alberta,Michael Bowling,DeepMind / University of Alberta,Learning to Prove Theorems by Learning to Generate Theorems.
1501,1501,Matthew Wilder,University of Colorado at Boulder,Mike Mozer,Google Research and U. Colorado Boulder,CHIP: A Hawkes Process Model for Continuous-time Networks with Scalable and Consistent Estimation.
1502,1502,Arthur Gretton,"Gatsby Unit, UCL",Bharath Sriperumbudur,The Pennsylvania State University,Probabilistic Inference with Algebraic Constraints: Theoretical Limits and Practical Approximations.
1503,1503,Bernhard Nessler,TU-Graz,Wolfgang Maass,Graz University of Technology,Reasoning about Uncertainties in Discrete-Time Dynamical Systems using Polynomial Forms..
1504,1504,Liam MacDermed,Google,Charles Isbell,Georgia Tech,Taming Discrete Integration via the Boon of Dimensionality.
1505,1505,Charles Kemp,Carnegie Mellon University,Charles Kemp,Carnegie Mellon University,Belief Propagation Neural Networks.
1506,1506,Pari Ram,IBM Research,Alexander Gray,Skytree Inc. and Georgia Tech,Scalable Belief Propagation via Relaxed Scheduling.
1507,1507,Edward Vul,Massachusetts Institute of Technology,Josh Tenenbaum,MIT,Probabilistic Circuits for Variational Inference in Discrete Graphical Models.
1508,1508,Amarnag Subramanya,Google Inc.,Jeff A Bilmes,"University of Washington, Seattle",Towards Scalable Bayesian Learning of Causal DAGs.
1509,1509,Wu-Jun Li,Nanjing University,Zhihua Zhang,Shanghai Jiao Tong University,A Novel Approach for Constrained Optimization in Graphical Models.
1510,1510,Joel Veness,DeepMind,Alan Blair,None,DAGs with No Fears: A Closer Look at Continuous Optimization for Learning Bayesian Networks.
1511,1511,Aaron Courville,U. Montreal,Aaron Courville,U. Montreal,Factor Graph Grammars.
1512,1512,Rob Fergus,DeepMind / NYU,Antonio Torralba,Massachusetts Institute of Technology,Efficient Learning of Discrete Graphical Models.
1513,1513,Jack Culpepper,UC Berkeley,Bruno Olshausen,Redwood Center/UC Berkeley,Online Bayesian Goal Inference for Boundedly Rational Planning Agents.
1514,1514,Lei ShiUpdateMe,"University of California, Berkeley",Tom Griffiths,Princeton,Greedy inference with structure-exploiting lazy maps.
1515,1515,Nino Shervashidze,"INRIA, Laboratoire d'Informatique de l'ENS",Karsten Borgwardt,ETH Zurich,Biologically Inspired Mechanisms for Adversarial Robustness.
1516,1516,Tai Sing Lee,Carnegie Mellon University,Tai Sing Lee,Carnegie Mellon University,Bayes Consistency vs. H-Consistency: The Interplay between Surrogate Loss Functions and the Scoring Function Class.
1517,1517,Lei ShiUpdateMe,"University of California, Berkeley",Tom Griffiths,Princeton,Training Normalizing Flows with the Information Bottleneck for Competitive Generative Classification.
1518,1518,Stephen Gould,ANU,Daphne Koller,insitro,Meta-Learning Stationary Stochastic Process Prediction with Convolutional Neural Processes.
