,first-author,,first-author-affiliation,last-author,,last-author-affiliation,title
379,Serban A Stan,Male,Yale,Amin Karbasi,Male,Yale,Probabilistic Submodular Maximization in Sub-Linear Time
380,David Silver,Male,Google DeepMind,Thomas Degris,Male,DeepMind,The Predictron:  End-To-End Learning and Planning
381,Yi-An Ma,Male,University of Washington,Emily Fox,Female,University of Washington,Stochastic Gradient MCMC Methods for Hidden Markov Models
382,Bryant Chen,Male,IBM Research,Elias Bareinboim,Male,Purdue,Identification and Model Testing in Linear Structural Equation Models using Auxiliary Variables
383,Rongda Zhu,Male,Facebook,Quanquan Gu,Male,University of Virginia,High-Dimensional Variance-Reduced Stochastic Gradient Expectation-Maximization Algorithm
384,Kazuya Kakizaki,Male,University of Tsukuba / NEC,Jun Sakuma,Male,University of Tsukuba / RIKEN AIP,Differentially Private Chi-squared Test by Unit Circle Mechanism
385,Marco Cuturi,Male,ENSAE / CREST,Mathieu Blondel,Male,NTT,Soft-DTW: a Differentiable Loss Function for Time-Series
386,Miltos Allamanis,Male,Microsoft Research,Charles Sutton,Male,University of Edinburgh,Learning Continuous Semantic Representations of Symbolic Expressions
387,RAJIV KHANNA,Male,UT Austin,Sahand Negahban,Male,YALE,On Approximation Guarantees for Greedy Low Rank Optimization
388,Oron Anschel,Male,Technion,Nahum Shimkin,Male,Technion,Averaged-DQN: Variance Reduction and Stabilization for Deep Reinforcement Learning
389,Yulai Cong,Male,Xidian University,Mingyuan Zhou,Male,University of Texas at Austin,Deep Latent Dirichlet Allocation with Topic-Layer-Adaptive Stochastic Gradient Riemannian MCMC
390,Uri Shalit,Male,NYU,David Sontag,Male,Massachusetts Institute of Technology,Estimating individual treatment effect: generalization bounds and algorithms
391,Kai Zheng,Male,Peking University,Liwei Wang,Male,Peking University,"Collect at Once, Use Effectively: Making Non-interactive Locally Private Learning Possible"
392,Yichen Wang,Male,Gatech,Le Song,Male,Georgia Institute of Technology,Variational Policy for Guiding Point Processes
393,Chris Donahue,Male,"University of California, San Diego",Julian McAuley,Male,UCSD,Dance Dance Convolution
394,Yann Dauphin,Male,Facebook AI Research,David Grangier,Male,Facebook,Language Modeling with Gated Convolutional Networks
395,Baharan Mirzasoleiman,Male,ETH Zurich,Andreas Krause,Male,ETH Zurich,"Deletion-Robust Submodular Maximization: Data Summarization with ""the Right to be Forgotten"""
396,Sasha Vezhnevets,Female,DeepMind,koray kavukcuoglu,Male,DeepMind,FeUdal Networks for Hierarchical Reinforcement Learning
397,Erik Daxberger,Male,Ludwig-Maximilians-Universität München,Bryan Kian Hsiang Low,Male,National University of Singapore,Distributed Batch Gaussian Process Optimization
398,Nathan Kallus,Male,Cornell University,Nathan Kallus,Male,Cornell University,Recursive Partitioning for Personalization using Observational Data
