,first-author-affiliation,last-author-affiliation,title
0," Bren School of Information and Computer Science, University of California Irvine, Irvine, CA"," Bren School of Information and Computer Science, University of California Irvine, Irvine, CA",Bayesian matrix factorization with side information and dirichlet process mixtures
1," Dept. of Computer Science, University of California, Davis"," Dept. of Computer Science, University of California, Davis",Semi-supervised dimension reduction for multi-label classification
2," Department of Computer Science, Purdue University, West Lafayette, IN"," Department of Computer Science, Purdue University, West Lafayette, IN",Non-negative matrix factorization clustering on multiple manifolds
3," IBM Research - China, Beijing, China"," IBM Research - China, Beijing, China",Constrained co-clustering for textual documents
4," National Key Laboratory for Novel Software Technology, Nanjing University, China"," National Key Laboratory for Novel Software Technology, Nanjing University, China",Multi-instance dimensionality reduction
5," National Key Laboratory for Novel Software Technology, Nanjing University, Nanjing, China"," National Key Laboratory for Novel Software Technology, Nanjing University, Nanjing, China",Multi-label learning with weak label
6," Key Laboratory of Intelligent Information Processing, Institute of Computing Technology, Chinese Academy of Sciences, China and Graduate University of Chinese Academy of Sciences, China"," Graduate University of Chinese Academy of Sciences, China",Nonparametric curve extraction based on ant colony system
7, University of NSW & NICTA, University College London,Reinforcement learning via AIXI approximation
8," Department of Computer Science, Rutgers University, Piscataway, NJ"," Department of Computer Science, Rutgers University, Piscataway, NJ",Integrating sample-based planning and model-based reinforcement learning
9," Department of Computer Science and Engineering, University of Texas at Arlington, Arlington, TX"," Department of Computer Science and Engineering, University of Texas at Arlington, Arlington, TX",Discriminant laplacian embedding
10," School of EECS, Oregon State University"," School of EECS, Oregon State University",Bayesian policy search for multi-agent role discovery
11," Dept. of Computer Science and Engineering, University of Washington"," Dept. of Electrical Engineering, University of Washington",Discovering long range properties of social networks with multi-valued time-inhomogeneous models
12," Cluster of Excellence, Saarland Univ. & MPI Inf"," Computer Sci. & Eng., Chinese Univ. of Hong Kong",Smooth optimization for effective multiple kernel learning
13," Department of Computer Science, Tokyo Institute of Technology"," Department of Computer Science, Tokyo Institute of Technology and Japan Science and Technology Agency",Dependence minimizing regression with model selection for non-linear causal inference under non-gaussian noise
14," College of Computer Science, Zhejiang University, Hangzhou, China"," College of Computer Science, Zhejiang University, Hangzhou, China",Local and global regressive mapping for manifold learning with out-of-sample extrapolation
15," State Key Laboratory of Intelligent Technology and Systems, Tsinghua National Laboratory for Information Science and Technology, Department of Automation, Tsinghua University, Beijing, China"," State Key Laboratory of Intelligent Technology and Systems, Tsinghua National Laboratory for Information Science and Technology, Department of Automation, Tsinghua University, Beijing, China",Multitask bregman clustering
16," National Laboratory of Pattern Recognition, Institute of Automation, Chinese Academy of Sciences, Beijing, China"," National Laboratory of Pattern Recognition, Institute of Automation, Chinese Academy of Sciences, Beijing, China",Transductive learning on adaptive graphs
17," Machine Learning Department, Carnegie Mellon University"," Machine Learning Department, Carnegie Mellon University",Multi-task active learning with output constraints
18," Computer Science and Engineering, Arizona State University, Tempe, AZ"," Computer Science and Engineering, Arizona State University, Tempe, AZ",Efficient spectral feature selection with minimum redundancy
19," National Laboratory of Pattern Recognition (NLPR), Institute of Automation, Chinese Academy of Sciences, Beijing, China"," National Laboratory of Pattern Recognition (NLPR), Institute of Automation, Chinese Academy of Sciences, Beijing, China",Gaussian process latent random field
20, Stanford University, Cornell University,Nonmanipulable randomized tournament selections
21," Harvard Business School, Harvard, MA"," School of Eng. and Computer Science, The Hebrew University of Jerusalem, Jerusalem, Israel and Microsoft Israel R&D Center, Herzlia, Israel",Competing schedulers
22," Microsoft Research Ltd., Cambridge, UK"," Department of Computer Science, AGH Univ. of Science and Technology, Kraków, Poland",Probabilistic possible winner determination
23," Microsoft Research, Cambridge, UK"," Microsoft Research, Cambridge, UK",Coalitional structure generation in skill games
24," Computer Science Dept., Ben-Gurion Univ., Israel", Microsoft Israel R&D Center & Technion-IIT,Transferable utility planning games
25," Institut für Informatik, Ludwig-Maximilians-Universität München, Munchen, Germany"," Department of Computer Science, University of Rochester, Rochester, NY",Bypassing combinatorial protections: polynomial-time algorithms for single-peaked electorates
26, Michael Kearns," Department of Computer and Information Science, University of Pennsylvania",Private and third-party randomization in risk-sensitive equilibrium concepts
27," DAMAS Laboratory, Laval University, Quebec, Canada"," DAMAS Laboratory, Laval University, Quebec, Canada",An approximate subgame-perfect equilibrium computation technique for repeated games
28," RACTI & Department of Computer, Engineering and Informatics, University of Patras, Greece"," Department of Informatics, Athens University of Economics & Business, Greece",Approximation algorithms and mechanism design for minimax approval voting
29," RACTI & Department of Computer, Engineering and Informatics, University of Patras, Greece"," School of Engineering and Applied Sciences, Harvard University",Voting almost maximizes social welfare despite limited communication
