,Unnamed: 0,year,first-author,first-author-affiliation,last-author,last-author-affiliation,journal/conference,title,number-of-authors,paper-url,DBLP-url
0,0,2010,Chid Apté,"IBM T. J. Watson Research Center, Yorktown Heights, NY",Chid Apté,"IBM T. J. Watson Research Center, Yorktown Heights, NY",ICML,the role of machine learning in business optimization.,1,https://icml.cc/Conferences/2010/papers/903.pdf,https://dblp.org/rec/conf/icml/Apte10
1,1,2010,Arthur U. Asuncion,"School of Information and Computer Science, University of California, Irvine",Padhraic Smyth,"University of California, Irvine, USA",ICML,particle filtered mcmc-mle with connections to contrastive divergence.,4,https://icml.cc/Conferences/2010/papers/246.pdf,https://dblp.org/rec/conf/icml/AsuncionLIS10
2,2,2010,Rémi Bardenet,,Balázs Kégl,"University of Paris-Saclay, Center for Data Science",ICML,surrogating the surrogate - accelerating gaussian-process-based global optimization with a mixture cross-entropy algorithm.,2,https://icml.cc/Conferences/2010/papers/297.pdf,https://dblp.org/rec/conf/icml/BardenetK10
3,3,2010,Nicholas Bartlett,,Frank D. Wood,"University of British Columbia, Canada",ICML,forgetting counts - constant memory inference for a dependent hierarchical pitman-yor process.,3,https://icml.cc/Conferences/2010/papers/549.pdf,https://dblp.org/rec/conf/icml/BartlettPW10
4,4,2010,Sahely Bhadra," Department of CSA, Indian Institute of Science, INDIA",Aharon Ben-Tal," Faculty of Industrial Engg. and Management, Technion, Haifa, ISRAEL",ICML,robust formulations for handling uncertainty in kernel matrices.,4,https://icml.cc/Conferences/2010/papers/268.pdf,https://dblp.org/rec/conf/icml/BhadraBBB10
5,5,2010,Mustafa Bilgic 0001," Department of Computer Science, University of Maryland, College Park, MD",Lise Getoor," Department of Computer Science, University of Maryland, College Park, MD",ICML,active learning for networked data.,3,https://icml.cc/Conferences/2010/papers/544.pdf,https://dblp.org/rec/conf/icml/BilgicMG10
6,6,2010,David M. Blei," Department of Computer Science, Princeton University, Princeton, NJ",Peter I. Frazier," Department of Operations Research and Information Engineering , Cornell University, Ithaca, NY",ICML,distance dependent chinese restaurant processes.,2,https://icml.cc/Conferences/2010/papers/551.pdf,https://dblp.org/rec/conf/icml/BleiF10
7,7,2010,Gianluca Bontempi," Machine Learning Group, Computer Science Department, Faculty of Sciences, ULB, Université Libre de Bruxelles, Brussels, Belgium",Patrick E. Meyer 0001," Machine Learning Group, Computer Science Department, Faculty of Sciences, ULB, Université Libre de Bruxelles, Brussels, Belgium",ICML,causal filter selection in microarray data.,2,https://icml.cc/Conferences/2010/papers/78.pdf,https://dblp.org/rec/conf/icml/BontempiM10
8,8,2010,Antoine Bordes,"LIP6, Université Paris 6. 104, Paris, France",Jason Weston," Google., New York, NY",ICML,label ranking under ambiguous supervision for learning semantic correspondences.,3,https://icml.cc/Conferences/2010/papers/331.pdf,https://dblp.org/rec/conf/icml/BordesUW10
9,9,2010,Y-Lan Boureau,"INRIA - WILLOW Project (INRIA/ENS/CNRS UMR 8548), Paris, France and Courant Institute of Mathematical Sciences New York University, NY",Yann LeCun," Courant Institute of Mathematical Sciences New York University, NY",ICML,a theoretical analysis of feature pooling in visual recognition.,3,https://icml.cc/Conferences/2010/papers/638.pdf,https://dblp.org/rec/conf/icml/BoureauPL10
10,10,2010,Bruno Bouzy," LIPADE, Universite Paris Descartes, Paris, FRANCE",Marc Métivier," LIPADE, Universite Paris Descartes, Paris, FRANCE",ICML,multi-agent learning experiments on repeated matrix games.,2,https://icml.cc/Conferences/2010/papers/76.pdf,https://dblp.org/rec/conf/icml/BouzyM10
11,11,2010,Joseph K. Bradley," Machine Learning Department, Carnegie Mellon University, Pittsburgh, PA",Carlos Guestrin," Machine Learning Department, Carnegie Mellon University, Pittsburgh, PA",ICML,learning tree conditional random fields.,2,https://icml.cc/Conferences/2010/papers/586.pdf,https://dblp.org/rec/conf/icml/BradleyG10
12,12,2010,Nader H. Bshouty," Department of Computer Science, Technion, Haifa, Israel",Philip M. Long," Google, Mountain View, CA",ICML,finding planted partitions in nearly linear time using arrested spectral clustering.,2,https://icml.cc/Conferences/2010/papers/119.pdf,https://dblp.org/rec/conf/icml/BshoutyL10
13,13,2010,Róbert Busa-Fekete," LAL/LRI, University of Paris-Sud, CNRS, Orsay, France Research Group on Artificial Intelligence of the Hungarian Academy of Sciences and University of Szeged, Szeged, Hungary",Balázs Kégl," LAL/LRI, University of Paris-Sud, CNRS, Orsay, France",ICML,fast boosting using adversarial bandits.,2,https://icml.cc/Conferences/2010/papers/263.pdf,https://dblp.org/rec/conf/icml/Busa-FeketeK10
14,14,2010,Kevin Robert Canini," Computer Science Division, University of California, Berkeley, CA",Thomas L. Griffiths," Department of Psychology, University of California, Berkeley, CA",ICML,modeling transfer learning in human categorization with the hierarchical dirichlet process.,3,https://icml.cc/Conferences/2010/papers/180.pdf,https://dblp.org/rec/conf/icml/CaniniSG10
15,15,2010,Bin Cao 0001,"Microsoft Corporation, Bellevue, WA, USA",Qiang Yang 0001,楊強,ICML,transfer learning for collective link prediction in multiple heterogenous domains.,3,https://icml.cc/Conferences/2010/papers/505.pdf,https://dblp.org/rec/conf/icml/CaoLY10
16,16,2010,Miguel Á. Carreira-Perpiñán," Electrical Engineering and Computer Science, School of Engineering, University of California, Merced",Miguel Á. Carreira-Perpiñán," Electrical Engineering and Computer Science, School of Engineering, University of California, Merced",ICML,the elastic embedding algorithm for dimensionality reduction.,1,https://icml.cc/Conferences/2010/papers/123.pdf,https://dblp.org/rec/conf/icml/Carreira-Perpinan10
17,17,2010,Nicolò Cesa-Bianchi," DSI, Università di Milano, Italy",Giovanni Zappella," DSI, Università di Milano, Italy",ICML,random spanning trees and the prediction of weighted graphs.,4,https://icml.cc/Conferences/2010/papers/298.pdf,https://dblp.org/rec/conf/icml/Cesa-BianchiGVZ10
18,18,2010,Nicolò Cesa-Bianchi,"University of Milan, Italy",Ohad Shamir,,ICML,efficient learning with partially observed attributes.,3,https://icml.cc/Conferences/2010/papers/319.pdf,https://dblp.org/rec/conf/icml/Cesa-BianchiSS10
19,19,2010,Doran Chakraborty," Department of Computer Science, University of Texas, Austin, Texas",Peter Stone," Department of Computer Science, University of Texas, Austin, Texas",ICML,"convergence, targeted optimality, and safety in multiagent learning.",2,https://icml.cc/Conferences/2010/papers/453.pdf,https://dblp.org/rec/conf/icml/ChakrabortyS10
20,20,2010,Ming-Wei Chang,,Dan Roth,"University of Illinois, USA",ICML,structured output learning with indirect supervision.,4,https://icml.cc/Conferences/2010/papers/522.pdf,https://dblp.org/rec/conf/icml/ChangSGR10
21,21,2010,Yutian Chen," Department of Computer Science, University of California, Irvine, CA",Max Welling," Department of Computer Science, University of California, Irvine, CA",ICML,dynamical products of experts for modeling financial time series.,2,https://icml.cc/Conferences/2010/papers/175.pdf,https://dblp.org/rec/conf/icml/ChenW10
22,22,2010,Weiwei Cheng," Mathematics and Computer Science, Marburg University, Marburg, Germany",Eyke Hüllermeier," Mathematics and Computer Science, Marburg University, Marburg, Germany",ICML,label ranking methods based on the plackett-luce model.,3,https://icml.cc/Conferences/2010/papers/353.pdf,https://dblp.org/rec/conf/icml/ChengDH10
23,23,2010,Weiwei Cheng,,Eyke Hüllermeier,"LMU Munich, Germany",ICML,graded multilabel classification - the ordinal case.,3,https://icml.cc/Conferences/2010/papers/596.pdf,https://dblp.org/rec/conf/icml/ChengDH10a
24,24,2010,Michael H. Coen," University of Wisconsin-Madison, Madison, WI",Nathanael Fillmore," University of Wisconsin-Madison, Madison, WI",ICML,comparing clusterings in space.,3,https://icml.cc/Conferences/2010/papers/642.pdf,https://dblp.org/rec/conf/icml/CoenAF10
25,25,2010,Corinna Cortes," Google Research, New York, NY",Afshin Rostamizadeh," Courant Institute of Mathematical Sciences, New York, NY",ICML,two-stage learning kernel algorithms.,3,https://icml.cc/Conferences/2010/papers/125.pdf,https://dblp.org/rec/conf/icml/CortesMR10
26,26,2010,Corinna Cortes,Paris Kanellakis Award,Afshin Rostamizadeh,,ICML,generalization bounds for learning kernels.,3,https://icml.cc/Conferences/2010/papers/179.pdf,https://dblp.org/rec/conf/icml/CortesMR10a
27,27,2010,Fabrizio Costa," Dept. of Computer Science, K.U. Leuven, Heverlee, Belgium",Kurt De Grave," Dept. of Computer Science, K.U.Leuven, Heverlee, Belgium",ICML,fast neighborhood subgraph pairwise distance kernel.,2,https://icml.cc/Conferences/2010/papers/347.pdf,https://dblp.org/rec/conf/icml/CostaG10
28,28,2010,Mark Joseph Cummins,,Paul M. Newman,"Oxbotica Ltd., UK",ICML,fab-map - appearance-based place recognition and mapping using a learned visual vocabulary model.,2,https://icml.cc/Conferences/2010/papers/906.pdf,https://dblp.org/rec/conf/icml/CumminsN10
29,29,2010,Sajib Dasgupta," Human Language Technology Research Institute, University of Texas at Dallas, Richardson, TX",Vincent Ng," Human Language Technology Research Institute, University of Texas at Dallas, Richardson, TX",ICML,mining clustering dimensions.,2,https://icml.cc/Conferences/2010/papers/582.pdf,https://dblp.org/rec/conf/icml/DasguptaN10
