,Unnamed: 0,year,first-author,first-author-affiliation,first-author-affiliation-country,last-author,last-author-affiliation,last-author-affiliation-country,journal/conference,title,number-of-authors,paper-url,DBLP-url
0,0,2012,Georg Langs,Medical University of Vienna,,Brian Murphy,Carnegie Mellon University,,MLINI,"machine learning and interpretation in neuroimaging - international workshop, mlini 2011, held at nips 2011, sierra nevada, spain, december 16-17, 2011, revised selected and invited contributions",4,https://doi.org/10.1007/978-3-642-34713-9,https://dblp.org/rec/conf/nips/2011mlini
1,1,2011,Trine Julie Abrahamsen,Technical University of Denmark,,Lars Kai Hansen,Technical University of Denmark,,MLINI,restoring the generalizability of svm based decoding in high dimensional neuroimage data.,2,https://doi.org/10.1007/978-3-642-34713-9_32,https://dblp.org/rec/conf/nips/AbrahamsenH11
2,2,2011,Kasper Winther Andersen,Technical University of Denmark,,Morten M�rup,Technical University of Denmark,,MLINI,identification of functional clusters in the striatum using infinite relational modeling.,5,https://doi.org/10.1007/978-3-642-34713-9_29,https://dblp.org/rec/conf/nips/AndersenMSHM11
3,3,2011,Ariana E. Anderson,Nan,,Mark S. Cohen,Nan,,MLINI,real-time functional mri classification of brain states using markov-svm hybrid models - peering inside the rt-fmri black box.,5,https://doi.org/10.1007/978-3-642-34713-9_31,https://dblp.org/rec/conf/nips/AndersonHDBC11
4,4,2011,Ali Bahramisharif,Radboud University Nijmegen,,Tom Heskes,Radboud University Nijmegen,,MLINI,the dynamic beamformer.,5,https://doi.org/10.1007/978-3-642-34713-9_19,https://dblp.org/rec/conf/nips/BahramisharifGSGH11
5,5,2011,Felix Bie�mann,Berlin Institute of Technology,,Frank C. Meinecke,Berlin Institute of Technology,,MLINI,non-separable spatiotemporal brain hemodynamics contain neural information.,5,https://doi.org/10.1007/978-3-642-34713-9_18,https://dblp.org/rec/conf/nips/BiessmannMLMM11
6,6,2011,Michael A. Casey,Bregman Music and Auditory Research Studio,,Thalia Wheatley,Dartmouth College,,MLINI,population codes representing musical timbre for high-level fmri categorization of music genres.,5,https://doi.org/10.1007/978-3-642-34713-9_5,https://dblp.org/rec/conf/nips/CaseyTKRW11
7,7,2011,Maxime Cauchoix,Facult� de m�decine de Purpan,,Thomas Serre,Brown University,,MLINI,the neural dynamics of visual processing in monkey extrastriate cortex - a comparison between univariate and multivariate techniques.,4,https://doi.org/10.1007/978-3-642-34713-9_21,https://dblp.org/rec/conf/nips/CauchoixAFS11
8,8,2011,Kai-min Kevin Chang,Carnegie Mellon University,,Marcel Adam Just,Carnegie Mellon University,,MLINI,a latent feature analysis of the neural representation of conceptual knowledge.,3,https://doi.org/10.1007/978-3-642-34713-9_30,https://dblp.org/rec/conf/nips/ChangMJ11
9,9,2011,George H. Chen,Massachusetts Institute of Technology,,Polina Golland,Massachusetts Institute of Technology,,MLINI,deformation-invariant sparse coding for modeling spatial variability of functional patterns in the brain.,4,https://doi.org/10.1007/978-3-642-34713-9_9,https://dblp.org/rec/conf/nips/ChenFKG11
10,10,2011,Justin Dauwels,Nanyang Technological University,,Andrzej Cichocki,RIKEN Brain Science Institute,,MLINI,inferring brain networks through graphical models with hidden variables.,7,https://doi.org/10.1007/978-3-642-34713-9_25,https://dblp.org/rec/conf/nips/DauwelsYWVLJC11
11,11,2011,Fani Deligianni,Imperial College London,,Daniel Rueckert,Imperial College London,,MLINI,relating brain functional connectivity to anatomical connections - model selection.,7,https://doi.org/10.1007/978-3-642-34713-9_23,https://dblp.org/rec/conf/nips/DeligianniVTRSER11
12,12,2011,Orla M. Doyle,King�s College,,Andre F. Marquand,King�s College,,MLINI,data-driven modeling of bold drug response curves using gaussian process learning.,6,https://doi.org/10.1007/978-3-642-34713-9_27,https://dblp.org/rec/conf/nips/DoyleMBSSM11
13,13,2011,Joset A. Etzel,Washington University in St. Louis,,Todd S. Braver,Washington University in St. Louis,,MLINI,looking outside the searchlight.,3,https://doi.org/10.1007/978-3-642-34713-9_4,https://dblp.org/rec/conf/nips/EtzelCB11
14,14,2011,Nico S. Gorbach,Max-Planck Institute for Neurological Research,,Marc Tittgemeyer,Max-Planck Institute for Neurological Research,,MLINI,information-theoretic connectivity-based cortex parcellation.,5,https://doi.org/10.1007/978-3-642-34713-9_24,https://dblp.org/rec/conf/nips/GorbachSJMT11
15,15,2011,Alexandre Gramfort,INRIA,,Bertrand Thirion,INRIA,,MLINI,beyond brain reading - randomized sparsity and clustering to simultaneously predict and identify.,3,https://doi.org/10.1007/978-3-642-34713-9_2,https://dblp.org/rec/conf/nips/GramfortVT11
16,16,2011,Toke Jansen Hansen,Technical University of Denmark,,Kristoffer Hougaard Madsen,Copenhagen University Hospital,,MLINI,decoding complex cognitive states online by manifold regularization in real-time fmri.,3,https://doi.org/10.1007/978-3-642-34713-9_10,https://dblp.org/rec/conf/nips/HansenHM11
17,17,2011,Stefan Haufe,Berlin Institute of Technology,,Klaus-Robert M�ller,Berlin Institute of Technology,,MLINI,pitfalls in eeg-based brain effective connectivity analysis.,4,https://doi.org/10.1007/978-3-642-34713-9_26,https://dblp.org/rec/conf/nips/HaufeNNM11
18,18,2011,Chris Hinrichs,University of Wisconsin-Madison,,Vikas Singh,University of Wisconsin-Madison,,MLINI,mkl-based sample enrichment and customized outcomes enable smaller ad clinical trials.,4,https://doi.org/10.1007/978-3-642-34713-9_16,https://dblp.org/rec/conf/nips/HinrichsDJS11
19,19,2011,Shahar Jamshy,Tel Aviv University,,Nathan Intrator,Tel Aviv University,,MLINI,searchlight based feature extraction.,5,https://doi.org/10.1007/978-3-642-34713-9_3,https://dblp.org/rec/conf/nips/JamshyPYHI11
20,20,2011,David B. Keator,University of California,,David B. Keator,University of California,,MLINI,modality neutral techniques for brain image understanding.,1,https://doi.org/10.1007/978-3-642-34713-9_11,https://dblp.org/rec/conf/nips/Keator11
21,21,2011,Sivan Kinreich,Tel Aviv University,,Talma Hendler,Tel Aviv University,,MLINI,categorized eeg neurofeedback performance unveils simultaneous fmri deep brain activation.,4,https://doi.org/10.1007/978-3-642-34713-9_14,https://dblp.org/rec/conf/nips/KinreichPIH11
22,22,2011,Miika Koskinen,Aalto University,,Miika Koskinen,Aalto University,,MLINI,finding consistencies in meg responses to repeated natural speech.,1,https://doi.org/10.1007/978-3-642-34713-9_13,https://dblp.org/rec/conf/nips/Koskinen11
23,23,2011,Philip P. Kwok,University College London,,Daniel C. Alexander,University College London,,MLINI,predicting clinically definite multiple sclerosis from onset using svm.,5,https://doi.org/10.1007/978-3-642-34713-9_15,https://dblp.org/rec/conf/nips/KwokCCMA11
24,24,2011,Vincent Michel,I2BM,,Bertrand Thirion,I2BM,,MLINI,a comparative study of algorithms for intra- and inter-subjects fmri decoding.,5,https://doi.org/10.1007/978-3-642-34713-9_1,https://dblp.org/rec/conf/nips/MichelGEVT11
25,25,2011,Emanuele Olivetti,Bruno Kessler Foundation and University of Trento (CIMeC),,Paolo Avesani,Bruno Kessler Foundation and University of Trento (CIMeC),,MLINI,induction in neuroscience with classification - issues and solutions.,3,https://doi.org/10.1007/978-3-642-34713-9_6,https://dblp.org/rec/conf/nips/OlivettiGA11
26,26,2011,Emilio Parrado-Hern�ndez,Universidad Carlos III de Madrid,,Carles Soriano-Mas,Bellvitge University Hospital,,MLINI,identification of ocd-relevant brain areas through multivariate feature selection.,8,https://doi.org/10.1007/978-3-642-34713-9_8,https://dblp.org/rec/conf/nips/Parrado-HernandezGRAPMCS11
27,27,2011,Pavan Ramkumar,Aalto University,,Lester C. Loschky,Kansas State University,,MLINI,how does the brain represent visual scenes? a neuromagnetic scene categorization study.,5,https://doi.org/10.1007/978-3-642-34713-9_12,https://dblp.org/rec/conf/nips/RamkumarPHLL11
28,28,2011,Jane M. Rondina,King�s College,,Janaina Mourão Miranda,King�s College,,MLINI,a new feature selection method based on stability theory - exploring parameters space to evaluate classification accuracy in neuroimaging data.,3,https://doi.org/10.1007/978-3-642-34713-9_7,https://dblp.org/rec/conf/nips/RondinaSM11
29,29,2011,Evangelos Roussos,University of Oxford,,Ingrid Daubechies,Duke University,,MLINI,variational bayesian learning of sparse representations and its application in functional neuroimaging.,3,https://doi.org/10.1007/978-3-642-34713-9_28,https://dblp.org/rec/conf/nips/RoussosRD11
30,30,2011,Diego Sona,Istituto Italiano di Tecnologia (IIT),,Gabriele Miceli,Univeristy of Trento,,MLINI,pairwise analysis for longitudinal fmri studies.,5,https://doi.org/10.1007/978-3-642-34713-9_17,https://dblp.org/rec/conf/nips/SonaAMBM11
31,31,2011,Ga�l Varoquaux,INRIA,,Bertrand Thirion,INRIA,,MLINI,statistical learning for resting-state fmri - successes and challenges.,2,https://doi.org/10.1007/978-3-642-34713-9_22,https://dblp.org/rec/conf/nips/VaroquauxT11
32,32,2011,Hans J. P. Wouters,Radboud University Nijmegen,,Ali Bahramisharif,Radboud University Nijmegen,,MLINI,covert attention as a paradigm for subject-independent brain-computer interfacing.,5,https://doi.org/10.1007/978-3-642-34713-9_20,https://dblp.org/rec/conf/nips/WoutersGTHB11
33,33,2011,Yasin Abbasi-Yadkori,University of Alberta,,Csaba Szepesvári,University of Alberta,,NIPS,improved algorithms for linear stochastic bandits.,3,https://proceedings.neurips.cc/paper/2011/hash/e1d5be1c7f2f456670de3d53c7b54f4a-Abstract.html,https://dblp.org/rec/conf/nips/Abbasi-YadkoriPS11
34,34,2011,Joshua T. Abbott,University of California,,Thomas L. Griffiths,University of California,,NIPS,testing a bayesian measure of representativeness using a large image database.,4,https://proceedings.neurips.cc/paper/2011/hash/2c89109d42178de8a367c0228f169bf8-Abstract.html,https://dblp.org/rec/conf/nips/AbbottHGG11
35,35,2011,Jacob D. Abernethy,University of California,,Rafael M. Frongillo,University of California,,NIPS,a collaborative mechanism for crowdsourcing prediction problems.,2,https://proceedings.neurips.cc/paper/2011/hash/4edaa105d5f53590338791951e38c3ad-Abstract.html,https://dblp.org/rec/conf/nips/AbernethyF11
36,36,2011,David Adametz,University of Basel,,Volker Roth 0001,University of Basel,,NIPS,bayesian partitioning of large-scale distance data.,2,https://proceedings.neurips.cc/paper/2011/hash/3621f1454cacf995530ea53652ddf8fb-Abstract.html,https://dblp.org/rec/conf/nips/AdametzR11
37,37,2011,Alekh Agarwal,University of California,,John C. Duchi,University of California,,NIPS,distributed delayed stochastic optimization.,2,https://proceedings.neurips.cc/paper/2011/hash/f0e52b27a7a5d6a1a87373dffa53dbe5-Abstract.html,https://dblp.org/rec/conf/nips/AgarwalD11
38,38,2011,Alekh Agarwal,UC Berkeley,,Alexander Rakhlin,University of Pennsylvania,,NIPS,stochastic convex optimization with bandit feedback.,5,https://proceedings.neurips.cc/paper/2011/hash/67e103b0761e60683e83c559be18d40c-Abstract.html,https://dblp.org/rec/conf/nips/AgarwalFHKR11
39,39,2011,Nir Ailon,Technion,,Nir Ailon,Technion,,NIPS,active learning ranking from pairwise preferences with almost optimal query complexity.,1,https://proceedings.neurips.cc/paper/2011/hash/81448138f5f163ccdba4acc69819f280-Abstract.html,https://dblp.org/rec/conf/nips/Ailon11
