,first-author-affiliation,last-author-affiliation,title
0, Weizmann Institute of Science, Microsoft Research,A unifying hierarchy of valuations with complements and substitutes
1, Tel Aviv University, Tel Aviv University,Do capacity constraints constrain coalitions?
2," DI, Università degli Studi di Salerno, Italy"," SCM, Teesside University, UK",A mechanism design approach to measure awareness
3," Aarhus University, Denmark"," University of Warsaw, Poland",Facility location with double-peaked preferences
4, Harvard University, Microsoft Research,Elicitation for aggregation
5," Kyushu University, Fukuoka, Japan"," Kyushu University, Fukuoka, Japan",A complexity approach for core-selecting exchange with multiple indivisible goods under lexicographic preferences
6," The Key Laboratory of Intelligent Information Processing, ICT, CAS University of Chinese Academy of Sciences Beijing, China"," Electrical Engineering & Computer Science, Vanderbilt University, Nashville, TN",Security games with protection externalities
7, Bar-Ilan University, Bar-Ilan University,Strategy-proof and efficient kidney exchange using a credit mechanism
8," Max-Planck-Institut für Informatik, Saarland University, Saarbrücken, Germany"," Dept. of Computer Science, RWTH Aachen University, Aachen, Germany",Hedonic coalition formation in networks
9," Cheriton School of Computer Science, University of Waterloo, Waterloo, ON, Canada"," Cheriton School of Computer Science, University of Waterloo, Waterloo, ON, Canada",Matching with dynamic ordinal preferences
10,,,On a competitive secretary problem
11," Kyushu University, Motooka, Fukuoka, Japan"," Kyushu University, Motooka, Fukuoka, Japan",Controlled school choice with soft bounds and overlapping types
12," Institute for Software Integrated Systems, Department of Electrical Engineering and Computer Science, Vanderbilt University, Nashville, TN"," Institute for Software Integrated Systems, Department of Electrical Engineering and Computer Science, Vanderbilt University, Nashville, TN",Optimal personalized filtering against spear-phishing attacks
13," Computer Science Department, Stanford University"," Computer Science Department, Stanford University",Stable invitations
14," Hebrew University of Jerusalem, Jerusalem, Israel"," Hebrew University of Jerusalem, Jerusalem, Israel",The pricing war continues: on competitive multi-item pricing
15," Department of Computer Science, Duke University"," Department of Computer Science, Duke University",Cooperative game solution concepts that maximize stability under noise
16, Harvard University, Harvard University,Congestion games with distance-based strict uncertainty
17," National Technical University of Athens, Greece Tel-Aviv University, Israel"," University of Southampton, United Kingdom",On the convergence of iterative voting: how restrictive should restricted dynamics be?
18, Carnegie Mellon University, Carnegie Mellon University,Voting rules as error-correcting codes
19," Independent Researcher, Jerusalem, Israel"," Hebrew University of Jerusalem, Israel",Analysis of equilibria in iterative voting schemes
20," Ecole Polytechnique Federale de Lausanne (EPFL), Artificial Intelligence Laboratory, Lausanne, Switzerland"," Ecole Polytechnique Federale de Lausanne (EPFL), Artificial Intelligence Laboratory, Lausanne, Switzerland",Incentives for subjective evaluations with private beliefs
21," Bar-Ilan University, Ramat-Gan, Israel"," Bar-Ilan University, Ramat-Gan, Israel",Envy-free cake-cutting in two dimensions
22," School of Computing, Teesside University", School of Computing Teesside University,Truthful mechanisms without money for non-utilitarian heterogeneous facility location
23," Department of Informatics, Kyushu University, Japan"," Department of Informatics, Kyushu University, Japan",A graphical representation for games in partition function form
24," Department of Computer Science and Automation, Indian Institute of Science, Bengaluru, India"," Department of Computer Science and Automation, Indian Institute of Science, Bengaluru, India",A stackelberg game approach for incentivizing participation in online educational forums with heterogeneous student population
25," Computer Science & Engineering, University of Michigan, Ann Arbor, MI"," Electrical Engineering and Computer Science, Vanderbilt University, Nashville, TN",Mechanism design for team formation
26," University of Southern California, Los Angeles, CA"," University of Southern California, Los Angeles, CA",Exploring information asymmetry in two-stage security games
27," Electronics and Computer Science, University of Southampton, Southampton, UK"," Electronics and Computer Science, University of Southampton, Southampton, UK",Balanced trade reduction for dual-role exchange markets
28," Institute for Interdisciplinary Information Sciences, Tsinghua University, Beijing, China"," Institute for Interdisciplinary Information Sciences, Tsinghua University, Beijing, China",Optimal machine strategies to commit to in two-person repeated games
29," The University of Texas at Dallas, Richardson, Texas"," The University of Texas at Dallas, Richardson, Texas",Optimal column subset selection by a-star search
