,first-author,first-author-affiliation,last-author,last-author-affiliation,title
239,Francois-Xavier Briol,University of Warwick,Mark Girolami,Imperial College London,On the Sampling Problem for Kernel Quadrature
240,Moein Falahatgar,UCSD,Ananda Theertha Suresh,Google Research,Maximum Selection and Ranking under Noisy Comparisons
241,Eunho Yang,KAIST / AItrics,Aurelie Lozano,IBM,Sparse + Group-Sparse Dirty Models: Statistical Guarantees without Unreasonable Conditions and a Case for Non-Convexity
242,Tongliang Liu,The University of Sydney,Dacheng Tao,,Algorithmic Stability and Hypothesis Complexity
243,Cinjon Resnick,Google Brain,Mohammad Norouzi,Google,Neural Audio Synthesis of Musical Notes with WaveNet Autoencoders
244,Hongseok Namkoong,Stanford University,John Duchi,Stanford University,Adaptive Sampling Probabilities for Non-Smooth Optimization
245,Kimin Lee,KAIST,Jinwoo Shin,KAIST,Confident Multiple Choice Learning
246,Jackson Gorham,STANFORD,Lester Mackey,Microsoft Research,Measuring Sample Quality with Kernels
247,Soheil Mohajer,University of Minnesota,Adel Elmahdy,University of Minnesota,Active Learning for Top-$K$ Rank Aggregation from Noisy Comparisons
248,Ashish Bora,University of Texas at Austin,Alex Dimakis,UT Austin,Compressed Sensing using Generative Models
249,Krzysztof Dembczynski,Poznan University of Technology,Nagarajan Natarajan,Microsoft Research,Consistency Analysis for Binary Classification Revisited
250,David Krueger,MILA,Simon Lacoste-Julien,University of Montreal,A Closer Look at Memorization in Deep Networks
251,Ruben Villegas,University of Michigan,Honglak Lee,Google / U. Michigan,Learning to Generate Long-term Future via Hierarchical Prediction
252,Jonas Kohler,ETH Zurich,Aurelien Lucchi,ETH,Sub-sampled Cubic Regularization for Non-convex Optimization
253,Gabriele Farina,Carnegie Mellon University,Tuomas Sandholm,Carnegie Mellon University,Regret Minimization in Behaviorally-Constrained Zero-Sum Games
254,Andrew Miller,Harvard,Ryan P. Adams,Google Brain and Princeton University,Variational Boosting: Iteratively Refining Posterior Approximations
255,Dor Levy,Tel Aviv University,Lior Wolf,Facebook AI Research and Tel Aviv University,Learning to Align the Source Code to the Compiled Object Code
256,Weizhong Zhang,Zhejiang University & Tencent AI Lab,Jie Wang,University of Michigan,Scaling Up Sparse Support Vector Machines by Simultaneous Feature and Sample Reduction
257,Ananda Theertha Suresh,Google Research,Brendan McMahan,Google,Distributed Mean Estimation with Limited Communication
258,Sam Ritter,DeepMind,Matthew Botvinick,DeepMind,Cognitive Psychology for Deep Neural Networks: A Shape Bias Case Study
