,first-author,first-author-affiliation,last-author,last-author-affiliation,title
339,Zhuoran Yang,Princeton University,Han Liu,Princeton University,High-dimensional Non-Gaussian Single Index Models via Thresholded Score Function Estimation
340,Garrett Bernstein,University of Massachusetts Amherst,Gerome Miklau,"University of Massachusetts, Amherst",Differentially Private Learning of Graphical Models using CGMs
341,Walter Dempsey,University of Michigan,David Gustafson,University of Wisconsin-Madison,"iSurvive: An Interpretable, Event-time Prediction Model for mHealth"
342,Edouard Grave,Facebook AI Research,Herve Jegou,Facebook AI Research,Efficient softmax approximation for GPUs
343,Tsubasa Ochiai,Doshisha University,John Hershey,MITSUBISHI ELECTRIC RESEARCH LABORATORIES,Multichannel End-to-end Speech Recognition
344,Riad Akrour,TU Darmstadt,Gerhard Neumann,University of Lincoln,Local Bayesian Optimization of Motor Skills
345,Ioannis Mitliagkas,Stanford University,Lester Mackey,Microsoft Research,Improving Gibbs Sampler Scan Quality with DoGS
346,Jose Miguel Hernandez-Lobato,University of Cambridge,alan Aspuru-Guzik,,Parallel and Distributed Thompson Sampling for Large-scale Accelerated Exploration of Chemical Space
347,Sheng Chen,University of Minnesota,Arindam Banerjee,University of Minnesota,Robust Structured Estimation with Single-Index Models
348,János Höner,TU Berlin / MathPlan,Nico Görnitz,TU Berlin,Minimizing Trust Leaks for Robust Sybil Detection
349,Mingmin Zhao,MIT,Matt Bianchi,Massachusetts General Hospital,Learning Sleep Stages from Radio Signals: A Conditional Adversarial Architecture
350,Yingzhen Li,University of Cambridge,Yarin Gal,University of Cambridge,Dropout Inference in Bayesian Neural Networks with Alpha-divergences
351,Tsung-Hsien Wen,University of Cambridge,Steve Young J Young,University of Cambridge,Latent Intention Dialogue Models
352,Yaron Singer,Harvard,Avinatan Hassidim,Bar Ilan University,Robust Guarantees of Stochastic Greedy Algorithms
353,Georg Ostrovski,Google DeepMind,Remi Munos,DeepMind,Count-Based Exploration with Neural Density Models
354,Nilesh Tripuraneni,UC Berkeley,Richard E Turner,University of Cambridge,Magnetic Hamiltonian Monte Carlo
355,Aditya Chaudhry,University of Virginia,Quanquan Gu,University of Virginia,Uncertainty Assessment and False Discovery Rate Control in High-Dimensional Granger Causal Inference
356,Xixian Chen,The Chinese University of Hong Kong,Irwin King,CUHK,Toward Efficient and Accurate Covariance Matrix Estimation on Compressed Data
357,Naman Agarwal,Princeton University,Karan Singh,Princeton University,The Price of Differential Privacy For Online Learning
358,Takayuki Osogami,IBM Research - Tokyo,Taro Sekiyama,IBM Research - Tokyo,Bidirectional learning for time-series models with hidden units
