,Unnamed: 0,Unnamed: 0.1,first-author-affiliation,last-author-affiliation,title
0,0,0.0,"IBM T. J. Watson Research Center, Yorktown Heights, NY","IBM T. J. Watson Research Center, Yorktown Heights, NY",the role of machine learning in business optimization.
1,1,1.0," University of Oxford, Oxford, UK"," University of Oxford, Oxford, UK",fab-map: appearance-based place recognition and mapping using a learned visual vocabulary model.
2,2,2.0, University of Chicago, UC Irvine,discriminative latent variable models for object detection.
3,3,3.0," Microsoft Research Ltd., Cambridge, UK"," Microsoft Research Ltd., Cambridge, UK",web-scale bayesian click-through rate prediction for sponsored search advertising in microsoft's bing search engine.
4,4,4.0," School of Informatics and Computing, Indiana University, Bloomington"," School of Informatics and Computing, Indiana University, Bloomington",music plus one and machine learning.
5,5,5.0," MIT Computer Science & Artificial Intelligence Lab, Cambridge, MA"," MIT Computer Science & Artificial Intelligence Lab, Cambridge, MA",climbing the tower of babel: unsupervised multilingual learning.
6,6,6.0," EECS Department, UC Berkeley"," EECS and Statistics Department, UC Berkeley",detecting large-scale system problems by mining console logs.
7,7,7.0," LAL/LRI, University of Paris-Sud, CNRS, Orsay, France"," LAL/LRI, University of Paris-Sud, CNRS, Orsay, France",surrogating the surrogate: accelerating gaussian-process-based global optimization with a mixture cross-entropy algorithm.
8,8,8.0," Department of CSA, Indian Institute of Science, INDIA"," Faculty of Industrial Engg. and Management, Technion, Haifa, ISRAEL",robust formulations for handling uncertainty in kernel matrices.
9,9,9.0," Department of Computer Science, University of Maryland, College Park, MD"," Department of Computer Science, University of Maryland, College Park, MD",active learning for networked data.
10,10,10.0," Department of Computer Science, Princeton University, Princeton, NJ"," Department of Operations Research and Information Engineering , Cornell University, Ithaca, NY",distance dependent chinese restaurant processes.
11,11,11.0," Machine Learning Group, Computer Science Department, Faculty of Sciences, ULB, Université Libre de Bruxelles, Brussels, Belgium"," Machine Learning Group, Computer Science Department, Faculty of Sciences, ULB, Université Libre de Bruxelles, Brussels, Belgium",causal filter selection in microarray data.
12,12,12.0,"LIP6, Université Paris 6. 104, Paris, France"," Google., New York, NY",label ranking under ambiguous supervision for learning semantic correspondences.
13,13,13.0,"INRIA - WILLOW Project (INRIA/ENS/CNRS UMR 8548), Paris, France and Courant Institute of Mathematical Sciences New York University, NY"," Courant Institute of Mathematical Sciences New York University, NY",a theoretical analysis of feature pooling in visual recognition.
14,14,14.0," LIPADE, Universite Paris Descartes, Paris, FRANCE"," LIPADE, Universite Paris Descartes, Paris, FRANCE",multi-agent learning experiments on repeated matrix games.
15,15,15.0," Machine Learning Department, Carnegie Mellon University, Pittsburgh, PA"," Machine Learning Department, Carnegie Mellon University, Pittsburgh, PA",learning tree conditional random fields.
16,16,16.0," Department of Computer Science, Technion, Haifa, Israel"," Google, Mountain View, CA",finding planted partitions in nearly linear time using arrested spectral clustering.
17,17,17.0," LAL/LRI, University of Paris-Sud, CNRS, Orsay, France Research Group on Artificial Intelligence of the Hungarian Academy of Sciences and University of Szeged, Szeged, Hungary"," LAL/LRI, University of Paris-Sud, CNRS, Orsay, France",fast boosting using adversarial bandits.
18,18,18.0," Computer Science Division, University of California, Berkeley, CA"," Department of Psychology, University of California, Berkeley, CA",modeling transfer learning in human categorization with the hierarchical dirichlet process.
19,19,19.0," Electrical Engineering and Computer Science, School of Engineering, University of California, Merced"," Electrical Engineering and Computer Science, School of Engineering, University of California, Merced",the elastic embedding algorithm for dimensionality reduction.
20,20,20.0," DSI, Università di Milano, Italy"," DSI, Università di Milano, Italy",random spanning trees and the prediction of weighted graphs.
21,21,21.0," Department of Computer Science, University of Texas, Austin, Texas"," Department of Computer Science, University of Texas, Austin, Texas","convergence, targeted optimality, and safety in multiagent learning."
22,22,22.0," Department of Computer Science, University of California, Irvine, CA"," Department of Computer Science, University of California, Irvine, CA",dynamical products of experts for modeling financial time series.
23,23,23.0," Mathematics and Computer Science, Marburg University, Marburg, Germany"," Mathematics and Computer Science, Marburg University, Marburg, Germany",label ranking methods based on the plackett-luce model.
24,24,24.0," Mathematics and Computer Science, Marburg University, Marburg, Germany"," Mathematics and Computer Science, Marburg University, Marburg, Germany",graded multilabel classification: the ordinal case.
25,25,0.0," University of Wisconsin-Madison, Madison, WI"," University of Wisconsin-Madison, Madison, WI",comparing clusterings in space.
26,26,1.0," Google Research, New York, NY"," Courant Institute of Mathematical Sciences, New York, NY",two-stage learning kernel algorithms.
27,27,2.0," Dept. of Computer Science, K.U. Leuven, Heverlee, Belgium"," Dept. of Computer Science, K.U.Leuven, Heverlee, Belgium",fast neighborhood subgraph pairwise distance kernel.
28,28,3.0," Human Language Technology Research Institute, University of Texas at Dallas, Richardson, TX"," Human Language Technology Research Institute, University of Texas at Dallas, Richardson, TX",mining clustering dimensions.
29,29,4.0," Department of Computer Science & Engineering, University of Washington, Seattle, WA"," Department of Computer Science & Engineering, University of Washington, Seattle, WA",bottom-up learning of markov network structure.
30,30,5.0," Mathematics and Computer Science, Marburg University, Marburg, Germany and Institute of Computing Science, Poznań University of Technology, Poznań, Poland"," Mathematics and Computer Science, Marburg University, Marburg, Germany",bayes optimal multilabel classification via probabilistic classifier chains.
31,31,6.0," Computer Vision Laboratory, ETH Zurich, Zurich, Switzerland"," Computer Vision Laboratory, ETH Zurich, Zurich, Switzerland",a conditional random field for multiple-instance learning.
32,32,7.0," College of Computing, Georgia Institute of Technology, Atlanta, Georgia"," College of Computing, Georgia Institute of Technology, Atlanta, Georgia",asymptotic analysis of generative semi-supervised learning.
33,33,8.0," Biomathematics and Statistics Scotland, JCMB, Edinburgh, UK and Institute for Adaptive and Neural Computation, School of Informatics, University of Edinburgh"," Biomathematics and Statistics Scotland, JCMB, Edinburgh, UK",heterogeneous continuous dynamic bayesian networks with flexible structure and inter-time segment information sharing.
34,34,9.0," Victoria University of Wellington, Wellington, New Zealand"," Statistical Machine Learning Group & AI Group, NICTA & ANU, Canberra, Australia",temporal difference bayesian model averaging: a bayesian perspective on adapting lambda.
35,35,10.0," University of Massachusetts Amherst, Amherst, MA"," University of Massachusetts Amherst, Amherst, MA",high-performance semi-supervised learning using discriminatively constrained generative models.
36,36,11.0," Computer Science Division, University of California, Berkeley, CA"," Computer Science Division and Department of Statistics, University of California, Berkeley, CA",on the consistency of ranking algorithms.
37,37,12.0," Computer Science & Engineering and Applied Mathematics, University of Washington, Seattle"," Computer Science & Engineering and Applied Mathematics, University of Washington, Seattle",inverse optimal control with linearly-solvable mdps.
38,38,13.0," School of Computer Science and Engineering, Hebrew University, Jerusalem, Israel"," Institute of Mathematics, Hebrew University, Jerusalem, Israel",continuous-time belief propagation.
39,39,14.0," School of Engineering, Bar-Ilan University, Ramat-Gan, Israel"," School of Engineering, Bar-Ilan University, Ramat-Gan, Israel",a nonparametric information theoretic clustering algorithm.
40,40,15.0,"LRI, CNRS UMR 8623 & INRIA-Saclay, Orsay, FRANCE","LRI, CNRS UMR 8623 & INRIA-Saclay, Orsay, FRANCE",feature selection as a one-player game.
41,41,16.0," Department of Computer Science, Princeton University, Princeton, NJ"," Department of Computer Science, Princeton University, Princeton, NJ",a language-based approach to measuring scholarly impact.
42,42,17.0," Faculty of IE&M, Technion - Israel Institute of Technology, Haifa, Israel","MSIS Department and RUTCOR, Rutgers University, 640 Bartholomew Road, Piscataway NJ",boosting classifiers with tightened l0-relaxation penalties.
43,43,18.0," Courant Institute, New York University, New York, NY"," Courant Institute, New York University, New York, NY",learning fast approximations of sparse coding.
44,44,19.0," School of Computer Science, Carnegie Mellon University, Pittsburgh, PA"," School of Computer Science, Carnegie Mellon University, Pittsburgh, PA",boosted backpropagation learning for training deep modular networks.
45,45,20.0," University of Washington, Seattle, WA"," University of Washington, Seattle, WA",interactive submodular set cover.
46,46,21.0," Department of Computer Science and Engineering, Indian Institute of Technology, Delhi, India"," Microsoft Research India, Bangalore, India",large scale max-margin multi-label classification with priors.
47,47,22.0," Carnegie Mellon Univeresity, Pittsburgh, PA"," Carnegie Mellon Univeresity, Pittsburgh, PA",active learning for multi-task adaptive filtering.
48,48,23.0," Stony Brook University, Stony Brook, NY"," Stony Brook University, Stony Brook, NY",multi-task learning of gaussian graphical models.
49,49,24.0,"Mines ParisTech, Centre for Computational Biology, Fontainebleau, France and Institut Curie, Paris, France and INSERM, U900, Paris, France","Mines ParisTech, Centre for Computational Biology, Fontainebleau, France and Institut Curie, Paris, France and INSERM, U900, Paris, France",on learning with kernels for unordered pairs.
50,50,0.0," Institute of Theoretical Computer Science, ETH Zurich, Zurich, Switzerland"," Institute of Theoretical Computer Science, ETH Zurich, Zurich, Switzerland",a simple algorithm for nuclear norm regularized problems.
51,51,1.0," Max Planck Institute for Biological Cybernetics, Tübingen, Germany"," Max Planck Institute for Biological Cybernetics, Tübingen, Germany",telling cause from effect based on high-dimensional observations.
52,52,2.0,"INRIA - WILLOW Project, Laboratoire d'Informatique de l'Ecole Normale Supérieure (INRIA/ENS/CNRS UMR 8548) Paris. France","INRIA - WILLOW Project, Laboratoire d'Informatique de l'Ecole Normale Supérieure (INRIA/ENS/CNRS UMR 8548) Paris. France",proximal methods for sparse hierarchical dictionary learning.
53,53,3.0," Arizona State University, Tempe, AZ"," NEC Laboratories America, Inc., Cupertino, CA",3d convolutional neural networks for human action recognition.
54,54,4.0," Computer Science Department, Stanford University, Stanford, CA"," Computer Science Department, Stanford University, Stanford, CA",accelerated dual decomposition for map inference.
55,55,5.0," Department of Computer Science, The University of Texas at Austin, Austin Texas"," Department of Computer Science, The University of Texas at Austin, Austin Texas",efficient selection of multiple bandit arms: theory and practice.
56,56,6.0," Dept. of Computer Science, University of Texas, Austin, TX"," Dept. of Computer Science, University of Texas, Austin, TX",a scalable trust-region algorithm with application to mixed-norm regression.
57,57,7.0," Robotics Institute, Carnegie Mellon University, PA"," Robotics Institute, Carnegie Mellon University, PA",local minima embedding.
58,58,8.0," Robotics Institute, Carnegie Mellon University, PA"," Robotics Institute, Carnegie Mellon University, PA",gaussian processes multiple instance learning.
59,59,9.0," School of Computer Science, Carnegie Mellon University, Pittsburgh, PA"," School of Computer Science, Carnegie Mellon University, Pittsburgh, PA",tree-guided group lasso for multi-task regression with structured sparsity.
60,60,10.0," Department of Computer Science & Engineering, University of Washington, Seattle, WA"," Department of Computer Science & Engineering, University of Washington, Seattle, WA",learning markov logic networks using structural motifs.
61,61,11.0," California Institute of Technology, Computer Science Department"," Ecole Polytechnique Federale de Lausanne, STI-IEL-LIONS & Idiap Research Institute",submodular dictionary selection for sparse representation.
62,62,12.0," TU Berlin, Machine Learning and Robotics Group, Berlin, Germany"," TU Berlin, Machine Learning and Robotics Group, Berlin, Germany",probabilistic backward and forward reasoning in stochastic relational worlds.
63,63,13.0," Department of Scientific Computing, Florida State University, Tallahassee, Florida"," Department of Statistics, Florida State University, Tallahassee, Florida",supervised aggregation of classifiers using artificial prediction markets.
64,64,14.0," INRIA Lille - Nord Europe, Team SequeL, Villeneuve d'Ascq, France"," INRIA Lille - Nord Europe, Team SequeL, Villeneuve d'Ascq, France",bayesian multi-task reinforcement learning.
65,65,15.0," INRIA Lille - Nord Europe, Team SequeL, Villeneuve d'Ascq, France"," INRIA Lille - Nord Europe, Team SequeL, Villeneuve d'Ascq, France",finite-sample analysis of lstd.
66,66,16.0," Microsoft Research, Cambridge, UK"," Microsoft Research, Cambridge, UK",a fast natural newton method.
67,67,17.0," Department of Computer Science and Engineering, Shanghai Jiao Tong University, Shanghai, China"," Department of Computer Science and Engineering, Shanghai Jiao Tong University, Shanghai, China and MOE-MS Key Lab. for Intel. Comp. and Intel. Sys., Shanghai Jiao Tong University, Shanghai, China",making large-scale nyström approximation possible.
68,68,18.0," Computer Science Division, University of California, Berkeley, CA"," Toyota Technological Institute at Chicago, Chicago, IL",on the interaction between norm and dimensionality: multiple regimes in learning.
69,69,19.0," Carnegie Mellon University, Pittsburgh, PA"," Carnegie Mellon University, Pittsburgh, PA",power iteration clustering.
70,70,20.0," Shanghai Jiao Tong University, Shanghai, China"," Shanghai Jiao Tong University, Shanghai, China",robust subspace segmentation by low-rank representation.
71,71,21.0," Department of Electrical and Computer Engineering, National University of Singapore, Singapore"," Department of Electrical and Computer Engineering, National University of Singapore, Singapore",robust graph mode seeking by graph shift.
72,72,22.0," Department of Electrical Engineering, Columbia University, New York, NY"," Department of Electrical Engineering, Columbia University, New York, NY",large graph construction for scalable semi-supervised learning.
73,73,23.0," IBM T.J. Watson Research Center, Yorktown Heights, NY"," Harvard Medical School, Harvard University, Boston, MA",learning temporal causal graphs for relational time-series analysis.
74,74,24.0," University of Michigan, Ann Arbor, MI"," University of Michigan, Ann Arbor, MI",efficient reinforcement learning with multiple reward functions for randomized controlled trial analysis.
75,75,25.0," Google, Mountain View, CA"," Computer Science Department, Columbia University, New York",restricted boltzmann machines are hard to approximately evaluate or simulate.
76,76,0.0," Computer Science Division, University of California, Berkeley, CA"," Computer Science Division and Department of Statistics, University of California, Berkeley, CA",mixed membership matrix factorization.
77,77,1.0," Department of Computing Science, University of Alberta, Edmonton, Canada"," Department of Computing Science, University of Alberta, Edmonton, Canada",toward off-policy learning control with function approximation.
78,78,2.0," School of Computer Science, The Australian National University, Canberra, Australia"," School of Computer Science, The Australian National University, Canberra, Australia",constructing states for reinforcement learning.
79,79,3.0," University of Toronto, Ontario, Canada"," University of Toronto, Ontario, Canada",deep learning via hessian-free optimization.
80,80,4.0," University of Toronto, Ontario, Canada"," University of Toronto, Ontario, Canada",learning the linear dynamical system with asos.
81,81,5.0," Department of Electrical and Computer Engineering, Northeastern University, Boston, MA"," Department of Electrical and Computer Engineering, Northeastern University, Boston, MA",from transformation-based dimensionality reduction to feature selection.
82,82,6.0," Statistical Visual Computing Laboratory, University of California, San Diego, La Jolla, CA"," Statistical Visual Computing Laboratory, University of California, San Diego, La Jolla, CA","risk minimization, probability elicitation, and cost-sensitive svms."
83,83,7.0," NICTA and Australian National University, Canberra, Australia"," NICTA and Australian National University, Canberra, Australia",exploiting data-independence for fast belief-propagation.
84,84,8.0," Department of Computer Science and Engineering, University of California, San Diego, CA"," Department of Electrical and Computer Engineering, University of California, San Diego, CA",metric learning to rank.
85,85,9.0,,,learning efficiently with approximate inference via dual losses.
86,86,10.0," Dep. of Computer Science, University of Toronto, Toronto ON, CANADA"," Dep. of Med. Research, University of Toronto, Toronto ON, CANADA",deep supervised t-distributed embedding.
87,87,11.0," IBM Research - Tokyo, Kanagawa, Japan"," Kyoto University, Kyoto-shi, Kyoto, Japan",nonparametric return distribution approximation for reinforcement learning.
88,88,12.0," Department of Computer Science, University of Toronto, Toronto, ON, Canada"," Department of Computer Science, University of Toronto, Toronto, ON, Canada",rectified linear units improve restricted boltzmann machines.
89,89,13.0," ECE Department, Northeastern University, Boston, MA"," EECS and Statistics Departments, University of California, Berkeley, CA",multiple non-redundant spectral clustering views.
