,first-author,first-author-affiliation,last-author,last-author-affiliation,title
0,Randall Balestriero,Rice University,Richard Baraniuk,OpenStax / Rice University,Spline Filters For End-to-End Deep Learning
1,Aditya Gilra,University of Bonn,Wulfram Gerstner,EPFL,Non-linear motor control by local learning in spiking neural networks
2,Will Dabney,DeepMind,Remi Munos,DeepMind,Implicit Quantile Networks for Distributional Reinforcement Learning
3,Matthew Smith,McGill University,Joelle Pineau,McGill University / Facebook,An Inference-Based Policy Gradient Method for Learning Options
4,Nataly Brukhim,Tel Aviv University,Amir Globerson,"Tel Aviv University, Google",Predict and Constrain: Modeling Cardinality in Deep Structured Prediction
5,Prateek Jain,Microsoft Research,Abhradeep Thakurta,UCSC,Differentially Private Matrix Completion Revisited
6,Thomas Miconi,Uber AI Labs,Jeff Clune,Uber AI Labs,Differentiable plasticity: training plastic neural networks with backpropagation
7,Yingce Xia,University of Science and Technology of China,Tie-Yan Liu,Microsoft,Model-Level Dual Learning
8,Kevin Tian,Stanford University,James Zou,Stanford University,CoVeR: Learning Covariate-Specific Vector Representations with Tensor Decompositions
9,Benjamin Paaßen,Bielefeld University,CITEC Barbara Hammer,"CITEC, Bielefeld University",Tree Edit Distance Learning via Adaptive Symbol Embeddings
10,Siyuan Qiao,Johns Hopkins University,Alan Yuille,Johns Hopkins University,Gradually Updated Neural Networks for Large-Scale Image Recognition
11,Claudio Michaelis,Universty of Tübingen,Alexander Ecker,University of Tübingen,One-Shot Segmentation in Clutter
12,Phuc Nguyen,UC Irvine,Charless Fowlkes,UC Irvine,Active Testing: An Efficient and Robust Framework for Estimating Accuracy
13,Furong Huang,University of Maryland College Park,Robert Schapire,Microsoft Research,Learning Deep ResNet Blocks Sequentially using Boosting Theory
14,JD Co-Reyes,UC Berkeley,Sergey Levine,Berkeley,Self-Consistent Trajectory Autoencoder: Hierarchical Reinforcement Learning with Trajectory Embeddings
15,Andrea Zanette,Stanford University,Emma Brunskill,Stanford University,Problem Dependent Reinforcement Learning Bounds Which Can Identify Bandit Structure in MDPs
16,Poorya Mianjy,Johns Hopkins University,Raman Arora,Johns Hopkins University,Stochastic PCA with $\ell_2$ and $\ell_1$ Regularization
17,Alexandr Andoni,,Ruiqi Zhong,Columbia University in the City of New York,Subspace Embedding and Linear Regression with Orlicz Norm
18,Sreejith Kallummil,Qualcomm India Private Limited,Sheetal Kalyani,IIT Madras,Signal and  Noise Statistics Oblivious Orthogonal Matching Pursuit
19,Eric Wong,Carnegie Mellon University,Zico Kolter,Carnegie Mellon University / Bosch Center for AI,Provable Defenses against Adversarial Examples via the Convex Outer Adversarial Polytope
20,Erik Talvitie,Franklin & Marshall College,Erik Talvitie,Franklin & Marshall College,Learning the Reward Function for a Misspecified Model
21,kyowoon Lee,UNIST,Seong-Whan Lee,Korea University,Deep Reinforcement Learning in Continuous Action Spaces: a Case Study in the Game of Simulated Curling
22,Mingda Qiao,"IIIS, Tsinghua University",Mingda Qiao,"IIIS, Tsinghua University",Do Outliers Ruin Collaboration?
23,Wenlong Mou,UC Berkeley,Liwei Wang,Peking University,"Dropout Training, Data-dependent Regularization, and Generalization Bounds"
24,IEMS Xingyu Wang,"IEMS, Northwestern University",Diego Klabjan,Northwestern University,Competitive Multi-agent Inverse Reinforcement Learning with Sub-optimal Demonstrations
25,Christos Kaplanis,Imperial College London,Claudia Clopath,Imperial College London,Continual Reinforcement Learning with Complex Synapses
26,Guillaume Pouliot,University of Chicago,Guillaume Pouliot,University of Chicago,Equivalence of Multicategory SVM and Simplex Cone SVM: Fast Computations and Statistical Theory
27,Heinrich Jiang,Google,Samory Kpotufe,Princeton University,Quickshift++: Provably Good Initializations for Sample-Based Mean Shift
28,Dimitris Kalimeris,Harvard University,Udi Weinsberg,Facebook,Learning Diffusion using Hyperparameters
