,first-author,first-author-affiliation,last-author,last-author-affiliation,title
0,Yonatan Geifman,Technion,Ran El-Yaniv,Technion,SelectiveNet: A Deep Neural Network with an Integrated Reject Option
1,Vikas Verma,Aalto University,Yoshua Bengio,Mila / U. Montreal,Manifold Mixup: Better Representations by Interpolating Hidden States
2,Angelos Katharopoulos,Idiap & EPFL,Francois Fleuret,Idiap research institute,Processing Megapixel Images with Deep Attention-Sampling Models
3,Sung Whan Yoon,Korea Advanced Institute of Science and Technology (KAIST),Jaekyun Moon,KAIST,TapNet: Neural Network Augmented with Task-Adaptive Projection for Few-Shot Learning
4,Chelsea Finn,"Stanford, Google, UC Berkeley",Sergey Levine,UC Berkeley,Online Meta-Learning
5,Arild Nøkland,Kongsberg Seatex,Lars Hiller Eidnes,None,Training Neural Networks with Local Error Signals
6,Meng Qu,MILA,Jian Tang,HEC Montreal & MILA,GMNN: Graph Markov Neural Networks
7,Junhyun Lee,Korea University,Jaewoo Kang,Korea University,Self-Attention Graph Pooling
8,Sunil Thulasidasan,Los Alamos National Laboratory & University of Washington,Jamal Mohd-Yusof,Los Alamos National Laboratory,Combating Label Noise in Deep Learning using Abstention
9,Huaiyu Li,"Institute of Automation, Chinese Academy of Sciences",Bao-Gang Hu,"Institute of Automation, Chinese Academy of Sciences",LGM-Net: Learning to Generate Matching Networks for Few-Shot Learning
10,Han Zhang,Google,Augustus Odena,Google Brain,Self-Attention Generative Adversarial Networks
11,Ziliang Chen,Sun Yat-sen University,Liang Lin,Sun Yat-sen University,Multivariate-Information Adversarial Ensemble for Scalable Joint Distribution Matching
12,Mario Lucic,Google Brain,Sylvain Gelly,Google Brain,High-Fidelity Image Generation With Fewer Labels
13,Loic Simon,CNRS GREYC UMR 6072,Julien Rabin,Unicaen,Revisiting precision recall definition for generative modeling
14,Yonatan Dukler,UCLA,Guido Montufar,UCLA,Wasserstein of Wasserstein Loss for Learning Generative Models
15,Thomas Möllenhoff,TU Munich,Daniel Cremers,TU Munich,Flat Metric Minimization with Applications in Generative Modeling
