,first-author,first-author-affiliation,last-author,last-author-affiliation,title
0,Tony Duan,Microsoft Research,Alejandro Schuler,Unlearn.ai,NGBoost: Natural Gradient Boosting for Probabilistic Prediction
1,Lizzie Kumar,University of Utah,Sorelle Friedler,Haverford College,Problems with Shapley-value-based explanations as feature importance measures
2,Yusuke Tsuzuku,"Preferred Networks, Inc",Masashi Sugiyama,RIKEN / The University of Tokyo,Normalized Flat Minima: Exploring Scale Invariant Definition of Flat Minima for Neural Networks Using PAC-Bayesian Analysis
3,Sen Na,The University of Chicago,Mladen Kolar,University of Chicago Booth School of Business,Semiparametric Nonlinear Bipartite Graph Representation Learning with Provable Guarantees
4,Yansong Gao,University of Pennsylvania,Pratik Chaudhari,University of Pennsylvania,A Free-Energy Principle for Representation Learning
5,James Kostas,University of Massachusetts Amherst,Philip Thomas,University of Massachusetts Amherst,Asynchronous Coagent Networks
6,Yibo Yang,"University of California, Irivine",Stephan Mandt,"University of California, Irivine",Variational Bayesian Quantization
7,Lingxiao Wang,Northwestern University,Zhaoran Wang,Northwestern U,On the Global Optimality of Model-Agnostic Meta-Learning
8,Razieh Nabi,Johns Hopkins University,Ilya Shpitser,Johns Hopkins University,Full Law Identification in Graphical Models of Missing Data: Completeness Results
9,Xiaobo Wang,JD AI Research,Tao Mei,AI Research of JD.com,Loss Function Search for Face Recognition
10,Cong Xie,UIUC,Indranil Gupta,UIUC,Zeno++: Robust Fully Asynchronous SGD
11,Will Grathwohl,University of Toronto,Richard Zemel,Vector Institute,Learning the Stein Discrepancy for Training and Evaluating Energy-Based Models without Sampling
12,Huajie Shao,University of Illinois at Urbana-Champaign,Tarek Abdelzaher,University of Illinois at Urbana-Champaign,ControlVAE: Controllable Variational Autoencoder
13,Runchao Ma,University of Iowa,Tianbao Yang,The University of Iowa,Quadratically Regularized Subgradient Methods for Weakly Convex Optimization with Weakly Convex Constraints
14,Ting Chen,Google Brain,Geoffrey Hinton,Google,A Simple Framework for Contrastive Learning of Visual Representations
15,Imtiaz Ziko,ETS Montreal,Ismail Ben Ayed,ETS Montreal,Laplacian Regularized Few-Shot Learning
16,Yi Hao,"University of California, San Diego",Alon Orlitsky,UCSD,Data Amplification: Instance-Optimal Property Estimation 
17,Giuseppe Vietri,University of Minnesota,Steven Wu,University of Minnesota,Private Reinforcement Learning with PAC and Regret Guarantees
18,Matthew Fahrbach,Georgia Institute of Technology,Chi Wang,Microsoft Research,Faster Graph Embeddings via Coarsening
19,Ming Chen,Renmin University of China,Yaliang Li,Alibaba Group,Simple and Deep Graph Convolutional Networks
20,Zhun Deng,Harvard,Weijie Su,University of Pennsylvania,Towards Understanding the Dynamics of the First-Order Adversaries
21,Chris DeCarolis,University of Maryland,Furong Huang,University of Maryland College Park,An end-to-end Differentially Private Latent Dirichlet Allocation Using a Spectral Algorithm
22,Pranjal Awasthi,Rutgers University,Mehryar Mohri,Google Research and Courant Institute of Mathematical Sciences,Adversarial Learning Guarantees for Linear Hypotheses and Neural Networks
23,Wei Chen,Microsoft,Haoyu Zhao,Tsinghua University,Combinatorial Pure Exploration for Dueling Bandit
24,Daniel Rothchild,UC Berkeley,Raman Arora,Johns Hopkins University,FetchSGD: Communication-Efficient Federated Learning with Sketching
25,Sicong Huang,University of Toronto,Roger Grosse,University of Toronto and Vector Institute,Evaluating Lossy Compression Rates of Deep Generative Models
26,Keerti Anand,Duke University,Debmalya Panigrahi,Duke University,Customizing ML Predictions for Online Algorithms
27,Chi Jin,Princeton University,Michael Jordan,UC Berkeley,What is Local Optimality in Nonconvex-Nonconcave Minimax Optimization?
28,Lan N. Nguyen,University of Florida,My T. Thai,University of Florida,Streaming k-Submodular Maximization under Noise subject to Size Constraint
29,Prashanth L.A.,IIT Madras,Ravi Kolla,ABInBev,Concentration bounds for CVaR estimation: The cases of light-tailed and heavy-tailed distributions
30,Zonghan Yang,Tsinghua University,Zuoqiang Shi,Tsinghua University,Interpolation between Residual and Non-Residual Networks
31,XICHUAN ZHOU,Chongqing University,Cong Shi,Chongqing University,MoNet3D: Towards Accurate Monocular 3D Object Localization in Real Time
32,Shiyu Li,Duke University,Yiran Chen,Duke University,PENNI: Pruned Kernel Sharing for Efficient CNN Inference
33,Vihari Piratla,IIT Bombay,Sunita Sarawagi,IIT Bombay,Efficient Domain Generalization via Common-Specific Low-Rank Decomposition
34,LEI FENG,Nanyang Technological University,Masashi Sugiyama,RIKEN / The University of Tokyo,Learning with Multiple Complementary Labels
35,Sepideh Mahabadi,Toyota Technological Institute at Chicago,Ali Vakilian,University of Wisconsin-Madison,Individual Fairness for k-Clustering
36,Steve Li,University of Massachusetts Amherst,Benjamin M Marlin,University of Massachusetts Amherst,Learning from Irregularly-Sampled Time Series: A Missing Data Perspective
37,Abhishek Kumar,Google Brain,Ben Poole,Google Brain,On Implicit Regularization in $\beta$-VAEs
38,AmirEmad Ghassami,UIUC,Kun Zhang,Carnegie Mellon University,Characterizing Distribution Equivalence and Structure Learning for Cyclic and Acyclic Directed Graphs
39,Hao Wu,Northeastern University,Jan-Willem van de Meent,Northeastern University,Amortized Population Gibbs Samplers with Neural Sufficient Statistics
40,Changyi Xiao,University of Science and Technology of China,Ligang Liu,University of Science and Technology of China,Generative Flows with Matrix Exponential
41,Jenny Hamer,Google Research,Ananda Theertha Suresh,Google Research,FedBoost: A Communication-Efficient Algorithm for Federated Learning
42,Yuandong Tian,Facebook AI Research,Yuandong Tian,Facebook AI Research,Student Specialization in Deep Rectified Networks With Finite Width and Input Dimension
43,Daniel Kunin,Stanford University,Daniel Yamins,Stanford University,Two Routes to Scalable Credit Assignment without Weight Symmetry
44,Jingfeng Wu,Johns Hopkins University,Zhanxing Zhu,Peking University,On the Noisy Gradient Descent that Generalizes as SGD
45,Changxiao Cai,Princeton University,Yuxin Chen,Princeton University,"Uncertainty quantification for nonconvex tensor completion: Confidence intervals, heteroscedasticity and optimality"
46,Yaodong Yang,Tianjin University,Zhongyu Wei,Fudan University,Q-value Path Decomposition for Deep Multiagent Reinforcement Learning
47,Dejun Chu,Tsinghua University,Qing Tao,Army Academy of Artillery and Air Defense,"Semismooth Newton Algorithm for Efficient Projections onto $\ell_{1, \infty}$-norm Ball"
48,Qi Cai,Northwestern University,Zhaoran Wang,Northwestern U,Provably Efficient Exploration in Policy Optimization
49,Jiaxian Guo,The University of Sydney,Dacheng Tao,The University of Sydney,LTF: A Label Transformation Framework for Correcting Label Shift
50,Chaosheng Dong,University of Pittsburgh,Bo Zeng,University of Pittsburgh,"Expert Learning through Generalized Inverse Multiobjective Optimization: Models, Insights, and Algorithms"
51,Jooyoung Moon,Seoul National University of Science and Technology,Sangheum Hwang,Seoul National University of Science and Technology,Confidence-Aware Learning for Deep Neural Networks
52,Zeyu Zheng,University of Michigan,Satinder Singh,DeepMind,What Can Learned Intrinsic Rewards Capture?
53,Kaito Fujii,National Institute of Informatics,Kaito Fujii,National Institute of Informatics,Approximation Guarantees of Local Search Algorithms via Localizability of Set Functions
54,Dandan Guo,"National Laboratory of Radar Signal Processing, Xidian University",Mingyuan Zhou,University of Texas at Austin,Recurrent Hierarchical Topic-Guided RNN for Language Generation
55,Sen Wu,Stanford University,Christopher Re,Stanford,On the Generalization Effects of Linear Transformations in Data Augmentation
56,Hussein Mozannar,Massachusetts Institute of Technology,Nati Srebro,Toyota Technological Institute at Chicago,Fair Learning with Private Demographic Data
57,Richard Zhang,Google Brain,Daniel Golovin,"Google, Inc.",Random Hypervolume Scalarizations for Provable Multi-Objective Black Box Optimization
