39,2016,Rhiannon V. Rose,Western University,Daniel J. Lizotte,Western University,MLHC,gLOP - the global and Local Penalty for Capturing Predictive Heterogeneity.,2,http://proceedings.mlr.press/v56/Rose16.html,https://dblp.org/rec/conf/mlhc/RoseL16
40,2016,Peter J. Schüffler,Memorial Sloan Kettering Cancer Center,Thomas J. Fuchs,Memorial Sloan Kettering Cancer Center,MLHC,Mitochondria-based Renal Cell Carcinoma Subtyping - Learning from Deep vs. Flat Feature Representations.,6,http://proceedings.mlr.press/v56/Schuffler16.html,https://dblp.org/rec/conf/mlhc/SchufflerSMRTF16
41,2016,Pierre Thodoroff,McGill University,Andrew Lim 0002,University of Toronto,MLHC,Learning Robust Features using Deep Learning for Automatic Seizure Detection.,3,http://proceedings.mlr.press/v56/Thodoroff16.html,https://dblp.org/rec/conf/mlhc/ThodoroffPL16
42,2016,Truyen Tran 0001,Deakin University,Svetha Venkatesh,Deakin University,MLHC,Preterm Birth Prediction - Stable Selection of Interpretable Rules from High Dimensional Data.,6,http://proceedings.mlr.press/v56/Tran16.html,https://dblp.org/rec/conf/mlhc/TranLPMRV16
43,2016,Ilia Vovsha,Columbia University,Ronald J. Wapner,Columbia University Medical Center,MLHC,Using Kernel Methods and Model Selection for Prediction of Preterm Birth.,11,http://proceedings.mlr.press/v56/Vovsha16.html,https://dblp.org/rec/conf/mlhc/VovshaSRKRRRHDT16
44,2016,Yanbo Xu,Johns Hopkins University,Suchi Saria,Johns Hopkins University,MLHC,A Non-parametric Bayesian Approach for Estimating Treatment-Response Curves from Sparse Time Series.,3,http://proceedings.mlr.press/v56/Xu16.html,https://dblp.org/rec/conf/mlhc/XuXS16
45,2016,Cheng Zhang 0005,KTH Royal Institute of Technology,Bo C. Bertilson, Karolinska Institutet,MLHC,Diagnostic Prediction Using Discomfort Drawings with IBTM.,4,http://proceedings.mlr.press/v56/Zhang16.html,https://dblp.org/rec/conf/mlhc/ZhangKEB16
46,2016,Finale Doshi-Velez,nan,Jenna Wiens,nan,MLHC,"Proceedings of the 1st Machine Learning in Health Care, MLHC 2016, Los Angeles, CA, USA, August 19-20, 2016",5,http://proceedings.mlr.press/v56/,https://dblp.org/rec/conf/mlhc/2016
47,2020,Yuan Luo 0004,Northwestern University,Chengsheng Mao,Northwestern University,MLHC,ScanMap - Supervised Confounding Aware Non-negative Matrix Factorization for Polygenic Risk Modeling.,2,http://proceedings.mlr.press/v126/luo20a.html,https://dblp.org/rec/conf/mlhc/0004M20
48,2020,George-Alexandru Adam,University of Toronto,Anna Goldenberg,University of Toronto,MLHC,Hidden Risks of Machine Learning Applied to Healthcare - Unintended Feedback Loops Between Models and Future Data Causing Model Degradation.,4,http://proceedings.mlr.press/v126/adam20a.html,https://dblp.org/rec/conf/mlhc/AdamCHG20
49,2020,Riddhiman Adib,Marquette University,Mohammad Adibuzzaman,Purdue University,MLHC,A Causally Formulated Hazard Ratio Estimation through Backdoor Adjustment on Structural Causal Model.,4,http://proceedings.mlr.press/v126/adib20a.html,https://dblp.org/rec/conf/mlhc/AdibGAA20
50,2020,Monica Agrawal,Massachusetts Institute of Technology,David Sontag,Massachusetts Institute of Technology,MLHC,Robust Benchmarking for Machine Learning of Clinical Entity Extraction.,5,http://proceedings.mlr.press/v126/agrawal20a.html,https://dblp.org/rec/conf/mlhc/AgrawalOFLS20
51,2020,Srikesh Arunajadai,Kantar Inc. (Health Division),Tom Haskell,Kantar Inc. (Health Division),MLHC,Addressing Sample Size Challenges in Linked Data Through Data Fusion.,3,http://proceedings.mlr.press/v126/arunajadai20a.html,https://dblp.org/rec/conf/mlhc/ArunajadaiLH20
52,2020,Hari Bandi,Massachusetts Institute of Technology,Dimitris Bertsimas,Massachusetts Institute of Technology,MLHC,Optimizing Influenza Vaccine Composition - From Predictions to Prescriptions.,2,http://proceedings.mlr.press/v126/bandi20a.html,https://dblp.org/rec/conf/mlhc/BandiB20
53,2020,Oswald Barral,University of British Columbia,Thalia Shoshana Field,University of British Columbia,MLHC,Non-Invasive Classification of Alzheimer's Disease Using Eye Tracking and Language.,8,http://proceedings.mlr.press/v126/barral20a.html,https://dblp.org/rec/conf/mlhc/BarralJNSSCCF20
54,2020,Tom Beer,Israel Institute of Technology,Uri Shalit,Israel Institute of Technology,MLHC,Using deep networks for scientific discovery in physiological signals.,5,http://proceedings.mlr.press/v126/beer20a.html,https://dblp.org/rec/conf/mlhc/BeerEGES20
55,2020,George H. Chen,Carnegie Mellon University,George H. Chen,Carnegie Mellon University,MLHC,Deep Kernel Survival Analysis and Subject-Specific Survival Time Prediction Intervals.,1,http://proceedings.mlr.press/v126/chen20a.html,https://dblp.org/rec/conf/mlhc/Chen20
56,2020,Matthew Engelhard,Duke University,Ricardo Henao,Duke University,MLHC,Neural Conditional Event Time Models.,4,http://proceedings.mlr.press/v126/engelhard20a.html,https://dblp.org/rec/conf/mlhc/EngelhardBDH20
57,2020,Ian Fox,University of Michigan,Jenna Wiens,University of Michigan,MLHC,Deep Reinforcement Learning for Closed-Loop Blood Glucose Control.,4,http://proceedings.mlr.press/v126/fox20a.html,https://dblp.org/rec/conf/mlhc/FoxLPW20
58,2020,Lovedeep Gondara,Simon Fraser University,Ke Wang 0001,Simon Fraser University,MLHC,Differentially Private Survival Function Estimation.,2,http://proceedings.mlr.press/v126/gondara20a.html,https://dblp.org/rec/conf/mlhc/Gondara020
