,first-author,,first-author-affiliation,last-author,,last-author-affiliation,title
179,Ahmed M. Alaa,Male,UCLA,Mihaela van der Schaar,Male,UCLA,Limits of Estimating Heterogeneous Treatment Effects: Guidelines for Practical Algorithm Design
180,Jingyi Xu,Female,"University of California, Los Angeles",Guy Van den Broeck,Male,"University of California, Los Angeles",A Semantic Loss Function for Deep Learning with Symbolic Knowledge
181,Jiong Zhang,Male,University of Texas at Austin,Inderjit Dhillon,Male,UT Austin & Amazon,Stabilizing Gradients for Deep Neural Networks via Efficient SVD Parameterization
182,Yancheng Yuan,Male,National University of Singapore,Kim-Chuan Toh,Male,National University of Singapre,An Efficient Semismooth Newton based Algorithm for Convex Clustering
183,Shuai Zheng,Male,Hong Kong University of Science and Technology,James Kwok,Male,Hong Kong University of Science and Technology,Lightweight Stochastic Optimization for Minimizing Finite Sums with Infinite Data
184,Masanori SUGANUMA,Male,RIKEN AIP / Tohoku University,Takayuki Okatani,Male,Tohoku University/RIKEN AIP,Exploiting the Potential of Standard Convolutional Autoencoders for Image Restoration by Evolutionary Search
185,Hieu Pham,Male,Carnegie Mellon University,Jeff Dean,Male,Google Brain,Efficient Neural Architecture Search via Parameters Sharing
186,chao qu,Male,technion,Huan Xu,Male,Georgia Tech,Non-convex Conditional Gradient Sliding
187,Dongruo Zhou,Male,"University of California, Los Angeles",Quanquan Gu,Male,UCLA,Stochastic Variance-Reduced Cubic Regularized Newton Method
188,Sanjeev Arora,Male, Princeton University and Institute for Advanced Study,Elad Hazan,Male,Google Brain and Princeton University,On the Optimization of Deep Networks: Implicit Acceleration by Overparameterization
189,Zhenyu Liao,Male,"L2S, CentraleSupelec",Romain Couillet,Male,CentralSupélec,The Dynamics of Learning: A Random Matrix Approach
190,Ting Chen,Male,UCLA,Yizhou Sun,Female,UCLA,Learning K-way D-dimensional Discrete Codes for Compact Embedding Representations
191,Tameem Adel,Male,University of Cambridge,Adrian Weller,Male,"University of Cambridge, Alan Turing Institute",Discovering Interpretable Representations for Both Deep Generative and Discriminative Models
192,Changyou Chen,Male,SUNY at Buffalo,Lawrence Carin,Male,Duke,Continuous-Time Flows for Efficient Inference and Density Estimation
193,Tom Rainforth,Male,University of Oxford,Yee Whye Teh,Male,Oxford and DeepMind,Tighter Variational Bounds are Not Necessarily Better
194,Yunbo Wang,Male,Tsinghua University,Philip Yu,Male,UIC,PredRNN++: Towards A Resolution of the Deep-in-Time Dilemma in Spatiotemporal Predictive Learning
195,Jinsung Yoon,Male,"University of California, Los Angeles",Mihaela van der Schaar,Male,University of Oxford,RadialGAN: Leveraging multiple datasets to improve target-specific predictive models using Generative Adversarial Networks
196,Shengyang Sun,Male,University of Toronto,Roger Grosse,Male,University of Toronto and Vector Institute,Differentiable Compositional Kernel Learning for Gaussian Processes
197,Minyoung Kim,Male,"SeoulTech, Rutgers University",Minyoung Kim,Male,"SeoulTech, Rutgers University",Markov Modulated Gaussian Cox Processes for Semi-Stationary Intensity Modeling of Events Data
198,Marc Abeille,Male,Criteo,Alessandro Lazaric,Male,Facebook AI Research,Improved Regret Bounds for Thompson Sampling in Linear Quadratic Control Problems
