,first-author,,first-author-affiliation,last-author,,last-author-affiliation,title
219,Travis Gibson,Male,Harvard Medical School,Georg Gerber,Male,Harvard Medical School,Robust and Scalable Models of Microbiome Dynamics
220,Xuhong LI,Female,CNRS/UTC Heudiasyc,Franck Davoine,Male,"CNRS, Université de technologie de Compiègne",Explicit Inductive Bias for Transfer Learning with Convolutional Networks
221,Zhao Chen,Male,"Magic Leap, Inc",Andrew Rabinovich,Male,"Magic Leap, Inc.",GradNorm: Gradient Normalization for Adaptive Loss Balancing in Deep Multitask Networks
222,Piotr Bojanowski,Male,Facebook,Arthur Szlam,Male,Facebook,Optimizing the Latent Space of Generative Networks
223,Morino Pan,Male,Fudan University,Daizong Ding,Male,Fudan University,Theoretical Analysis of Image-to-Image Translation with Adversarial Learning
224,Tuomas Haarnoja,Male,UC Berkeley,Sergey Levine,Male,Berkeley,Soft Actor-Critic: Off-Policy Maximum Entropy Deep Reinforcement Learning with a Stochastic Actor
225,Paavo Parmas,Male,Okinawa Institute of Science and Technology Graduate University,Kenji Doya,Male,Okinawa Institute of Science and Technology,PIPPS: Flexible Model-Based Policy Search Robust to the Curse of Chaos
226,Andreas Doerr,Male,"Bosch Center for Artificial Intelligence, Max Planck Institute for Intelligent Systems",Sebastian Trimpe,Male,Max Planck Institute for Intelligent Systems,Probabilistic Recurrent State-Space Models
227,Xiaoyu Lu,Male,University of Oxford,Neil Lawrence,Male,Amazon,Structured Variationally Auto-encoded Optimization
228,Sue Zheng,Male,MIT,John Fisher,Male,MIT,A Robust Approach to Sequential Information Theoretic Planning
229,Miles Lopes,Male,"University of California, Davis",Michael Mahoney,Male,UC Berkeley,Error Estimation for Randomized Least-Squares Algorithms via the Bootstrap
230,Zhengyuan Zhou,Male,Stanford University,Franck Davoine,Male,Stanford University,Distributed Asynchronous Optimization with Unbounded Delays: How Slow Can You Go?
231,Jiaxiang Wu,Male,Tencent AI Lab,Tong Zhang,Male,Tecent AI Lab,Error Compensated Quantized SGD and its Applications to Large-scale Distributed Optimization
232,Ahmed Douik,Male,California Institute of technology,Babak Hassibi,Male,Caltech,Low-Rank Riemannian Optimization on Positive Semidefinite Stochastic Matrices with Applications to Graph Clustering
233,Lukas Balles,Male,Max Planck Institute for Intelligent Systems,Philipp Hennig,Male,University of Tübingen,"Dissecting Adam: The Sign, Magnitude and Variance of Stochastic Gradients"
234,Thomas Dietterich,Male,(organization),Zhitang Chen,Male,Huawei Noah’s Ark Lab,Discovering and Removing Exogenous State Variables and Rewards for Reinforcement Learning
235,Matej Balog,Male,University of Cambridge and MPI Tübingen,Bernhard Schölkopf,Male,"MPI for Intelligent Systems Tübingen, Germany",Differentially Private Database Release via Kernel Mean Embeddings
236,Gail Weiss,Male,Technion,Eran Yahav,Male,Technion,Extracting Automata from Recurrent Neural Networks Using Queries and Counterexamples
237,Christian Walder,Male,"Data61, the Australian National University",Dongwoo Kim,Male,The Australian National University,Neural Dynamic Programming for Musical Self Similarity
238,Jiong Zhang,Male,University of Texas at Austin,Inderjit Dhillon,Male,UT Austin & Amazon,Learning long term dependencies via Fourier recurrent units
