,year,first-author,first-author-affiliation,first-author-author-affiliation-country,last-author,last-author-affiliation,last-author-affiliation-country,journal/conference,title,number-of-authors,paper-url,DBLP-url
0,2011,Tamitha Carpenter,,,Emi Fujioka,,,Analyzing Microtext,The Role and Identification of Dialog Acts in Online Chat.,2,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3998,https://dblp.org/rec/conf/aaai/CarpenterF11
1,2011,Kyle D. Dent,,,Sharoda A. Paul,,,Analyzing Microtext,Through the Twitter Glass - Detecting Questions in Micro-Text.,2,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3869,https://dblp.org/rec/conf/aaai/DentP11
2,2011,Andrew Duchon,,,Ian Yohai,,,Analyzing Microtext,"Analysis of C2 and ""C2-Lite"" Micro-Message Communications.",6,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3880,https://dblp.org/rec/conf/aaai/DuchonMRSWY11
3,2011,Jennifer Foster,,,Josef van Genabith,,,Analyzing Microtext,#hardtoparse - POS Tagging and Parsing the Twitterverse.,8,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3912,https://dblp.org/rec/conf/aaai/FosterCWRHNHG11
4,2011,Boris A. Galitsky,,,Josep Lluís de la Rosa,,,Analyzing Microtext,Learning Ontologies from the Web for Microtext Processing.,3,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3971,https://dblp.org/rec/conf/aaai/GalitskyDR11
5,2011,Vita Markman,,,Vita Markman,,,Analyzing Microtext,Unsupervised Discovery of Fine-Grained Topic Clusters in Twitter Posts.,1,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3831,https://dblp.org/rec/conf/aaai/Markman11
6,2011,Eni Mustafaraj,,,Panagiotis Takis Metaxas,,,Analyzing Microtext,What Edited Retweets Reveal about Online Political Discourse.,2,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3980,https://dblp.org/rec/conf/aaai/MustafarajM11
7,2011,Viswa Mani Kiran Peddinti,,,Prakriti Chintalapoodi,,,Analyzing Microtext,Domain Adaptation in Sentiment Analysis of Twitter.,2,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3992,https://dblp.org/rec/conf/aaai/PeddintiC11
8,2011,Sowmya Ramachandran,,,Shaun Sucillon,,,Analyzing Microtext,Untangling Topic Threads in Chat-Based Communication - A Case Study.,6,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3942,https://dblp.org/rec/conf/aaai/RamachandranJBCDS11
9,2011,Hitesh Sajnani,,,Cristina Videira Lopes,,,Analyzing Microtext,Multi-Label Classification of Short Text - A Study on Wikipedia Barnstars.,4,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3909,https://dblp.org/rec/conf/aaai/SajnaniJML11
10,2011,Tomek Strzalkowski,,,Sarah M. Taylor,,,Analyzing Microtext,Modeling Socio-Cultural Phenomena in Online Multi-Party Discourse.,6,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3951,https://dblp.org/rec/conf/aaai/StrzalkowskiBSSLT11
11,2011,Yi-jie Tang,,,Hsin-Hsi Chen,,,Analyzing Microtext,A Comparison between Microblog Corpus and Balanced Corpus from Linguistic and Sentimental Perspectives.,3,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3842,https://dblp.org/rec/conf/aaai/TangLC11
12,2011,Zhenzhen Xue,,,Brian D. Davison 0001,,,Analyzing Microtext,Normalizing Microtext.,3,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3987,https://dblp.org/rec/conf/aaai/XueYD11
13,2011,Joel Young,,,Henry Tucker Gilbert IV,,,Analyzing Microtext,A Microtext Corpus for Persuasion Detection in Dialog.,5,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3896,https://dblp.org/rec/conf/aaai/YoungMAOGG11
14,2011,Renxian Zhang,,,Wenjie Li 0002,,,Analyzing Microtext,What Are Tweeters Doing - Recognizing Speech Acts in Twitter.,3,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3803,https://dblp.org/rec/conf/aaai/ZhangGL11
15,2011,Jakob E. Bardram,,,Jakob E. Bardram,,,Activity Context Representation,The Activity-Based Computing Project.,1,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3865,https://dblp.org/rec/conf/aaai/Bardram11
16,2011,Dan Diaper,,,Dan Diaper,,,Activity Context Representation,Defining and Representing Activity Context for Systems Analysis.,1,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3881,https://dblp.org/rec/conf/aaai/Diaper11
17,2011,Dan Diaper,,,Dan Diaper,,,Activity Context Representation,"A Formal Systems Approach to Machine Capture, Representation and Use of Activity Context.",1,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3882,https://dblp.org/rec/conf/aaai/Diaper11a
18,2011,Gabriel Ganberg,,,Jeff Rousseau,,,Activity Context Representation,Representing Context Using the Context for Human and Automation Teams Model.,5,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3925,https://dblp.org/rec/conf/aaai/GanbergASTR11
19,2011,Juan Gómez-Romero,,,Miguel Delgado 0001,,,Activity Context Representation,Context Representation and Reasoning with Formal Ontologies.,3,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3915,https://dblp.org/rec/conf/aaai/Gomez-RomeroBD11
20,2011,Laura Zavala,,,Anupam Joshi,,,Activity Context Representation,"Mobile, Collaborative, Context-Aware Systems.",5,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3986,https://dblp.org/rec/conf/aaai/GutierrezDJFJ11
21,2011,Arijit Laha,,,Arijit Laha,,,Activity Context Representation,A Rich Context Model for Knowledge-Works.,1,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3876,https://dblp.org/rec/conf/aaai/Laha11
22,2011,Fei Li 0002,,,Schahram Dustdar,,,Activity Context Representation,Incorporating Unsupervised Learning in Activity Recognition.,2,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3899,https://dblp.org/rec/conf/aaai/LiD11
23,2011,Tom Lovett,,,Eamonn O'Neill,,,Activity Context Representation,Context Transitions - User Identification and Comparison of Mobile Device Motion Data.,2,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3920,https://dblp.org/rec/conf/aaai/LovettO11
24,2011,Fernando Lyardet,,,Diego Wong Szeto,,,Activity Context Representation,InSitu - An Approach for Dynamic Context Labeling Based on Product Usage and Sound Analysis.,3,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3922,https://dblp.org/rec/conf/aaai/LyardetHS11
25,2011,Boris Moltchanov,,,Carlo Alberto Licciardi,,,Activity Context Representation,Context Management Framework and Context Representation for MNO.,4,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3933,https://dblp.org/rec/conf/aaai/MoltchanovFVL11
26,2011,Marcela D. Rodríguez,,,Juan-Pablo García-Vázquez,,,Activity Context Representation,CARe - An Ontology for Representing Context of Activity-Aware Healthcare Environments.,5,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3872,https://dblp.org/rec/conf/aaai/RodriguezTFSG11
27,2011,Yasamin Sahaf,,,Diane J. Cook,,,Activity Context Representation,Defining the Complexity of an Activity.,3,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3946,https://dblp.org/rec/conf/aaai/SahafKC11
28,2011,Fuming Shih,,,Lukas Kuhn,,,Activity Context Representation,Enabling Semantic Understanding of Situations from Contextual Data In A Privacy-Sensitive Manner.,3,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3926,https://dblp.org/rec/conf/aaai/ShihNK11
29,2011,Yi-Ting Tsao,,,Jane Yung-jen Hsu,,,Activity Context Representation,Personal Activity Logger with Hierarchical Activity Representation.,2,http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3901,https://dblp.org/rec/conf/aaai/TsaoH11
