,first-author-affiliation,last-author-affiliation,title
0," Network Dynamics and Simulation Science Laboratory, Virginia Bioinformatics Institute, Virginia Tech, VA"," Network Dynamics and Simulation Science Laboratory, Virginia Bioinformatics Institute, Virginia Tech, VA",Sensitivity of diffusion dynamics to network uncertainty
1," Raytheon BBN Technologies, Cambridge, MA"," iRobot Corporation, Bedford, MA",A morphogenetically assisted design variation tool
2," Robotics Institute, Carnegie Mellon University, Pittsburgh, PA"," Robotics Institute, Carnegie Mellon University, Pittsburgh, PA",Truncated incremental search: faster replanning by exploiting suboptimality
3," Electronics and Computer Science, University of Southampton, U.K."," Electronics and Computer Science, University of Southampton, U.K.",Interdependent multi-issue negotiation for energy exchange in remote communities
4," University of Nottingham, Nottingham, UK"," Utrecht University, Utrecht, The Netherlands",Multi-cycle query caching in agent programming
5," Tel-Aviv University and Microsoft Research, Herzliya"," Technion-Israel Institute of Technology and Microsoft Research, Herzliya",Bundling attacks in judgment aggregation
6," NUS Graduate School for Integrative Sciences and Engineering and Department of Computer Science, National University of Singapore"," NUS Graduate School for Integrative Sciences and Engineering and Department of Computer Science, National University of Singapore",A pattern matching based model for implicit opinion question identification
7," Department of Computer Science, Duke University, Durham, NC"," Department of Computer Science, Duke University, Durham, NC",Fast equilibrium computation for infinitely repeated games
8, Rensselaer Polytechnic Institute, GreaneTree Technology,On the social welfare of mechanisms for repeated batch matching
9," Sloan School of Management, MIT"," Microsoft Research, Herzlyia, Israel",Equilibria of online scheduling algorithms
10," NICTA and UNSW, Sydney, Australia"," NICTA and UNSW, Sydney, Australia",Ties matter: complexity of manipulation when tie-breaking with a random vote
11," Microsoft Research, Cambridge, UK"," MIT, Cambridge, MA",Optimal coalition structure generation in cooperative graph games
12," School of Computing, The University of Southern Mississippi, Hattiesburg, MS"," School of Computing, The University of Southern Mississippi, Hattiesburg, MS",Pruning for Monte Carlo distributed reinforcement learning in decentralized POMDPs
13," Cognitive Systems Laboratory, Department of Computer Science, University of California, Los Angeles, Los Angeles, CA"," Cognitive Systems Laboratory, Department of Computer Science, University of California, Los Angeles, Los Angeles, CA",Causal transportability with limited experiments
14," Dept. of Computer Science, The Univ. of Texas at Austin, Austin, TX"," Dept. of Industrial Engineering, Jerusalem College of Technology, Jerusalem, Israel",Teamwork with limited knowledge of teammates
15," Microsoft Research, Redmond, WA"," University of Washington, Seattle, WA",Teaching classification boundaries to humans
16," Bar-Ilan University, Israel"," Bar-Ilan University, Israel",Social rankings in human-computer committees
17," Computer Science and Artificial Intelligence Laboratory, Massachusetts Institute of Technology, Cambridge, MA"," Computer Science and Engineering, University of Michigan, Ann Arbor, MI",Decoupling the multiagent disjunctive temporal problem
18," Ben-Gurion University, Beer-Sheva, Israel"," University of Massachusetts, Amherst, MA",Qualitative planning under partial observability in multi-agent domains
19, Aarhus University, Carnegie Mellon University,How bad is selfish voting?
20," Institute for Integrated and Intelligent Systems, Griffith University, Brisbane, Australia and Key laboratory of High Confidence Software Technologies, Peking University, Beijing, China"," Key laboratory of High Confidence Software Technologies, Peking University, Beijing, China",Improving walk SAT for random k-satisfiability problem with k > 3
21," Department of Informatics Engineering, Faculty of Engineering, University of Porto, Porto and HASLab, INESC Tec, Braga, Portugal"," Department of Informatics Engineering, Faculty of Engineering, University of Porto, Porto and HASLab, INESC Tec, Braga, Portugal",A kernel density estimate-based approach to component goodness modeling
22, Virginia Tech, Princeton University,Instructor rating markets
23," School of Computer Science and Technology, Anhui University, Hefei, China"," School of Computer Science and Technology, Anhui University, Hefei, China",Uncorrelated Lasso
24," Dept. of Computer Science and Engineering, Washington University in St. Louis"," School of Computer Science and Technology, University of Science and Technology of China",Goal-oriented Euclidean heuristics with manifold learning
25," State Key Laboratory of Software Development Environment, Beihang University, P. R. China and School of Computing, National University of Singapore, Singapore"," School of Computing, National University of Singapore, Singapore",From interest to function: location estimation in social media
26," Computer Science Department, University of California, Los Angeles"," Computer Science Department, University of California, Los Angeles",Dynamic minimization of sentential decision diagrams
27," Fondazione Bruno Kessler, Italy"," Fondazione Bruno Kessler, Italy",Timelines with temporal uncertainty
28," Department of Computer Science and Engineering, University of Minnesota, Minneapolis, MN"," Department of Computer Science and Engineering, University of Minnesota, Minneapolis, MN",Online lazy updates for portfolio selection with transaction costs
29," Department of Computer Science, University of Toronto, Toronto, Canada"," Department of Computer Science, University of Toronto, Toronto, Canada",Assumption-based planning: generating plans and explanations under incomplete knowledge
