,first-author,first-author-affiliation,First Author Gender,last-author,last-author-affiliation,Last Author Gender,title
0,Yonatan Geifman,Technion,Male,Ran El-Yaniv,Technion,Male,SelectiveNet: A Deep Neural Network with an Integrated Reject Option
1,Vikas Verma,Aalto University,Male,Yoshua Bengio,Mila / U. Montreal,Male,Manifold Mixup: Better Representations by Interpolating Hidden States
2,Angelos Katharopoulos,Idiap & EPFL,Male,Francois Fleuret,Idiap research institute,Male,Processing Megapixel Images with Deep Attention-Sampling Models
3,Sung Whan Yoon,Korea Advanced Institute of Science and Technology (KAIST),,Jaekyun Moon,KAIST,Male,TapNet: Neural Network Augmented with Task-Adaptive Projection for Few-Shot Learning
4,Chelsea Finn,"Stanford, Google, UC Berkeley",Female,Sergey Levine,UC Berkeley,Male,Online Meta-Learning
5,Arild Nøkland,Kongsberg Seatex,,Lars Hiller Eidnes,None,Male,Training Neural Networks with Local Error Signals
6,Meng Qu,MILA,Male,Jian Tang,HEC Montreal & MILA,Male,GMNN: Graph Markov Neural Networks
7,Junhyun Lee,Korea University,,Jaewoo Kang,Korea University,Male,Self-Attention Graph Pooling
8,Sunil Thulasidasan,Los Alamos National Laboratory & University of Washington,Male,Jamal Mohd-Yusof,Los Alamos National Laboratory,Male,Combating Label Noise in Deep Learning using Abstention
9,Huaiyu Li,"Institute of Automation, Chinese Academy of Sciences",,Bao-Gang Hu,"Institute of Automation, Chinese Academy of Sciences",Male,LGM-Net: Learning to Generate Matching Networks for Few-Shot Learning
10,Han Zhang,Google,Male,Augustus Odena,Google Brain,Male,Self-Attention Generative Adversarial Networks
11,Ziliang Chen,Sun Yat-sen University,Male,Liang Lin,Sun Yat-sen University,Male,Multivariate-Information Adversarial Ensemble for Scalable Joint Distribution Matching
12,Mario Lucic,Google Brain,Male,Sylvain Gelly,Google Brain,Male,High-Fidelity Image Generation With Fewer Labels
13,Loic Simon,CNRS GREYC UMR 6072,,Julien Rabin,Unicaen,Male,Revisiting precision recall definition for generative modeling
14,Yonatan Dukler,UCLA,Male,Guido Montufar,UCLA,Male,Wasserstein of Wasserstein Loss for Learning Generative Models
15,Thomas Möllenhoff,TU Munich,Male,Daniel Cremers,TU Munich,Male,Flat Metric Minimization with Applications in Generative Modeling
16,YOGESH Balaji,University of Maryland,Male,Soheil Feizi,University of Maryland,Male,Entropic GANs meet VAEs: A Statistical Approach to Compute Sample Likelihoods in GANs
17,Rajhans Singh,Arizona State University,Male,Martin  Braun,Intel Corporation,Male,Non-Parametric Priors For Generative Adversarial Networks
18,Zhiming Zhou,Shanghai Jiao Tong University,,Zhihua Zhang,Peking University,Male,Lipschitz Generative Adversarial Nets
19,Uiwon Hwang,Seoul National University,Male,Sungroh Yoon,Seoul National University,Male,HexaGAN: Generative Adversarial Nets for Real World Classification
20,Yujia Li,DeepMind,Male,Pushmeet Kohli,DeepMind,Male,Graph Matching Networks for Learning the Similarity of Graph Structured Objects
21,Hongpeng Zhou,Delft University of Technology,Male,Wei Pan,TUDelft,Male,BayesNAS: A Bayesian Approach for Neural Architecture Search
22,Juho Lee,AITRICS,Male,Yee Whye Teh,Oxford and DeepMind,Male,Set Transformer: A Framework for Attention-based Permutation-Invariant Neural Networks
23,Yigitcan Kaya,"University of Maryland, College Park",Male ,Tudor Dumitras,University of Maryland,Male,Shallow-Deep Networks: Understanding and Mitigating Network Overthinking
24,Hongyang Gao,Texas A&M University,Male,Shuiwang Ji,Texas A&M University,Male,Graph U-Nets
25,Po-Wei Wang,Carnegie Mellon University,Male,Zico Kolter,Carnegie Mellon University / Bosch Center for AI,Male,SATNet: Bridging deep learning and logical reasoning using a differentiable satisfiability solver
26,Yang Li,Google Research,Male,Si Si,Google Research,Female,Area Attention
27,David So,Google Brain,Male ,Chen Liang,Google Brain,Male,The Evolved Transformer
28,Shengjie Wang,"""University of Washington, Seattle""",Male,Jeff Bilmes,UW,Male,Jumpout : Improved Dropout for Deep Neural Networks with ReLUs
29,Gwendoline De Bie,Ecole normale supérieure,,Marco Cuturi,ENSAE / CREST,Male,Stochastic Deep Networks
30,Yuandong Tian,Facebook AI Research,Male,Larry Zitnick,Facebook AI Research,Male,ELF OpenGo: an analysis and open reimplementation of AlphaZero
31,Corentin Tallec,Univ. Paris-Sud,,Yann Ollivier,Facebook Artificial Intelligence Research,Male,Making Deep Q-learning methods robust to time discretization
32,chao qu,Ant Financial Service Group,,Huan Xu,Georgia Tech,Male,Nonlinear Distributional Gradient Temporal-Difference Learning
33,jj Hunt,DeepMind,,Nicolas Heess,DeepMind,Male,Composing Entropic Policies using Divergence Correction
34,Tameem Adel,University of Cambridge,Male,Adrian Weller,"University of Cambridge, Alan Turing Institute",Male,TibGM: A Transferable and Information-Based Graphical Model Approach for Reinforcement Learning
35,Lantao Yu,Stanford University,Male,Stefano Ermon,Stanford University,Male,Multi-Agent Adversarial Inverse Reinforcement Learning
36,Christos Kaplanis,Imperial College London,Female,Claudia Clopath,Imperial College London,Female,Policy Consolidation for Continual Reinforcement Learning
37,Scott Fujimoto,McGill University,Male ,Doina Precup,McGill University / DeepMind,Female,Off-Policy Deep Reinforcement Learning without Exploration
38,Ruohan Wang,Imperial College London,Male ,Yiannis Demiris,Imperial College London,Male,Random Expert Distillation: Imitation Learning via Expert Policy Support Estimation
