,first-author,first-author-gender,first-author-affiliation,last-author,last-author-gender,last-author-affiliation,title
57,Aleksandar Bojchevski,Male,Technical University of Munich,Stephan Günnemann,Male,Technical University of Munich,NetGAN: Generating Graphs via Random Walks
58,Jayadev Acharya,Male,Cornell University,Huanyu Zhang,Male,Cornell University,INSPECTRE: Privately Estimating the Unseen
59,Or Sheffet,Male,University of Alberta,Or Sheffet,Male,University of Alberta,Locally Private Hypothesis Testing
60,Tuomas Haarnoja,Male,UC Berkeley,Sergey Levine,Male,Berkeley,Latent Space Policies for Hierarchical Reinforcement Learning
61,Mehrdad Farajtabar,Male,Georgia Tech,Mohammad Ghavamzadeh,Male,Facebook AI Research,More Robust Doubly Robust Off-policy Evaluation
62,Jianbo Chen,Male,"University of California, Berkeley",Michael Jordan,Male,UC Berkeley,Learning to Explain: An Information-Theoretic Perspective on Model Interpretation
63,Wenhan Luo,Male,Tencent AI Lab,Yizhou Wang,Male,Peking University,End-to-end Active Object Tracking via Reinforcement Learning
64,Rizal Fathony,Male,University of Illinois at Chicago,Brian Ziebart,Male,University of Illinois at Chicago,Efficient and Consistent Adversarial Bipartite Matching
65,Vlad Niculae,Male,Cornell University,Claire Cardie,Female,Cornell University,SparseMAP: Differentiable Sparse Structured Inference
66,Luca Franceschi,Male,Istituto Italiano di Tecnologia - University College London,Massimiliano Pontil,Male,University College London,Bilevel Programming for Hyperparameter Optimization and Meta-Learning
67,Ron Amit,Male,Technion – Israel Institute of Technology,Ron Meir,Male,Technion Israeli Institute of Technology,Meta-Learning by Adjusting Priors Based on Extended PAC-Bayes Theory
68,Robert Ganian,Male,TU Wien,Stefan Szeider,Male,TU Wien,Parameterized Algorithms for the Matrix Completion Problem
69,Praneeth Narayanamurthy,Male,Iowa State University,Namrata Vaswani,Male,Iowa State University,Nearly Optimal Robust Subspace Tracking
70,Zeyuan Allen-Zhu,Male,Microsoft Research AI,Zeyuan Allen-Zhu,Male,Microsoft Research AI,Katyusha X: Simple Momentum Method for Stochastic Sum-of-Nonconvex Optimization
71,Jeremy Bernstein,Male,Caltech,Anima Anandkumar,Female,Amazon AI & Caltech,signSGD: Compressed Optimisation for Non-Convex Problems
72,Anish Athalye,Male,MIT CSAIL,Kevin Kwok,Male,LabSix,Synthesizing Robust Adversarial Examples
73,Matthew Mirman,Male,ETH Zürich,Martin Vechev,Male,ETH Zurich,Differentiable Abstract Interpretation for Provably Robust Neural Networks
74,Jianfei Chen,Male,Tsinghua University,Le Song,Male,Georgia Institute of Technology,Stochastic Training of Graph Convolutional Networks with Variance Reduction
75,Thomas Kipf,Male,University of Amsterdam,Richard Zemel,Male,Vector Institute,Neural Relational Inference for Interacting Systems
76,Lars Mescheder,Male,MPI Tübingen,Sebastian Nowozin,Male,Microsoft Research,Which Training Methods for GANs do actually Converge?
77,Giambattista Parascandolo,Male,Max Planck Institute for Intelligent Systems and ETH Zurich,Bernhard Schölkopf,Male,"MPI for Intelligent Systems Tübingen, Germany",Learning Independent Causal Mechanisms
78,Junpei Komiyama,Male,U-Tokyo,Hajime Shimao,Male,Purdue University,Nonconvex Optimization for Regression with Fairness Constraints
79,Tatsunori Hashimoto,Male,Stanford,Percy Liang,Male,Stanford University,Fairness Without Demographics in Repeated Loss Minimization
80,Bo Zhao,Male,Peking University,Yizhou Wang,Male,Peking University,MSplit LBI: Realizing Feature Selection and Dense Estimation Simultaneously in Few-shot and Zero-shot Learning
81,Pengtao Xie,Male,Carnegie Mellon University,Eric Xing,Male,Petuum Inc. and CMU,Nonoverlap-Promoting Variable Selection
82,Zebang Shen,Male,Zhejiang University,Hui Qian,Female,Zhejiang University,Towards More Efficient Stochastic Decentralized Learning: Faster Convergence and Sparse Communication
83,Alvaro Sanchez-Gonzalez,Male,DeepMind,Peter Battaglia,Male,DeepMind,Graph Networks as Learnable Physics Engines for Inference and Control
84,Bobby Kleinberg,Male,Cornell,Yang Yuan,Male,Cornell University,An Alternative View: When Does SGD Escape Local Minima?
85,Xiangru Lian,Male,University of Rochester,Ji Liu,Male,University of Rochester,Asynchronous Decentralized Parallel Stochastic Gradient Descent
86,Andrew Lan,Male,Princeton University,Christoph Studer,Male,Cornell University,An Estimation and Analysis Framework for the Rasch Model
87,Seth Neel,Male,University of Pennsylvania,Aaron Roth,Male,University of Pennsylvania,Mitigating Bias in Adaptive Data Gathering via Differential Privacy
88,Marco Gaboardi,Male,Univeristy at Buffalo,Ryan Rogers,Male,Apple,Local Private Hypothesis Testing: Chi-Square Tests
89,Hyunjik Kim,Male,"DeepMind, University of Oxford",Andriy Mnih,Male,DeepMind,Disentangling by Factorising
90,Ronan Fruit,Male,Inria Lille Nord-Europe,Ronald Ortner,Male,Montanuniversitaet Leoben,Efficient Bias-Span-Constrained Exploration-Exploitation in Reinforcement Learning
91,Arthur Guez,Male,Google DeepMind,David Silver,Male,Google DeepMind,Learning to search with MCTSnets
92,Zhouyuan Huo,Male,University of Pittsburgh,Heng Huang,Male,University of Pittsburgh,Decoupled Parallel Backpropagation with Convergence Guarantee
93,Thanh Nguyen,Male,Iowa State University,Chinmay Hegde,Male,Iowa State University,On Learning Sparsely Used Dictionaries from Incomplete Samples
94,Amir Dezfouli,Male,UNSW,Richard Nock,Male,"Data61, The Australian National University and the University of Sydney",Variational Network Inference: Strong and Stable with Concrete Support
95,Lin Chen,Male,Yale University,Amin Karbasi,Male,Yale,Weakly Submodular Maximization Beyond Cardinality Constraints: Does Randomization Help Greedy?
96,Marko Mitrovic,Male,Yale University,Amin Karbasi,Male,Yale,Data Summarization at Scale: A Two-Stage Submodular Approach
97,Chao Tao,Male,Indiana University Bloomington,Yuan Zhou,Male,Indiana University Bloomington,Best Arm Identification in Linear Bandits with Linear Dimension Dependency
98,Sven Schmit,Male,Stanford University,Ramesh Johari,Male,Stanford University,Learning with Abandonment
99,Octavian-Eugen Ganea,Male,ETH Zurich,Thomas Hofmann,Male,ETH Zurich,Hyperbolic Entailment Cones for Learning Hierarchical Embeddings
100,Marco Fraccaro,Male,Technical University of Denmark,Fabio Viola,Male,DeepMind,Generative Temporal Models with Spatial Memory for Partially Observed Environments
101,Jakob Foerster,Male,Facebook AI Research,Shimon Whiteson,Male,University of Oxford,DiCE: The Infinitely Differentiable Monte Carlo Estimator
102,Kyle Helfrich,Male,University of Kentucky,Qiang Ye,Male,University of Kentucky,Orthogonal Recurrent Neural Networks with Scaled Cayley Transform
103,Stephen Tu,Male,UC Berkeley,Benjamin Recht,Male,Berkeley,Least-Squares Temporal Difference Learning for the Linear Quadratic Regulator
104,Yuanxiang Gao,Male,University of Toronto,Baochun Li,Male,University of Toronto,Spotlight: Optimizing Device Placement for Training Deep Neural Networks
105,Aravind Srinivas,Male,UC Berkeley,Chelsea Finn,Female,"Stanford, Google, UC Berkeley",Universal Planning Networks: Learning Generalizable Representations for Visuomotor Control
106,Maria Dimakopoulou,Male,Stanford,Benjamin Van Roy,Male,Stanford University,Coordinated Exploration in Concurrent Reinforcement Learning
107,Akifumi Okuno,Male,Kyoto University / RIKEN AIP,Hidetoshi Shimodaira,Male,Kyoto University / RIKEN AIP,A probabilistic framework for multi-view feature learning with many-to-many associations via neural networks
108,Hanjun Dai,Male,Georgia Tech,Le Song,Male,Georgia Institute of Technology,Learning Steady-States of Iterative Algorithms over Graphs
109,Anish Athalye,Male,MIT CSAIL,David Wagner,Male,UC Berkeley,Obfuscated Gradients Give a False Sense of Security: Circumventing Defenses to Adversarial Examples
110,L. Elisa Celis,Male,Yale,Nisheeth Vishnoi,Male,EPFL,Fair and Diverse DPP-Based Data Summarization
111,Suman Ravuri,Female,DeepMind,Oriol Vinyals,Male,DeepMind,Learning Implicit Generative Models with the Method of Learned Moments
112,Chenyang Tao,Male,Duke University,Lawrence Carin,Male,Duke,Chi-square Generative Adversarial Network
113,Teodor Vanislavov Marinov,Male,Johns Hopkins University,Raman Arora,Male,Johns Hopkins University,Streaming Principal Component Analysis in Noisy Setting
114,Jan-Hendrik Lange,Male,Max Planck Institute for Informatics,Bjoern Andres,Male,MPI for Informatics,Partial Optimality and Fast Lower Bounds for Weighted Correlation Clustering
115,Lam Nguyen,Male,Lehigh University & IBM T.J. Watson Research Center,Martin Takac,Male,Lehigh University,SGD and Hogwild! Convergence Without the Bounded Gradients Assumption
116,Pavel Dvurechenskii,Male,Weierstrass Institute for Applied Analysis and Stochastics,Alexey Kroshnin,Male,Institute for Information Transmission Problems,Computational Optimal Transport: Complexity by Accelerated Gradient Descent Is Better Than by Sinkhorn's Algorithm
117,Zachary Charles,Male,University of Wisconsin-Madison,Dimitris Papailiopoulos,Male,ECE at University of Wisconsin-Madison,Stability and Generalization of Learning Algorithms that Converge to Global Optima
118,Junhong Lin,Male,EPFL,Volkan Cevher,Male,EPFL,Optimal Rates of Sketched-regularized Algorithms for Least-Squares Regression over Hilbert Spaces
119,Noam Shazeer,Male,Google,Mitchell Stern,Male,UC Berkeley,Adafactor: Adaptive Learning Rates with Sublinear Memory Cost
120,Jack Rae,Male,DeepMind,Tim Lillicrap,Male,Google DeepMind,Fast Parametric Learning with Activation Memorization
121,Felix Draxler,Male,Heidelberg University,Fred Hamprecht,Male,Heidelberg Collaboratory for Image Processing,Essentially No Barriers in Neural Network Energy Landscape
122,Thomas Laurent,Male,Loyola Marymount University,James von Brecht,Male,CSULB,Deep Linear Networks with Arbitrary Loss: All Local Minima Are Global
123,Haitao Liu,Male,Rolls-Royce@NTU Corp Lab,Yew Soon ONG,Male,Nanyang Technological University,Generalized Robust Bayesian Committee Machine for Large-scale Gaussian Process Regression
124,Xiaoyue Xi,Male,Imperial College London,Mark Girolami,Male,Imperial College London,Bayesian Quadrature for Multiple Related Integrals
125,Haiguang Wen,Male,Purdue University,Zhongming Liu,Male,Purdue University,Deep Predictive Coding Network for Object Recognition
126,Tatsunori Taniai,Male,RIKEN AIP,Takanori Maehara,Male,RIKEN AIP,Neural Inverse Rendering for General Reflectance Photometric Stereo
127,Steve Mussmann,Male,Stanford University,Percy Liang,Male,Stanford University,On the Relationship between Data Efficiency and Error for Uncertainty Sampling
128,Yewen Pu,Male,MIT,Leslie Kaelbling,Male,(organization),Selecting Representative Examples for Program Synthesis
129,Marta Garnelo,Female,DeepMind,S. M. Ali Eslami,Male,DeepMind,Conditional Neural Processes
130,Nevan Wichers,Male,Google,Honglak Lee,Male,Google Brain,Hierarchical Long-term Video Prediction without Supervision
131,Jonathan Uesato,Male,DeepMind,Aäron van den Oord,Male,Google Deepmind,Adversarial Risk and the Dangers of Evaluating Against Weak Attacks
132,Shibani Santurkar,Male,MIT,Aleksander Madry,Male,MIT,A Classification-Based Study of Covariate Shift in GAN Distributions
133,Lisa Lee,Female,Carnegie Mellon University,Russ Salakhutdinov,Male,Carnegie Mellen University,Gated Path Planning Networks
134,Carlos Florensa,Male,UC Berkeley,Pieter Abbeel,Male,OpenAI / UC Berkeley,Automatic Goal Generation for Reinforcement Learning Agents
135,Guilherme Franca,Male,Johns Hopkins University,Rene Vidal,Male,Johns Hopkins University,ADMM and Accelerated ADMM as Continuous Dynamical Systems
136,Bin Hu,Male,University of Wisconsin-Madison,Laurent Lessard,Male,University of Wisconsin-Madison,Dissipativity Theory for Accelerating Stochastic Variance Reduction: A Unified Analysis of SVRG and Katyusha Using Semidefinite Programs
137,Davide Bacciu,Male,University of Pisa,Alessio Micheli,Male,Universita di Pisa,Contextual Graph Markov Model: A Deep and Generative Approach to Graph Processing
138,Max Nickel,Male,Facebook AI Research,Douwe Kiela,Male,Facebook AI Research,Learning Continuous Hierarchies in the Lorentz Model of Hyperbolic Geometry
139,University of California Xuanqing Liu,Male,"University of California, Davis",Cho-Jui Hsieh,Male,"University of California, Davis",Fast Variance Reduction Method with Stochastic Batch Size
140,Adrien Taylor,Male,INRIA/ENS,Laurent Lessard,Male,University of Wisconsin-Madison,Lyapunov Functions for First-Order Methods: Tight Automated Convergence Guarantees
141,Yichong Xu,Male,Carnegie Mellon University,Artur Dubrawski,Male,CMU,Nonparametric Regression with Comparisons: Escaping the Curse of Dimensionality with Ordinal Information
142,Yuanzhi Li,Male,Princeton University,Yoram Singer,Male,Princeton University and Google Brain,The Well-Tempered Lasso
143,Ying WEI,Female,Tencent AI Lab,Qiang Yang,Male,Hong Kong UST,Transfer Learning via Learning to Transfer
144,Elliot Meyerson,Male,UT Austin - Sentient Technologies,Risto Miikkulainen,Male,UT Austin - Sentient Technologies,Pseudo-task Augmentation: From Deep Multitask Learning to Intratask Sharing—and Back
145,Hideaki Imamura,Male,The University of Tokyo,Masashi Sugiyama,Male,RIKEN / The University of Tokyo,Analysis of Minimax Error Rate for Crowdsourcing and Its Application to Worker Clustering Model
146,Lukas Ruff,Male,Hasso Plattner Institute,Marius Kloft,Male,TU Kaiserslautern,Deep One-Class Classification
147,Eduardo Laber,Male,PUC-RIO,Felipe de A. Mello Pereira,Male,PUC-Rio,Binary Partitions with Approximate  Minimum Impurity
148,Ashkan Norouzi-Fard,Male,EPFL,Ola Svensson,Male,EPFL,Beyond 1/2-Approximation for Submodular Maximization on Massive Data Streams
149,Yuling Yao,Male,Columbia University,Andrew Gelman,Male,Columbia University,"Yes, but Did It Work?: Evaluating Variational Inference"
150,Tom Ryder,Male,Newcastle University,Dennis Prangle,Male,Newcastle University,Black-Box Variational Inference for Stochastic Differential Equations
151,Yaqing WANG,Male,Hong Kong University of Science and Technology,Lionel NI,Male,University of Macau,Online Convolutional Sparse Coding with Sample-Dependent Dictionary
152,Xingyuan Pan,Male,University of Utah,Vivek Srikumar,Male,University of Utah,Learning to Speed Up Structured Output Prediction
153,Maryam Aliakbarpour,Male,MIT,MIT Ronitt Rubinfeld,Male,"MIT, TAU",Differentially Private Identity and Equivalence Testing of Discrete Distributions
154,Ibrahim Alabdulmohsin,Male,Saudi Aramco,Ibrahim Alabdulmohsin,Male,Saudi Aramco,Information Theoretic Guarantees for Empirical Risk Minimization with Applications to Model Selection and Large-Scale Optimization
155,ChangYong Oh,Male,University of Amsterdam,Max Welling,Male,University of Amsterdam,BOCK : Bayesian Optimization with Cylindrical Kernels
156,Stefan Falkner,Male,University of Freiburg,Frank Hutter,Male,University of Freiburg,BOHB: Robust and Efficient Hyperparameter Optimization at Scale
157,Yuancheng Zhu,Male,University of Pennsylvania,John Lafferty,Male,Yale University,Distributed Nonparametric Regression under Communication Constraints
158,Ganggang Xu,Male,SUNY-Binghamton University,Guang Cheng,Male,Purdue University,Optimal Tuning for Divide-and-conquer Kernel Ridge Regression with Massive Data
159,Marine LE MORVAN,Female,Mines Paristech,JP Vert,Male,ENS Paris,WHInter: A Working set algorithm for High-dimensional sparse second order Interaction models
160,Weizhong Zhang,Male,Tencent AI Lab,Tong Zhang,Male,Tecent AI Lab,Safe Element Screening for Submodular Function Minimization
161,Daniel Jiang,Male,Facebook,Han Liu,Male,Northwestern,Feedback-Based Tree Search for Reinforcement Learning
162,Andre Barreto,Male,DeepMind,Remi Munos,Male,DeepMind,Transfer in Deep Reinforcement Learning Using Successor Features and Generalised Policy Improvement
163,Ilja Kuzborskij,Male,University of Milan,Christoph H. Lampert,Male,IST Austria,Data-Dependent Stability of Stochastic Gradient Descent
164,Gellért Weisz,Male,DeepMind,Csaba Szepesvari,Male,Deepmind,LeapsAndBounds: A Method for Approximately Optimal Algorithm Configuration
165,Ehsan Kazemi,Male,Yale,Amin Karbasi,Male,Yale,Scalable Deletion-Robust Submodular Maximization: Data Summarization with Privacy and Fairness Constraints
166,Jinghui Chen,Male,University of Virginia,Quanquan Gu,Male,UCLA,Covariate Adjusted Precision Matrix Estimation via Nonconvex Optimization
167,Marco Baity-Jesi,Male,Columbia University,Giulio Biroli,Male,,Comparing Dynamics: Deep Neural Networks versus Glassy Systems
168,Qianxiao Li,Male,"Institute of High Performance Computing, A*STAR, Singapore",IHPC Shuji Hao,Male,"IHPC, A*STAR",An Optimal Control Approach to Deep Learning and Applications to Discrete-Weight Neural Networks
169,Angelos Katharopoulos,Male,Idiap,Francois Fleuret,Male,Idiap research institute,Not All Samples Are Created Equal: Deep Learning with Importance Sampling
170,Lechao Xiao,Male,Google AI,Jeffrey Pennington,Male,Google Brain,"Dynamical Isometry and a Mean Field Theory of CNNs: How to Train 10,000-Layer Vanilla Convolutional Neural Networks"
171,Yinlam Chow,Male,DeepMind,Mohammad Ghavamzadeh,Male,Facebook AI Research,Path Consistency Learning in Tsallis Entropy Regularized MDPs
172,Kavosh Asadi,Male,Brown University,Michael L. Littman,Male,Brown University,Lipschitz Continuity in Model-based Reinforcement Learning
173,Ramina Ghods,Female,Cornell University,Christoph Studer,Male,Cornell University,Linear Spectral Estimators and an Application to Phase Retrieval
174,Mohammad Mehrabi,Male,Sharif University of Technology,MANSOOR I YOUSEFI,Male,Telecom ParisTech,Bounds on the Approximation Power of Feedforward Neural Networks
175,Siddharth Barman,Male,Indian Institute of Science,Suprovat Ghoshal,Male,Indian Institute of Science,Testing Sparsity over Known and Unknown Bases
176,Chris Cremer,Male,University of Toronto,David Duvenaud,Male,University of Toronto,Inference Suboptimality in Variational Autoencoders
177,Mingzhang Yin,Male,University of Texas at Austin,Mingyuan Zhou,Male,University of Texas at Austin,Semi-Implicit Variational Inference
178,Hang Wu,Male,Georgia Institute of Technology,May Wang,Female,Georgia Institute of Technology,Variance Regularized Counterfactual Risk Minimization via Variational Divergence Minimization
179,Ahmed M. Alaa,Male,UCLA,Mihaela van der Schaar,Male,UCLA,Limits of Estimating Heterogeneous Treatment Effects: Guidelines for Practical Algorithm Design
180,Jingyi Xu,Female,"University of California, Los Angeles",Guy Van den Broeck,Male,"University of California, Los Angeles",A Semantic Loss Function for Deep Learning with Symbolic Knowledge
181,Jiong Zhang,Male,University of Texas at Austin,Inderjit Dhillon,Male,UT Austin & Amazon,Stabilizing Gradients for Deep Neural Networks via Efficient SVD Parameterization
182,Yancheng Yuan,Male,National University of Singapore,Kim-Chuan Toh,Male,National University of Singapre,An Efficient Semismooth Newton based Algorithm for Convex Clustering
183,Shuai Zheng,Male,Hong Kong University of Science and Technology,James Kwok,Male,Hong Kong University of Science and Technology,Lightweight Stochastic Optimization for Minimizing Finite Sums with Infinite Data
184,Masanori SUGANUMA,Male,RIKEN AIP / Tohoku University,Takayuki Okatani,Male,Tohoku University/RIKEN AIP,Exploiting the Potential of Standard Convolutional Autoencoders for Image Restoration by Evolutionary Search
185,Hieu Pham,Male,Carnegie Mellon University,Jeff Dean,Male,Google Brain,Efficient Neural Architecture Search via Parameters Sharing
186,chao qu,Male,technion,Huan Xu,Male,Georgia Tech,Non-convex Conditional Gradient Sliding
187,Dongruo Zhou,Male,"University of California, Los Angeles",Quanquan Gu,Male,UCLA,Stochastic Variance-Reduced Cubic Regularized Newton Method
188,Sanjeev Arora,Male, Princeton University and Institute for Advanced Study,Elad Hazan,Male,Google Brain and Princeton University,On the Optimization of Deep Networks: Implicit Acceleration by Overparameterization
189,Zhenyu Liao,Male,"L2S, CentraleSupelec",Romain Couillet,Male,CentralSupélec,The Dynamics of Learning: A Random Matrix Approach
190,Ting Chen,Male,UCLA,Yizhou Sun,Female,UCLA,Learning K-way D-dimensional Discrete Codes for Compact Embedding Representations
191,Tameem Adel,Male,University of Cambridge,Adrian Weller,Male,"University of Cambridge, Alan Turing Institute",Discovering Interpretable Representations for Both Deep Generative and Discriminative Models
192,Changyou Chen,Male,SUNY at Buffalo,Lawrence Carin,Male,Duke,Continuous-Time Flows for Efficient Inference and Density Estimation
193,Tom Rainforth,Male,University of Oxford,Yee Whye Teh,Male,Oxford and DeepMind,Tighter Variational Bounds are Not Necessarily Better
194,Yunbo Wang,Male,Tsinghua University,Philip Yu,Male,UIC,PredRNN++: Towards A Resolution of the Deep-in-Time Dilemma in Spatiotemporal Predictive Learning
