,first-author,first-author-affiliation,last-author,last-author-affiliation,title
0,Liu Yang,CMU,Jaime Carbonell,CMU,Buy-in-Bulk Active Learning
1,Yasin Abbasi Yadkori,DeepMind,Csaba Szepesvari,DeepMind / University of Alberta,Online Learning in Markov Decision Processes with Adversarially Chosen Transition Probability Distributions
2,Tamir Hazan,Technion,Tommi Jaakkola,MIT,On Sampling from the Gibbs Distribution with Random Maximum A-Posteriori Perturbations
3,Divyanshu Vats,Rice University,Richard Baraniuk,Rice University,"When in Doubt, SWAP: High-Dimensional Sparse Recovery from Correlated Measurements"
4,Aaron van den Oord,n/a,Benjamin Schrauwen,Ghent University,Deep content-based music recommendation
5,Daniel S Levine,Massachusetts Institute of Technology,Jonathan How,MIT,Sensor Selection in High-Dimensional Gaussian Trees with Nuisances
6,David Pfau,DeepMind,Liam Paninski,Columbia University,Robust learning of low-dimensional dynamics from large neural ensembles
7,Brian McWilliams,ETH Zurich,Joachim M Buhmann,ETH Zurich,Correlated random features for fast semi-supervised learning
8,Abhradeep Guha Thakurta,Stanford University & Microsoft,Adam Smith,Pennsylvania State University,(Nearly) Optimal Algorithms for Private Online Learning in Full-information and Bandit Settings
9,Hossein Azari Soufiani,Harvard University,Lirong Xia,Harvard University,Generalized Method-of-Moments for Rank Aggregation
10,Victor Gabillon,INRIA,S. Muthukrishnan,Rutgers University,Adaptive Submodular Maximization in Bandit Setting
11,Martin Mevissen,IBM Research,Jia Yuan Yu,IBM Research,Data-driven Distributionally Robust Polynomial Optimization
12,Fang Zhao,Chinese Academy of Sciences,Tieniu Tan,Chinese Academy of Sciences,Relevance Topic Model for Unstructured Social Group Activity Recognition
13,Francesca Petralia,Mt Sinai School of Medicine,David B Dunson,Duke University,Multiscale Dictionary Learning for Estimating Conditional Distributions
14,Kamalika Chaudhuri,UCSD,Staal A Vinterbo,UC San Diego,A Stability-based Validation Procedure for Differentially Private Machine Learning
15,Hossein Azari Soufiani,Harvard University,David Parkes,Harvard University,Generalized Random Utility Models with Multiple Types
16,Deepti Pachauri,3M,Vikas Singh,UW-Madison,Solving the multi-way matching problem by permutation synchronization
17,Anima Anandkumar,Caltech,Sham M Kakade,Microsoft Research,When are Overcomplete Topic Models Identifiable? Uniqueness of Tensor Tucker Decompositions with Structured Sparsity
18,Shahin Shahrampour,University of Pennsylvania,Ali Jadbabaie,University of Pennsylvania,Online Learning of Dynamic Parameters in Social Networks
19,Jinwoo Shin,KAIST,Misha Chertkov,Los Alamos National Laboratory,A Graphical Transformation for Belief Propagation: Maximum Weight Matchings and Odd-Sized Cycles
20,Andreas Ruttor,TU Berlin,Manfred Opper,TU Berlin,Approximate Gaussian process inference for the drift function in stochastic differential equations
21,Stefano Ermon,Stanford University,Bart Selman,Cornell University,Embed and Project: Discrete Sampling with Universal Hashing
22,Jianfei Chen,Tsinghua University,Bo Zhang,Tsinghua University,Scalable Inference for Logistic-Normal Topic Models
23,Martin Azizyan,CMU,Larry Wasserman,CMU,Minimax Theory for High-dimensional Gaussian Mixtures with Sparse Mean Separation
24,Tim Roughgarden,Stanford University,Michael Kearns,University of Pennsylvania,Marginals-to-Models Reducibility
25,Rie Johnson,RJ Research Consuulting,Tong Zhang,Tencent,Accelerating Stochastic Gradient Descent using Predictive Variance Reduction
26,Xinhua Zhang,University of Illinois at Chicago (UIC),Dale Schuurmans,Google Brain & University of Alberta,Polar Operators for Structured Sparse Estimation
27,Behnam Neyshabur,TTI Chicago,Payman Yadollahpour,TTI Chicago,The Power of Asymmetry in Binary Hashing
