,first-author,first-author-affiliation,last-author,last-author-affiliation,title
0,Zeyuan Allen-Zhu,Microsoft Research,Xinshang Wang,MIT,The Lingering of Gradients: How to Reuse Gradients Over Time
1,Pan Li,University of Illinois Urbana-Champaign,Olgica Milenkovic,University of Illinois at Urbana-Champaign,Quadratic Decomposable Submodular Function Minimization
2,Pierre-Alexandre Mattei,ITU Copenhagen,Jes Frellsen,IT University of Copenhagen,Leveraging the Exact Likelihood of Deep Latent Variable Models
3,Arash Vahdat,Quadrant.ai (D-Wave),William Macready,D-Wave,DVAE#: Discrete Variational Autoencoders with Relaxed Boltzmann Priors
4,Rui Shu,Stanford University,Stefano Ermon,Stanford,Amortized Inference Regularization
5,Amir H Khoshaman,D-Wave Systems Inc,Mohammad Amin,D-Wave Systems Inc,GumBolt: Extending Gumbel trick to Boltzmann priors
6,Tengfei Ma,IBM Research,Cao Xiao,IBM Research,Constrained Generation of Semantically Valid Graphs via Regularizing Variational Autoencoders
7,Fangchang Ma,MIT,Sertac Karaman,MIT,Invertibility of Convolutional Generative Networks from Partial Measurements
8,Huaibo Huang,"Institute of Automation, Chinese Academy of Science",Tieniu Tan,Chinese Academy of Sciences,IntroVAE: Introspective Variational Autoencoders for Photographic Image Synthesis
9,Sandeep Subramanian,University of Montreal,Chris Pal,"MILA, Polytechnique Montréal, Element AI",Towards Text Generation with Adversarially Learned Neural Outlines
10,Hadi Kazemi,WVU,Nasser Nasrabadi,WVU,Unsupervised Image-to-Image Translation Using Domain-Specific Variational Information Bound
11,Jonas Adler,KTH - Royal Institute of Technology,Sebastian Lunz,University of Cambridge,Banach Wasserstein GAN
12,Farzan Farnia,Stanford University,David Tse,Stanford University,A Convex Duality Framework for GANs
13,Maziar Sanjabi,University of Southern California,Jason Lee,University of Southern California,On the Convergence and Robustness of Training GANs with Regularized Optimal Transport
14,Zinan Lin,Carnegie Mellon University,Sewoong Oh,University of Washington,PacGAN: The power of two samples in generative adversarial networks
15,Zhewei Yao,UC Berkeley,Michael W Mahoney,UC Berkeley,Hessian-based Analysis of Large Batch Training and Robustness to Adversaries
16,Gagandeep Singh,ETH Zurich,Martin Vechev,"DeepCode and ETH Zurich, Switzerland",Fast and Effective Robustness Certification
17,Chongxuan LI,Tsinghua University,Bo Zhang,Tsinghua University,Graphical Generative Adversarial Networks
18,Jacob Harer,Boston University,Peter Chin,boston university,Learning to Repair Software Vulnerabilities with Generative Adversarial Networks
19,Chenshen Wu,Computer Vision Center,Bogdan Raducanu,Computer Vision Center,Memory Replay GANs: Learning to Generate New Categories without Forgetting
20,Youssef Alami Mejjati,University of Bath,Kwang In Kim,University of Bath,Unsupervised Attention-guided Image-to-Image Translation
21,Ting-Chun Wang,NVIDIA,Bryan Catanzaro,NVIDIA,Video-to-Video Synthesis
22,Hang Gao,Columbia University,Shih-Fu Chang,Columbia University,Low-shot Learning via Covariance-Preserving Adversarial Augmentation Networks
23,Andrea Tacchetti,DeepMind,Georgios Evangelopoulos,"X, Alphabet Inc.",Trading robust representations for sample complexity through self-supervised visual experience
24,Boris Oreshkin,Element AI,Alexandre Lacoste,Element AI,TADAM: Task dependent adaptive metric for improved few-shot learning
25,Shuyang Sun,The University of Sydney,Wanli Ouyang,The University of Sydney,"FishNet: A Versatile Backbone for Image, Region, and Pixel Level Prediction"
26,Hyeonseob Nam,Lunit Inc.,Hyo-Eun Kim,Lunit Inc,Batch-Instance Normalization for Adaptively Style-Invariant Neural Networks
27,Yunpeng Chen,National University of Singapore,Jiashi Feng,National University of Singapore,A^2-Nets: Double Attention Networks
28,Robert Wang,Aeryon Labs,Charles Ling,University of Western Ontario,Pelee: A Real-Time Object Detection System on Mobile Devices
29,Yangyan Li,Alibaba AI Labs,Baoquan Chen,Shandong University,PointCNN: Convolution On X-Transformed Points
30,Egor Burkov,Samsung,Victor Lempitsky,Samsung,Deep Neural Networks with Box Convolutions
31,Rosanne Liu,Uber AI Labs,Jason Yosinski,Uber AI Labs; Recursion,An intriguing failing of convolutional neural networks and the CoordConv solution
32,Maurice Weiler,University of Amsterdam,Taco Cohen,University of Amsterdam,3D Steerable CNNs: Learning Rotationally Equivariant Features in Volumetric Data
33,Guangrun Wang,Sun Yat-sen University,Liang Lin,Sun Yat-Sen University,Kalman Normalization: Normalizing Internal Representations Across Network Layers
34,Cem Keskin,Google Inc.,Shahram Izadi,Google,SplineNets: Continuous Neural Decision Graphs
35,Liheng Zhang,University of Central Florida,Guo-Jun Qi,"Futurewei Technologies, Inc.",CapProNet: Deep Feature Learning via Orthogonal Projections onto Capsule Subspaces
36,Boris Hanin,Texas A&M,Boris Hanin,Texas A&M,Which Neural Net Architectures Give Rise to Exploding and Vanishing Gradients?
37,Alberto Bernacchia,University of Cambridge,Guillaume Hennequin,Cambridge,Exact natural gradient in deep linear networks and its application to the nonlinear case
38,Yuanxiang Gao,University of Toronto,Baochun Li,University of Toronto,Post: Device Placement with Cross-Entropy Minimization and Proximal Policy Optimization
