,Unnamed: 0,first-author,first-author-gender,first-author-affiliation,last-author,last-author-gender,last-author-affiliation,title
0,0,Moran Baruch,Male,Bar Ilan University,Yoav Goldberg,Male,Bar-Ilan University,A Little Is Enough: Circumventing Defenses For Distributed Learning.
1,1,Shengyuan Hu,Male,Cornell University,Kilian Weinberger,Male,Cornell University / ASAPP Research,A New Defense Against Adversarial Images: Turning a Weakness into a Strength.
2,2,Ali Shafahi,Male,University of Maryland,Tom Goldstein,Male,University of Maryland,Adversarial training for free!.
3,3,Aleksandar Bojchevski,Male,Technical University of Munich,Stephan Günnemann,Male,Technical University of Munich,Certifiable Robustness to Graph Perturbations.
4,4,Rémi Jézéquel,Male,"INRIA, École Normale Supérieure",Alessandro Rudi,Male,"INRIA, Ecole Normale Superieure",Efficient online learning with kernels for adversarial large scale problems.
5,5,Saeed Mahloujifar,Male,University of Virginia,David Evans,Male,University of Virginia,Empirically Measuring Concentration: Fundamental Limits on Intrinsic Robustness.
6,6,Gunjan Verma,Male,ARL,Ananthram Swami,Male,"Army Research Laboratory, Adelphi",Error Correcting Output Codes Improve Probability Estimation and Adversarial Robustness of Deep Neural Networks.
7,7,Tianyu Guo,Male,Peking University,Dacheng Tao,Male,University of Sydney,Learning from Bad Data via Generation.
8,8,Jiezhang Cao,Male,South China University of Technology,Mingkui Tan,Male,South China University of Technology,Multi-marginal Wasserstein GAN.
9,9,Bao Wang,Male,UCLA,Stanley Osher,Male,UCLA,ResNets Ensemble via the Feynman-Kac Formalism to Improve Natural and Robust Accuracies.
10,10,Xiangyi Chen,Male,University of Minnesota,David Cox,Male,MIT-IBM Watson AI Lab,ZO-AdaMM: Zeroth-Order Adaptive Momentum Method for Black-Box Optimization.
11,11,Soumya Basu,Male,University of Texas at Austin,Sanjay Shakkottai,Male,University of Texas at Austin,Blocking Bandits.
12,12,Aadirupa Saha,Female,Indian Institute of Science,Aditya Gopalan,Male,Indian Institute of Science,Combinatorial Bandits with Relative Feedback .
