,first-author-affiliation,last-author-affiliation,title
0," Department of Computer Science, North Carolina State University, Raleigh, NC"," Department of Computer Science, North Carolina State University, Raleigh, NC",Robust norm emergence by revealing and reasoning about context: socially intelligent agents for enhancing privacy
1, University of Oxford, University of Oxford,Synthesis of controllable nash equilibria in quantitative objective games
2," Centrum Wiskunde & Informatica, Amsterdam, The Netherlands"," Department of Informatics, Athens University of Economics and Business, Athens, Greece",Comparing approximate relaxations of envy-freeness
3," University of Salerno, Italy"," University of Calabria, Italy",Reasoning about consensus when opinions diffuse through majority dynamics
4," UNSW Sydney and Data61, CSIRO, Australia"," Ben-Gurion University, Be'er Sheva, Israel",Egalitarian committee scoring rules
5," School of Physical and Mathematical Sciences, Nanyang Technological University"," Department of Computer Science, Stanford University",Truthful fair division without free disposal
6," Laboratoire Genie Industriel, CentraleSupélec, Université Paris-Saclay, Gif-sur-Yvette, France"," Laboratoire Genie Industriel, CentraleSupélec, Université Paris-Saclay, Gif-sur-Yvette, France",Accountable approval sorting
7," Laboratoire IBISC, UEVE, France"," DIETI, Università degli Studi di Napoli, Italy",Alternating-time temporal logic on finite traces
8, Massachusetts Institute of Technology, Massachusetts Institute of Technology,Managing communication costs under temporal uncertainty
9, Indian Institute of Science, Indian Institute of Science,Fair division under cardinality constraints
10, University of Toronto, University of Toronto,Big city vs. the great outdoors: voter distribution and how it affects gerrymandering
11," Department of Informatics, University of Zurich"," Department of Informatics, University of Zurich",Non-decreasing payment rules for combinatorial auctions
12, Technische Universität München, Technische Universität München,An analytical and experimental comparison of maximal lottery schemes
13," Faculty of Informatics, Masaryk University, Brno, Czech Republic"," Faculty of Informatics, Masaryk University, Brno, Czech Republic",Solving patrolling problems in the internet environment
14," Department of Informatics, University of Zurich"," Department of Informatics, University of Zurich",Combinatorial auctions via machine learning-based preference elicitation
15," TU Berlin, Berlin, Germany"," Ben-Gurion University, Be'er Sheva, Israel",Pairwise liquid democracy
16," EPFL, Switzerland"," EPFL, Switzerland",Multiwinner voting with fairness constraints
17," University of Nebraska-Lincoln, Lincoln, NE"," Trinity University, San Antonio, TX",An FPTAS for computing nash equilibrium in resource graph games
18," IIIA, CSIC, Barcelona, Spain and Universitat Autònoma de Barcelona, Barcelona, Spain"," University of Southampton, Southampton, United Kingdom",Vocabulary alignment for collaborative agents: a study with real-world multilingual how-to instructions
19, The University of Texas at El Paso, Washington University in St. Louis,Bidding in periodic double auctions using heuristics and dynamic Monte Carlo tree search
20, New York University, University of Texas at Austin,When does diversity of agent preferences improve outcomes in selfish routing?
21," TU Wien, Austria"," TU Wien, Austria",Computing the schulze method for large-scale preference data sets
22, University of Liverpool, University of Liverpool,Facility reallocation on the line
23," Institute for Advanced Manufacturing, University of Nottingham, Nottingham, UK"," School of Computer Science, University of Nottingham, Nottingham, UK",An operational semantics for a fragment of PRS
24," Department of Informatics, University of Bergen, Norway"," Algorithms group, University of Sheffield, UK",A structural approach to activity selection
