,first-author-affiliation,last-author-affiliation,title
0," Department of Computer Sciences, University of Wisconsin – Madison, Madison WI"," Department of Computer Sciences, University of Wisconsin – Madison, Madison WI and comScore, Inc., Reston, VA",Data poisoning attacks against autoregressive models
1, ETH Zurich, ETH Zurich,Approximate k-means++ in sublinear time
2," Laboratorio Nacional de Computação Científica, Petropolis, RJ, Brazil"," School of Computer Science, McGill University, Montreal, QC, Canada",Incremental stochastic factorization for online reinforcement learning
3, Google DeepMind, Google DeepMind,Increasing the action gap: new operators for reinforcement learning
4," Department of Mathematics, University of Trento, Trento, Italy"," Department of Computer Science, University of Verona, Verona, Italy","Decoding Hidden Markov Models faster than viterbi via online matrix-vector (max, +)-multiplication"
5," Computer Science and Engineering, SUNY at Buffalo, Buffalo, NY"," MetaMind Inc., Palo Alto, CA",Maximum margin Dirichlet process mixtures for clustering
6, The Hong Kong University of Science and Technology, The Hong Kong University of Science and Technology,Progressive EM for latent tree models and hierarchical topic detection
7," University of Maryland, College Park, MD"," University of Maryland, College Park, MD",Knowledge transfer with interactive learning of semantic relationships
8," Department of Mechanical Engineering, National University of Singapore, Singapore"," Department of Computer Science, National University of Singapore, Singapore",Robustness of Bayesian pool-based active learning against prior misspecification
9," TU Darmstadt, Darmstadt, Germany"," Microsoft Research, Cambridge, UK",Learning step size controllers for robust neural network training
10," Brown University, Providence, RI"," University of Padova, Padova, PD, Italy",Reconstructing hidden permutations using the Average-Precision (AP) correlation statistic
11," University of Sheffield, Sheffield, United Kingdom"," NTNU Aarhus Universitet, Norway, Aarhus N, Denmark",Generalised Brown clustering and roll-up feature generation
12," Courant Institute of Mathematical Sciences, New York, NY"," Courant Institute and Google Research, New York, NY",Random Composite Forests
13," Machine Learning Research Group, National ICT Australia, Eveleigh, NSW, Australia"," Machine Learning Research Group, National ICT Australia, Eveleigh, NSW, Australia",The Ostomachion process
14," Technical University of Denmark, Lyngby, Denmark"," Technical University of Denmark, Lyngby, Denmark",Indexable probabilistic matrix factorization for Maximum Inner Product Search
15," NTT Software Innovation Center, Musashino-shi, Tokyo, Japan"," NTT Software Innovation Center, Musashino-shi, Tokyo, Japan",Fast lasso algorithm via selective coordinate descent
16," Shanghai Key Lab of Intelligent Information Processing, and School of Computer Science, Fudan University, Shanghai, China"," Shanghai Key Lab of Intelligent Information Processing, and School of Computer Science, Fudan University, Shanghai, China",Group and graph joint sparsity for linked data classification
17," National Key Laboratory for Novel Software Technology, Nanjing University, Collaborative Innovation Center of Novel Software Technology and Industrialization, Nanjing, China"," National Key Laboratory for Novel Software Technology, Nanjing University, Collaborative Innovation Center of Novel Software Technology and Industrialization, Nanjing, China",Risk minimization in the presence of label noise
18," Rutgers, The State University of New Jersey, Piscataway, NJ"," Rutgers, The State University of New Jersey, Piscataway, NJ",Decentralized approximate Bayesian inference for distributed sensor network
19," Disney Research, Cambridge, MA"," Disney Research, Cambridge, MA",Assumed density filtering methods for learning Bayesian neural networks
20," Temple University, Philadelphia"," Temple University, Philadelphia",Extending the modelling capacity of Gaussian Conditional Random Fields while learning faster
21," Center for Data Analytics and Biomedical Informatics, Temple University, Philadelphia, PA"," Center for Data Analytics and Biomedical Informatics, Temple University, Philadelphia, PA",Uncertainty propagation in long-term structured regression on evolving networks
22," Institute of Image Processing and Pattern Recognition, Shanghai Jiao Tong University and Centre for Quantum Computation and Intelligent Systems, University of Technology Sydney"," Didi Research, Beijing, China",Teaching-to-Learn and Learning-to-Teach for Multi-Label propagation
23," School of Information and Communication Engineering, Dalian University of Technology, Dalian, China"," The Center for Res. on Intelligent Perception and Computing, National Laboratory of Pattern Recognition, Inst. of Automation, Chinese Academy of Sciences, Beijing, China and CAS Center for Excellence in Brain Science and Intelligence Techn., Chinese Academy of Sciences, Beijing, China",Discriminative analysis dictionary learning
24," School of Software, Tsinghua University, Beijing, China"," School of Software, Tsinghua University, Beijing, China",Active learning with cross-class knowledge transfer
25," Technion, Israel"," Technion, Israel",Generalized emphatic temporal difference learning: bias-variance analysis
26," Department of Statistics, Rutgers University"," Department of Computer Science and Engineering, Hong Kong University of Science and Technology",Multi-stage multi-task learning with reduced rank
27," Department of Statistics, Rutgers University"," Department of Computer Science and Engineering, Hong Kong University of Science and Technology",Reduction techniques for Graph-based Convex Clustering
28," Department of Computer Science, The University of Texas at Dallas, Richardson, Texas"," Department of Mathematical Sciences, The University of Texas at Dallas, Richardson, Texas",SAND: semi-supervised adaptive novel class detection and classification over data stream
29," National Institute of Genetics, Mishima, Shizuoka, Japan"," University of Novi Sad, Novi Sad, Serbia",Flattening the density gradient for eliminating spatial centrality to reduce hubness
30," College of Science, National University of Defense Technology"," Center for Quantum Computation and Intelligent Systems and the Faculty of Engineering and Information Technology, University of Technology, Sydney",Discriminative Vanishing Component Analysis
31," Laval University, Quebec, Canada"," RIKEN Brain Science Institute, Wako, Japan and Skolkovo Institute of Science and Technology, Moscow, Russia",Common and discriminative subspace kernel-based multiblock tensor partial least squares regression
