,Unnamed: 0,first-author,,first-author-affiliation,last-author,,last-author-affiliation,title
19,19,Jinwoo Shin,Male,KAIST,Misha Chertkov,Male,Los Alamos National Laboratory,A Graphical Transformation for Belief Propagation: Maximum Weight Matchings and Odd-Sized Cycles.
20,20,Andreas Ruttor,Male,TU Berlin,Manfred Opper,Male,TU Berlin,Approximate Gaussian process inference for the drift function in stochastic differential equations.
21,21,Stefano Ermon,Male,Stanford University,Bart Selman,Male,Cornell University,Embed and Project: Discrete Sampling with Universal Hashing.
22,22,Jianfei Chen,Male,Tsinghua University,Bo Zhang,Male,Tsinghua University,Scalable Inference for Logistic-Normal Topic Models.
23,23,Martin Azizyan,Male,CMU,Larry Wasserman,Male,CMU,Minimax Theory for High-dimensional Gaussian Mixtures with Sparse Mean Separation.
24,24,Tim Roughgarden,Male,Stanford University,Michael Kearns,Male,University of Pennsylvania,Marginals-to-Models Reducibility.
25,25,Rie Johnson,Male,RJ Research Consuulting,Tong Zhang,Male,Tencent,Accelerating Stochastic Gradient Descent using Predictive Variance Reduction.
26,26,Xinhua Zhang,Male,University of Illinois at Chicago (UIC),Dale Schuurmans,Male,Google Brain & University of Alberta,Polar Operators for Structured Sparse Estimation.
27,27,Behnam Neyshabur,Male,TTI Chicago,Payman Yadollahpour,Male,TTI Chicago,The Power of Asymmetry in Binary Hashing.
28,28,Adel Javanmard,Male,Stanford University,Andrea Montanari,Male,Stanford,Confidence Intervals and Hypothesis Testing for High-Dimensional Statistical Models.
29,29,Justin Domke,Male,NICTA,Xianghang Liu,Male,NICTA/UNSW,Projecting Ising Model Parameters for Fast Mixing.
30,30,Alexander Zimin,Male,Amazon,Gergely Neu,Male,Universitat Pompeu Fabra,Online learning in episodic Markovian decision processes by relative entropy policy search.
31,31,Ali Borji,Male,University of Southern California (USC),Laurent Itti,Male,University of Southern California (USC),Bayesian optimization explains human active search.
32,32,Tamara Broderick,Female,MIT,Michael Jordan,Male,UC Berkeley,Streaming Variational Bayes.
33,33,Crystal Maung,Male,UT Dallas,Haim Schweitzer,Male,UT Dallas,Pass-efficient unsupervised feature selection.
34,34,Soravit Changpinyo,Male,University of Southern California (USC),Fei Sha,Male,University of Southern California (USC),Similarity Component Analysis.
35,35,Masayuki Karasuyama,Male,Kyoto University,Hiroshi Mamitsuka,Male,Kyoto University / Aalto University,Manifold-based Similarity Adaptation for Label Propagation.
36,36,Dahua Lin,Male,TTI Chicago,Dahua Lin,Male,TTI Chicago,Online Learning of Nonparametric Mixture Models via Sequential Variational Approximation.
37,37,Yifei Ma,Male,Amazon,Jeff Schneider,Male,CMU,Σ-Optimality for Active Learning on Gaussian Random Fields.
38,38,Fabian H Sinz,Male,Universität Tübingen,Jan Benda,Male,Universität Tübingen,Least Informative Dimensions.
