MLHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,year,first-author,first-author-gender,first-author-affiliation,last-author,last-author-gender,last-author-affiliation,journal/conference,title,number-of-authors,paper-url,DBLP-url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2017,Silvio Amir,Male,Universidade de Lisboa,Byron C. Wallace,Male,Northeastern University,MLHC,Quantifying Mental Health from Social Media with Neural User Embeddings.,5,http://proceedings.mlr.press/v68/amir17a.html,https://dblp.org/rec/conf/mlhc/AmirCCSW17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2017,Yujia Bao,Male,University of Wisconsin-Madison,Rebecca Willett,Female,University of Wisconsin-Madison,MLHC,Hawkes Process Modeling of Adverse Drug Reactions with Longitudinal Observational Data.,5,http://proceedings.mlr.press/v68/bao17a.html,https://dblp.org/rec/conf/mlhc/BaoKPPW17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2017,Savannah L. Bergquist,Female,Harvard Medical School,Sherri Rose,Female,Harvard Medical School,MLHC,Classifying Lung Cancer Severity with Ensemble Machine Learning in Health Care Claims Data.,5,http://proceedings.mlr.press/v68/bergquist17a.html,https://dblp.org/rec/conf/mlhc/BergquistBKLR17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2017,Edward Choi,Male,Georgia Institute of Technology,Jimeng Sun,Male,Georgia Institute of Technology,MLHC,Generating Multi-label Discrete Patient Records using Generative Adversarial Networks.,6,http://proceedings.mlr.press/v68/choi17a.html,https://dblp.org/rec/conf/mlhc/ChoiBMDSS17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2017,Bryan Conroy,Male,Philips Research North America,Asif Rahman,Male,Philips Research North America,MLHC,Patient Similarity Using Population Statistics and Multiple Kernel Learning.,3,http://proceedings.mlr.press/v68/conroy17a.html,https://dblp.org/rec/conf/mlhc/ConroyXR17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2017,Amirreza Farnoosh,Male,Northeastern University,Mehrdad Nourani,Male,University of Texas at Dallas,MLHC,Spatially-Continuous Plantar Pressure Reconstruction Using Compressive Sensing.,3,http://proceedings.mlr.press/v68/farnoosh17a.html,https://dblp.org/rec/conf/mlhc/FarnooshON17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2017,Samuele Fiorini,Male,Universit`a degli Studi di Genova,Giampaolo Brichetto,Male,Italian Multiple Sclerosis Foundation,MLHC,Temporal prediction of multiple sclerosis evolution from patient-centered outcomes.,5,http://proceedings.mlr.press/v68/fiorini17a.html,https://dblp.org/rec/conf/mlhc/FioriniVBTB17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2017,Madalina Fiterau,Female,Stanford University,Scott L. Delp,Male,Stanford University,MLHC,ShortFuse - Biomedical Time Series Representations in the Presence of Structured Information.,8,http://proceedings.mlr.press/v68/fiterau17a.html,https://dblp.org/rec/conf/mlhc/FiterauBFBHHRD17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2017,Jose Castela Forte,Male,University of Groningen,Anne H. Epema,Female,University of Groningen,MLHC,Predicting long-term mortality with first week post-operative data after Coronary Artery Bypass Grafting using Machine Learning models.,5,http://proceedings.mlr.press/v68/forte17a.html,https://dblp.org/rec/conf/mlhc/ForteWBGE17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2017,Joseph Futoma 0001,Male,Duke University,Cara O'Brien,Female,Duke University,MLHC,An Improved Multi-Output Gaussian Process RNN with Real-Time Validation for Early Sepsis Detection.,8,http://proceedings.mlr.press/v68/futoma17a.html,https://dblp.org/rec/conf/mlhc/FutomaHHSBCBO17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
