,first-author-affiliation,last-author-affiliation,title
0," Dept. of Computer Science, RWTH Aachen University, Germany"," Dept. of Computer Science, RWTH Aachen University, Germany",Considerate equilibrium
1," Computer Science and Engineering, University of New South Wales, Australia"," Computer Science and Engineering, University of New South Wales, Australia",Model checking knowledge in pursuit evasion games
2," Dept. of Computer Science, University of Auckland, New Zealand"," Dept. of Computer Science, University of Auckland, New Zealand",The complexity of safe manipulation under scoring rules
3," Computer Science and Communication, University of Luxembourg"," Department of Informatics, Clausthal University of Technology, Germany",Comparing variants of strategic ability
4," Department of Computing Science, University of Alberta, Edmonton, Alberta, Canada"," Yahoo! Research, Santa Clara, CA",Accelerating best response calculation in large extensive games
5," University of Freiburg, Freiburg, Germany"," Algorithmica Srl, Rome, Italy",A mechanism for dynamic ride sharing based on parallel auctions
6," Department of Computer Science, Duke University, Durham, NC"," Department of Computer Science, Duke University, Durham, NC",Security games with multiple attacker resources
7," University of Toronto, Department of Computer Science"," University of Toronto, Department of Computer Science",Budgeted social choice: from consensus to personalized decision making
8," University of Toronto, Department of Computer Science"," University of Toronto, Department of Computer Science",Robust approximation and incremental elicitation in voting protocols
9," University of Nevada, Reno"," University of Nevada, Reno",Push and swap: fast cooperative path-finding with completeness guarantees
10," The School of Engineering and Computer Science, Hebrew University of Jerusalem, Jerusalem, Israel"," D.E.I.S., Università della Calabria, Rende, Italy","Subsidies, stability, and restricted cooperation in coalitional games"
11," MAiA Department, Universitat de Barcelona, Barcelona, Spain and Artificial Intelligence Research Institute, Spanish Council of Scientific Research, Bellaterra, Spain"," MAiA Department, Universitat de Barcelona, Barcelona, Spain",Using experience to generate new regulations
12," Department of Cybernetics, FEL, Czech Technical University in Prague, Czech Republic"," Computer Science and Communications, University of Luxembourg, Luxembourg","Agents, actions and goals in dynamic environments"
13," School of Physical and Mathematical Sciences, Nanyang Technological University, Singapore"," School of Physical and Mathematical Sciences, Nanyang Technological University, Singapore",On the complexity of voting manipulation under randomized tie-breaking
14," Aalto University, Department of Information and Computer Science, Aalto, Finland"," Aalto University, Department of Information and Computer Science, Helsinki Institute for Information Technology HIIT, Aalto, Finland",Efficient planning for factored infinite-horizon DEC-POMDPs
15," University Lille 1, LIFL, UMR, CNRS, Villeneuve d'Ascq, France"," University Lille 1, LIFL, UMR, CNRS, Villeneuve d'Ascq, France",An interaction-oriented model for multi-scale simulation
16," School of Electronics and Computer Science, University of Southampton, UK"," School of Electronics and Computer Science, University of Southampton, UK",Minimum search to establish worst-case guarantees in coalition structure generation
17," Department of Computer Science, University of Auckland, Auckland, New Zealand"," Department of Computer Science, University of Auckland, Auckland, New Zealand",On combining decisions from multiple expert imitators for performance
18," Cheriton School of Computer Science, University of Waterloo, Waterloo, Ontario, Canada"," Cheriton School of Computer Science, University of Waterloo, Waterloo, Ontario, Canada",An empirical study of seeding manipulations and their prevention
19," Computer Science Department, University of California, Berkeley"," Computer Science Department, University of California, Berkeley",Rigging tournament brackets for weaker players
20," Computer Science Department, University of Denver, Denver, Colorado"," Department of Computing Science, University of Alberta, Edmonton, Alberta, Canada",Learning where you are going and from whence you came: h- and g-cost learning in real-time heuristic search
21," Department of Computer Science and Engieering, Waseda University, Japan"," Department of Computer Science and Engieering, Waseda University, Japan",Emergence and stability of social conventions in conflict situations
22," Computer Science Department, Carnegie Mellon University and Department of Computer Science, HKUST"," Computer Science Department, Carnegie Mellon University",Approximating optimal combinatorial auctions for complements using restricted welfare maximization
23," Kyushu University, Fukuoka, Japan"," Kyushu University, Fukuoka, Japan",Generalizing envy-freeness toward group of agents
24," Department of ISEE, Kyushu University, Fukuoka, Japan"," Department of ISEE, Kyushu University, Fukuoka, Japan",Concise characteristic function representations in coalitional games based on agent types
25," Institute of Cognitive Sciences and Technologies, ISTC-CNR, Rome, Italy and School of Electronics and Computer Science, University of Southampton, UK"," Institute of Cognitive Sciences and Technologies, ISTC-CNR, Rome, Italy",Facing openness with socio-cognitive trust and categories
26," INRIA, Sophia Antipolis, France"," CSC, University of Luxembourg",Attack semantics for abstract argumentation
27," IIIA-CSIC, Bellaterra, Spain"," ISTC, CNR, Rome, Italy",Dynamic sanctioning for robust and cost-efficient norm compliance
28," IIIA-CSIC, Bellaterra, Barcelona, Spain"," Department of Math. & Comp. Science, University of Tulsa, Oklahoma",Social instruments for robust convention emergence
29," Utrecht University, Amsterdam, The Netherlands"," RMIT University, Melbourne, Australia",Reasoning about preferences in intelligent agent systems
