,first-author-affiliation,last-author-affiliation,title
0," CWI, The Netherlands and University of Warsaw, Poland"," University of Liverpool, UK",On the computational complexity of gossip protocols
1," University of Patras, Greece"," University of Technology Sydney, Australia",Epistemic-entrenchment characterization of Parikh's Axiom
2," Data61, CSIRO, Australia and UNSW Sydney, Australia"," Data61, CSIRO, Australia and UNSW Sydney, Australia",Weakening covert networks by minimizing inverse geodesic length
3," Faculty of Computer Science, Technische Universität Dresden, Germany"," TNG Technology Consulting GmbH, Unterföhring, Germany",Query rewriting for DL-lite with n-ary concrete domains
4," Inria, France"," Inria, France",Answering conjunctive regular path queries over guarded existential rules
5," University of Leipzig, Germany"," TU Wien, Austria",A general notion of equivalence for abstract argumentation
6," Leipzig University, Germany"," University of Liverpool, United Kingdom, TU Wien, Austria",A study of unrestricted abstract argumentation frameworks
7," LGI, CentraleSupélec, Université Paris-Saclay, Châtenay Malabry, France"," LGI, CentraleSupélec, Université Paris-Saclay, Châtenay Malabry, France",A model for accountable ordinal sorting
8," Laboratoire IBISC, UEVE, IRIT, Toulouse"," IRIT Toulouse, Université de Toulouse, CNRS",Dynamic logic for data-aware systems: decidability results
9," University of Edinburgh, United Kingdom"," RWTH Aachen University, Germany",Reasoning about probabilities in unbounded first-order dynamical domains
10, University of Oxford, Alan Turing Institute & University of Oxford,Reformulating queries: theory and practice
11," CNRS, France and INRIA, France"," Université de Montpellier, France and INRIA, France",Ontology-mediated query answering for key-value stores
12," TU Wien, Vienna, Austria"," TU Wien, Vienna, Austria",The impact of treewidth on ASP grounding and solving
13," KU Leuven, Department of Computer Science, Leuven, Belgium"," KU Leuven, Department of Computer Science, Leuven, Belgium",Safe inductions: an algebraic study
14," KU Leuven, Department of Computer Science, Leuven, Belgium"," University of Southern Denmark, Department of Mathematics and Computer Science, Odense, Denmark",Semantics for active integrity constraints using approximation fixpoint theory
15," Univ. Simón Bolívar, Caracas, Venezuela"," Univ. Federico II, Naples, Italy",Generalized planning: non-deterministic abstractions and trajectory constraints
16," CRIStAL, CNRS & Université Lille 1, France"," School of Informatics, University of Edinburgh, UK",Making cross products and guarded ontology languages compatible
17," University of Oxford, United Kingdom and TU Berlin, Germany"," TU Berlin, Germany",On coalitional manipulation for multiwinner elections: shortlisting
