,first-author,first-author-affiliation,last-author,last-author-affiliation,title
0,Ksenia Konyushkova,EPFL,Pascal Fua,"EPFL, Switzerland",Learning Active Learning from Data
1,Nico S Gorbach,Swiss Federal Institute of Technology Zurich (ETHZ),Joachim M Buhmann,ETH Zurich,Scalable Variational Inference for Dynamical Systems
2,Keerthiram Murugesan,Carnegie Mellon University,Jaime Carbonell,CMU,Active Learning from Peers
3,David Lopez-Paz,Facebook AI Research,Marc'Aurelio Ranzato,Facebook,Gradient Episodic Memory for Continual Learning
4,Carlo Ciliberto,University College London,Massimiliano Pontil,IIT & UCL,Consistent Multitask Learning with Nonlinear Output Relations
5,Nicolas Courty,IRISA / University South Brittany,Alain Rakotomamonjy,Université de Rouen Normandie,Joint distribution optimal transportation for domain adaptation
6,Mingsheng Long,Tsinghua University,Philip S Yu,UIC,Learning Multiple Tasks with Multilinear Relationship Networks
7,Alan Luo,Stanford University,Li Fei-Fei,Stanford University & Google,Label Efficient Learning of Transferable Representations acrosss Domains and Tasks
8,Nikolay Savinov,ETH Zurich,Marc Pollefeys,ETH Zurich,Matching neural paths: transfer from recognition to correspondence search
9,Anna Volokitin,ETH Zurich,Tomaso Poggio,MIT,Do Deep Neural Networks Suffer from Crowding?
10,Maithra Raghu,Cornell University and Google Brain,Jascha Sohl-Dickstein,Google Brain,SVCCA: Singular Vector Canonical Correlation Analysis for Deep Learning Dynamics and Interpretability
11,Klaus Greff,IDSIA,Jürgen Schmidhuber,"Swiss AI Lab, IDSIA (USI & SUPSI) - NNAISENSE",Neural Expectation Maximization
12,Charles Ruizhongtai Qi,Stanford University,Leonidas Guibas,stanford.edu,PointNet++: Deep Hierarchical Feature Learning on Point Sets in a Metric Space
13,Yi-An Lai,National Taiwan University,Shou-De Lin,National Taiwan University,PRUNE: Preserving Proximity and Global Ranking for Network Embedding
14,Tatsunori Hashimoto,Stanford,John Duchi,Stanford,Unsupervised Transformation Learning via Convex Relaxations
15,Saurabh Verma,University of Minnesota Twin Cities,Zhi-Li Zhang,University of Minnesota,"Hunt For The Unique, Stable, Sparse And Fast Feature Learning On Graphs"
16,Pan Ji,NEC Labs America,Ian Reid,University of Adelaide,Deep Subspace Clustering Networks
17,Alberto Garcia Duran,NEC Europe,Mathias Niepert,NEC Labs Europe,Learning Graph Representations with Embedding Propagation
18,Yu Liu,Citadel LLC,Li Deng,Citadel,Unsupervised Sequence Classification using Sequential Output Statistics
19,Liping Liu,Tufts University,David Blei,Columbia University,Context Selection for Embedding Models
20,Haizi Yu,University of Illinois at Urbana-Champaign,Lav Varshney,University of Illinois at Urbana-Champaign,Probabilistic Rule Realization and Selection
21,Song Liu,University of Bristol,Kenji Fukumizu,Institute of Statistical Mathematics,Trimmed Density Ratio Estimation
22,Thomas Bonald,Telecom ParisTech,Richard Combes,Centrale-Supelec,A Minimax Optimal Algorithm for Crowdsourcing
23,Long Jin,University of California San Diego,Zhuowen Tu,"University of California, San Diego",Introspective Classification with Convolutional Nets
24,Feng Nan,Boston University,Venkatesh Saligrama,Boston University,Adaptive Classification for Prediction Under a Budget
25,Bo-Jian Hou,LAMDA Group,Zhi-Hua Zhou,Nanjing University,Learning with Feature Evolvable Streams
26,Bikash Joshi,University of Grenoble Alpes,Yury Maximov,Los Alamos National Laboratory and  Skolkovo Institute of Science and Technology,Aggressive Sampling for Multi-class to Binary Reduction with Applications to Text Classification
27,Rizal Fathony,University of Illinois at Chicago,Brian Ziebart,University of Illinois at Chicago,Adversarial Surrogate Losses for Ordinal Regression
28,Matthias Hein,Saarland University,Maksym Andriushchenko,Saarland University,Formal Guarantees on the Robustness of a Classifier against Adversarial Manipulation
29,Sven Peter,University Heidelberg,Boaz Nadler,Weizmann Institute of Science,Cost efficient gradient boosting
30,Guolin Ke,Microsoft Research,Tie-Yan Liu,Microsoft Research,LightGBM: A Highly Efficient Gradient Boosting Decision Tree
31,Emmanouil Platanios,Carnegie Mellon University,Eric Horvitz,Microsoft Research,Estimating Accuracy from Unlabeled Data: A Probabilistic Logic Approach
32,Paroma Varma,Stanford University,Chris Ré,Stanford,Inferring Generative Model Structure with Static Analysis
33,Zhao Song,Duke University,Lawrence Carin,Duke University,Scalable Model Selection for Belief Networks
34,Kristjan Greenewald,University of Michigan,Alexander Giessing,University of Michigan,"Time-dependent spatially varying graphical models, with application to brain fMRI data analysis"
35,Toan Tran,The University of Adelaide,Ian Reid,University of Adelaide,A Bayesian Data Augmentation Approach for Learning Deep Models
36,Kris Bouchard,Lawrence Berkeley National Laboratory,Sharmodeep Bhattacharya,Oregon State University,Union of Intersections (UoI) for Interpretable Data Driven Discovery and Prediction
37,Christoph Hofer,University of Salzburg,Andreas Uhl,University of Salzburg,Deep Learning with Topological Signatures
38,Søren Dahlgaard,University of Copenhagen,Mikkel Thorup,University of Copenhagen,Practical Hash Functions for Similarity Estimation and Dimensionality Reduction
39,Moein Falahatgar,UCSD,Vaishakh Ravindrakumar,UC San Diego,Maxing and Ranking with Few Assumptions
40,Matthäus Kleindessner,University of Tübingen,Ulrike von Luxburg,University of Tübingen,Kernel functions based on triplet comparisons
41,Feiping Nie,University of Texas Arlington,Heng Huang,University of Pittsburgh,Learning A Structured Optimal Bipartite Graph for Co-Clustering
42,Mikhail Yurochkin,IBM Research AI,nikolaos Vasiloglou,LogicBlox,Multi-way Interacting Regression via Factorization Machines
43,Alexandre Drouin,Element AI,Francois Laviolette,Université Laval,Maximum Margin Interval Trees
44,Jianbo Chen,"University of California, Berkeley",Michael Jordan,UC Berkeley,Kernel Feature Selection via Conditional Covariance Minimization
45,Dominique Perrault-Joncas,Google,James McQueen,University of Washington,Improved Graph Laplacian via Geometric Self-Consistency
46,Dongsheng Li,IBM Research - China,Stephen Chu,IBM Research - China,Mixture-Rank Matrix Approximation for Collaborative Filtering
47,Carlton Downey,Carnegie Mellon University,Boyue Li,Carnegie Mellon University,Predictive State Recurrent Neural Networks
48,Matteo Ruffini,UPC,Borja Balle,DeepMind,Hierarchical Methods of Moments
49,Guillaume Rabusseau,Université de Montréal - Mila,Joelle Pineau,McGill University,Multitask Spectral Learning of Weighted Automata
50,Yung-Kyun Noh,Seoul National University,Daniel Lee,Cornell Tech,Generative Local Metric Learning for Kernel Regression
51,Michael Hauser,Pennsylvania State University,Asok Ray,Pennsylvania State University,Principles of Riemannian Geometry  in Neural Networks
52,Ehsan Elhamifar,Northeastern University,Clara De Paolis Kaluza,Northeastern University,Subset Selection and Summarization in Sequential Data
53,Xingguo Li,Princeton University,Tuo Zhao,Georgia Tech,On Quadratic Convergence of DC Proximal Newton Algorithm in Nonconvex Sparse Learning
54,Gauri Jagatap,Iowa State University,Chinmay Hegde,Iowa State University,"Fast, Sample-Efficient Algorithms for Structured Phase Retrieval"
55,Cong Han Lim,Georgia Tech,Stephen Wright,UW-Madison,k-Support and Ordered Weighted Sparsity for Overlapping Groups: Hardness and Algorithms
56,Haotian Pang,Princeton University,Tuo Zhao,Georgia Tech,Parametric Simplex Method for Sparse Learning
57,Chris Metzler,Rice University,Richard Baraniuk,Rice University,Learned D-AMP: Principled Neural Network based Compressive Image Recovery
58,Alessandro Rudi,"École Normale Supérieure, INRIA",Lorenzo Rosasco,University of Genova- MIT - IIT,FALKON: An Optimal Large Scale Kernel Method
