,first-author,first-author-affiliation,last-author,last-author-affiliation,title
0,Zhe Li,The University of Iowa,Tianbao Yang,University of Iowa,Improved Dropout for Shallow and Deep Learning
1,Jiecao Chen,Indiana University Bloomington,Qin Zhang,Indiana University Bloomington,Communication-Optimal Distributed Clustering
2,Bowei Yan,University of Texas at Austin,Purnamrita Sarkar,U.C. Berkeley,On Robustness of Kernel Clustering
3,Rémy Degenne,Université Paris Diderot,Vianney Perchet,Ensae - Criteo Labs,Combinatorial semi-bandit with known covariance
4,Nicolò Colombo,University College London,Nikos Vlassis,Adobe Research,A posteriori error bounds for joint matrix decomposition problems
5,Mandar D Dixit,UC San Diego,Nuno Vasconcelos,UC San Diego,Object based Scene Representations using Fisher Scores of Local Subspace Projections
6,Gregory Rogez,Inria,Cordelia Schmid,Inria / Google,MoCap-guided Data Augmentation for 3D Pose Estimation in the Wild
7,Subhashini Krishnasamy,The University of Texas at Austin,Sanjay Shakkottai,The University of Texas at Aus,Regret of Queueing Bandits
8,Shashank Singh,Carnegie Mellon University,Barnabas Poczos,Carnegie Mellon University,Efficient Nonparametric Smoothness Estimation
9,Tue Herlau,Technical University of Denmark,Morten Mørup,Technical University of Denmark,Completely random measures for modelling block-structured sparse networks
10,Diane Bouchacourt,University of Oxford,Sebastian Nowozin,Microsoft Research,DISCO Nets : DISsimilarity COefficients Networks
11,Philip Bachman,Microsoft Research,Philip Bachman,Microsoft Research,"An Architecture for Deep, Hierarchical Generative Models"
12,Albert Berahas,Northwestern University,Martin Takac,Lehigh University,A Multi-Batch L-BFGS Method for Machine Learning
13,Mathieu Blondel,NTT,Masakazu Ishihata,Hokkaido University,Higher-Order Factorization Machines
14,Anh Tuan Nguyen,University of Minnesota,Zhi Yang,University of Minnesota,A Bio-inspired Redundant Sensing Architecture
15,Lev Bogolubsky,"Yandex, Moscow State University",Maksim Zhukovskii,,Learning Supervised PageRank with Gradient-Based and Gradient-Free Optimization Methods
16,Aditya Bhaskara,University of Utah,Ola Svensson,EPFL,Linear Relaxations for Finding Diverse Elements in Metric Spaces
17,Aude Genevay,Université Paris Dauphine,Francis Bach,INRIA - Ecole Normale Superieure,Stochastic Optimization for Large-scale Optimal Transport
18,Jacob D Abernethy,University of Michigan,Ruihao Zhu,MIT,"Threshold Bandits, With and Without Censored Feedback"
19,Mark Herbster,University College London,Massimiliano Pontil,IIT & UCL,Mistake Bounds for Binary Matrix Completion
20,Yusuf Aytar,MIT,Antonio Torralba,MIT,SoundNet: Learning Sound Representations from Unlabeled Video
21,Shuangfei Zhai,Binghamton University,Zhongfei (Mark) Zhang,Binghamton University,Doubly Convolutional Neural Networks
22,Christopher W Lynn,University of Pennsylvania,Daniel Lee,University of Pennsylvania,Maximizing Influence in an Ising Network: A Mean-Field Optimal Solution
23,Shahin Jabbari,University of Pennsylvania,Steven Wu,University of Pennsylvania,Learning from Rational Behavior: Predicting Solutions to Unknown Linear Programs
24,Matthew Joseph,University of Pennsylvania,Aaron Roth,University of Pennsylvania,Fairness in Learning: Classic and Contextual Bandits
25,Kun He,Huazhong University of Science and Technology,John Hopcroft,Cornell University,A Powerful Generative Model Using Random Weights for the Deep Image Representation
26,Samir Chowdhury,The Ohio State University,Zane T Smith,Ohio State University,Improved Error Bounds for Tree Representations of Metric Spaces
27,Ji Hyun Bak,Princeton University,Jonathan Pillow,Princeton University,Adaptive optimal training of animal behavior
28,Pascal Germain,Laval University,Simon Lacoste-Julien,INRIA,PAC-Bayesian Theory Meets Bayesian Inference
29,James McQueen,University of Washington,Dominique Perrault-Joncas,Google,Nearly Isometric Embedding by Relaxation
30,Yali Wan,University of Washington,Marina Meila,University of Washington,Graph Clustering: Block-models and model free results
31,Ozan Sener,Cornell University,Silvio Savarese,Stanford University,Learning Transferrable Representations for Unsupervised Domain Adaptation
32,Osbert Bastani,Stanford University,Antonio Criminisi,Microsoft Research,Measuring Neural Net Robustness with Constraints
33,Ivan Herreros,Universitat Pompeu Fabra,Paul Verschure,ICREA - Universitat Pompeu Fabra,A forward model at Purkinje cell synapses facilitates cerebellar anticipatory control
34,Cristina Savin,IST Austria,Gasper Tkacik,Institute of Science and Technology Austria,Estimating Nonlinear Neural Response Functions using GP Priors and Kronecker Methods
35,Mingbo Cai,Princeton University,Yael Niv,Princeton University,A Bayesian method for reducing bias in neural representational similarity analysis
36,Jakob Foerster,University of Oxford,Shimon Whiteson,University of Oxford,Learning to Communicate with Deep Multi-Agent Reinforcement Learning
37,Veeru Sadhanala,Carnegie Mellon University,Ryan Tibshirani,Carnegie Mellon University,"Total Variation Classes Beyond 1d: Minimax Rates, and the Limitations of Linear Smoothers"
38,Maja Rudolph,Columbia University,David Blei,Columbia University,Exponential Family Embeddings
39,Oren Anava,Technion,Kfir Y. Levy,Technion,k*-Nearest Neighbors: From Global to Local
40,Mohammad Norouzi,Google Brain,Dale Schuurmans,Google Brain & University of Alberta,Reward Augmented Maximum Likelihood for Neural Structured Prediction
41,Koosha Khalvati,University of Washington,Rajesh PN Rao,University of Washington,A Probabilistic Model of Social Decision Making based on Reward Maximization
42,T.K. Huang,Uber Advanced Technologies Center,Jerry Zhu,University of Wisconsin-Madison,Active Learning with Oracle Epiphany
43,Richard Nock,Data61 and ANU,Richard Nock,Data61 and ANU,On Regularizing Rademacher Observation Losses
44,Elad Hazan,Princeton University,Tengyu Ma,Princeton University,A Non-generative Framework and Convex Relaxations for Unsupervised Learning
45,Vikas Garg,MIT,Tommi Jaakkola,MIT,Learning Tree Structured Potential Games
46,Moritz Hardt,Google Brain,Nati Srebro,TTI-Chicago,Equality of Opportunity in Supervised Learning
47,Peter Battaglia,Google DeepMind,koray kavukcuoglu,Google DeepMind,"Interaction Networks for Learning about Objects, Relations and Physics"
48,Valentina Zantedeschi,UJM Saint-Etienne,Marc Sebban,University Jean Monnet,beta-risk: a New Surrogate Risk for Learning from Weakly Labeled Data
49,Itay Hubara,Technion,Yoshua Bengio,Université de Montréal,Binarized Neural Networks
50,Mehdi Sajjadi,University of Utah,Tolga Tasdizen,University of Utah,Regularization With Stochastic Transformations and Perturbations for Deep Semi-Supervised Learning
51,Alexey Dosovitskiy,University of Freiburg,Thomas Brox,University of Freiburg,Generating Images with Perceptual Similarity Metrics based on Deep Networks
52,Amin Jalali,University of Washington,Maryam Fazel,University of Washington,Exploiting Tradeoffs for Exact Recovery in Heterogeneous Stochastic Block Models
53,Kenyon Tsai,Harvard University,David Cox,"MIT-IBM Watson AI Lab, IBM Research",Tensor Switching Networks
54,Juho Lee,POSTECH,Seungjin Choi,POSTECH,Finite-Dimensional BFRY Priors and Variational Bayesian Inference for Power Law Models
55,Hsiang-Fu (Rofu) Yu,University of Texas at Austin,Inderjit Dhillon,UT Austin & Amazon,Temporal Regularized Matrix Factorization for High-dimensional Time Series Prediction
56,Matthew Johnson,MIT,Sandeep R Datta,Harvard Medical School,Composing graphical models with neural networks for structured representations and fast inference
57,Akshay Krishnamurthy,UMass Amherst,John Langford,Microsoft Research New York,PAC Reinforcement Learning with Rich Observations
58,Andrej Risteski,Princeton University,Yuanzhi Li,Princeton University,Algorithms and matching lower bounds for approximately-convex optimization
59,Sashank J. Reddi,Carnegie Mellon University,Alex Smola,Amazon - We are hiring!,Proximal Stochastic Methods for Nonsmooth Nonconvex Finite-Sum Optimization
60,Aaron Defazio,Ambiata,Aaron Defazio,Ambiata,A Simple Practical Accelerated Method for Finite Sums
61,Chelsea Finn,Google,Sergey Levine,University of Washington,Unsupervised Learning for Physical Interaction through Video Prediction
62,Nathan F Lepora,University of Bristol,Nathan F Lepora,University of Bristol,Threshold Learning for Optimal Decision Making
63,Hao Wang,HKUST,Dit-Yan Yeung,Hong Kong University of Science and Technology,Collaborative Recurrent Autoencoder: Recommend while Learning to Fill in the Blanks
64,Laetitia Papaxanthos,ETH Zurich,Karsten Borgwardt,ETH Zurich,Finding significant combinations of features in the presence of categorical covariates
65,Anh Nguyen,University of Wyoming,Jeff Clune,University of Wyoming,Synthesizing the preferred inputs for neurons in neural networks via deep generator networks
66,Wei Ping,UC Irvine,Alexander Ihler,UC Irvine,Learning Infinite RBMs with Frank-Wolfe
67,Edouard Pauwels,IRIT,Jean Lasserre,LAAS-CNRS,Sorting out typicality with the inverse moment matrix SOS polynomial
68,Jason Pazis,MIT,Jonathan How,MIT,Improving PAC Exploration Using the Median Of Means
69,Andrey Lokhov,Los Alamos National Laboratory,Andrey Lokhov,Los Alamos National Laboratory,Reconstructing Parameters of Spreading Models from Partial Observations
70,Xu Jia,KU Leuven,Luc V Gool,ETH Zürich,Dynamic Filter Networks
71,Stephan Zheng,Caltech,Patrick Lucey,Stats,Generating Long-term Trajectories Using Deep Hierarchical Networks
72,Dylan Hadfield-Menell,UC Berkeley,Anca Dragan,UC Berkeley,Cooperative Inverse Reinforcement Learning
73,Zhilin Yang,Carnegie Mellon University,Russ Salakhutdinov,University of Toronto,Review Networks for Caption Generation
74,Rong Zhu,Chinese Academy of Sciences,Rong Zhu,Chinese Academy of Sciences,Gradient-based Sampling: An Adaptive Importance Sampling for Least-squares
75,ALEX GEORGOGIANNIS,TECHNICAL UNIVERSITY OF CRETE,ALEX GEORGOGIANNIS,TECHNICAL UNIVERSITY OF CRETE,Robust k-means: a Theoretical Revisit
76,Corinna Cortes,Google Research,Mehryar Mohri,Google Research & Courant Institute of Mathematical Sciences,Boosting with Abstention
77,Shantanu Jain,Indiana University,Pedja Radivojac,Indiana University,Estimating the class prior and posterior from noisy positives and unlabeled data
78,JUN HAN,Dartmouth College,Qiang Liu,Dartmouth College,Bootstrap Model Aggregation for Distributed Statistical Learning
79,Maria-Florina Balcan,Carnegie Mellon University,Hongyang Zhang,CMU,Noise-Tolerant Life-Long Matrix Completion via Adaptive Sampling
80,Yangyan Li,Stanford University,Leonidas Guibas,Stanford University,FPNN: Field Probing Neural Networks for 3D Data
81,Yuxun Zhou,UC Berkeley,Costas J Spanos,"University of California, Berkeley",Causal meets Submodular: Subset Selection with Directed Information
82,Diederik Kingma,Google,Max Welling,University of Amsterdam / Qualcomm AI Research,Improving Variational Autoencoders with Inverse Autoregressive Flow
83,Keerthiram Murugesan,Carnegie Mellon University,Yiming Yang,CMU,Adaptive Smoothed Online Multi-Task Learning
84,Brian Bullins,Princeton University,Tomer Koren,Technion---Israel Inst. of Technology,The Limits of Learning with Missing Data
85,Matteo Turchetta,ETH Zurich,Andreas Krause,ETH Zurich,Safe Exploration in Finite Markov Decision Processes with Gaussian Processes
86,Kévin Degraux,Université catholique de Louva,Laurent Jacques,Université catholique de Louvain,Sparse Support Recovery with Non-smooth Loss Functions
87,Ramya Korlakai Vinayak,Caltech,Babak Hassibi,Caltech,Crowdsourced Clustering: Querying Edges vs Triangles
88,Ian Yen,University of Texas at Austin,Inderjit Dhillon,UT Austin & Amazon,Dual Decomposed Learning with Factorwise Oracle for Structural SVM of Large Output Domain
89,Kevin Ellis,MIT,Josh Tenenbaum,MIT,Sampling for Bayesian Program Learning
90,Paul Lagrée,Université Paris Sud,Olivier Cappe,,Multiple-Play Bandits in the Position-Based Model
91,Xiaojiao Mao,Nanjing University,Yu-Bin Yang,NanjingUniversity,Image Restoration Using Very Deep Convolutional Encoder-Decoder Networks with Symmetric Skip Connections
92,Scott Yang,New York University,Mehryar Mohri,Google Research & Courant Institute of Mathematical Sciences,Optimistic Bandit Convex Optimization
93,Justin Khim,University of Pennsylvania,Po-Ling Loh,Berkeley,Computing and maximizing influence in linear threshold and triggering models
94,Chaoyue Liu,The Ohio State University,Mikhail Belkin,Ohio State University,Clustering with Bregman Divergences: an Asymptotic Analysis
