,Unnamed: 0,first-author-affiliation,last-author-affiliation,title
0,0,Stanford,Hebrew University and Harvard University,short-term memory in neuronal networks through dynamical compressed sensing.
1,1,Univ of Maryland / Microsoft Research,Yahoo Labs,co-regularization based semi-supervised domain adaptation.
2,2,"University of Massachusetts, Amherst",Univ of Mass,map estimation for graphical models by likelihood maximization.
3,3,Oregon State University,Oregon State University,a computational decision theory for interactive assistants.
4,4,Brown University,Max Planck Institute for Intelligent Systems,"layered image motion with explicit occlusions, temporal consistency, and depth ordering."
5,5,Carnegie Mellon University / Bosch Center for AI,DeepLearning.AI,energy disaggregation via discriminative sparse coding.
6,6,Intel,Intel,predicting execution time of computer programs using sparse polynomial regression.
7,7,Yahoo! Inc.,Amazon,parallelized stochastic gradient descent.
8,8,Max Planck Institute for Intelligent Systems,Laval University,bootstrapping apprenticeship learning.
9,9,Vector Institute,DeepMind / University of Alberta,error propagation for approximate policy and value iteration.
10,10,UC San Diego,university of california san diego,an alternative to low-level-sychrony-based methods for speech detection.
11,11,Massachusetts Institute of Technology,Massachusetts Institute of Technology,probabilistic belief revision with structural constraints.
12,12,University of Tübingen,University of Tübingen,getting lost in space: large sample analysis of the resistance distance.
13,13,UCLA,UCLA,functional form of motion priors in human motion perception.
14,14,University of Sussex and HSE,NICTA,multitask learning without label correspondences.
15,15,University of Tokyo,The University of Tokyo,deterministic single-pass algorithm for lda.
16,16,FIAS,TU Berlin,the maximal causes of natural scenes are edge filters.
17,17,DeepMind,DeepMind,monte-carlo planning in large pomdps.
18,18,UC San Diego,UC San Diego,boosting classifier cascades.
19,19,Alibaba group,Tsinghua University,learning kernels with radiuses of minimum enclosing balls.
20,20,Southern Illinois University,Tsinghua University,sufficient conditions for generating group level sparsity in a robust minimax framework.
21,21,Microsoft Research,Microsoft Research Asia,a new probabilistic model for rank aggregation.
22,22,Centrum Wiskunde & Informatica (CWI),Centrum Wiskunde & Informatica (CWI),double q-learning.
23,23,TU Berlin,TU Berlin,layer-wise analysis of deep networks with gaussian kernels.
24,24,Google Brain,Google & University of Toronto,phone recognition with the mean-covariance restricted boltzmann machine.
25,25,Cornell University,Columbia University,sparse inverse covariance selection via alternating linearization methods.
