,first-author-affiliation,last-author-affiliation,title
0," Universidad Carlos III de Madrid, Leganés, Spain"," Universidad Carlos III de Madrid, Leganés, Spain",Revisiting regression in planning
1," Department of Computer Science, Linköping University, Linköping, Sweden"," Department of Computer Science, Linköping University, Linköping, Sweden",Bridging the gap between refinement and heuristics in abstraction
2," Departamento de Computación, Universidad Simón Bolívar, Caracas, Venezuela"," Departamento de Computación, Universidad Simón Bolívar, Caracas, Venezuela",An admissible heuristic for SAS+ planning obtained from the state equation
3," Universidad Simón Bolívar, Caracas, Venezuela"," ICREA & Universitat Pompeu Fabra, Barcelona, Spain",Causal belief decomposition for planning with sensing: completeness results and practical approximation
4," Cheriton School of Computer Science, University of Waterloo, Waterloo, Ontario, Canada"," Cheriton School of Computer Science, University of Waterloo, Waterloo, Ontario, Canada",Isomorph-free branch and bound search for finite state controllers
5, Australian National University & NICTA Optimisation Research Group, Australian National University & NICTA Optimisation Research Group,Optimal delete-relaxed (and semi-relaxed) planning with conditional effects
6," Department of Computer Science, National University of Singapore, Republic of Singapore"," Department of Computer Science, National University of Singapore, Republic of Singapore",Interactive POMDP lite: towards practical planning to predict and exploit intentions for interacting with self-interested agents
7," Université de Sherbrooke, Sherbrooke, QC, Canada"," Defence R&D Canada-Valcartier, Québec, QC, Canada",Controlling the hypothesis space in probabilistic plan recognition
8," Microsoft Research, Redmond, WA"," Microsoft Research, Redmond, WA",Lifelong learning for acquiring the wisdom of the crowd
9," INRIA Saclay, LRI Paris-Sud University, Orsay, France"," Thales Research & Technology, Palaiseau, France",Pareto-based multiobjective AI planning
10," Dept. of Computer Science, University of Toronto"," Dept. of Computer Science, University of Toronto",Flexible execution of partial order plans with temporal constraints
11," University of Alberta, Edmonton, Alberta, Canada"," University of Alberta, Edmonton, Alberta, Canada",Towards a second generation random walk planner: an experimental exploration
12," Sapienza University of Rome, Rome, Italy"," ICREA & Univ. Pompeu Fabra, Barcelona, Spain",Fair LTL synthesis for non-deterministic systems using strong cyclic planners
13," School of Computer Science, University of Massachusetts, Amherst, MA"," General Motors, Advanced Technical Center, Israel",Fault-tolerant planning under uncertainty
14," Universität Basel, Basel, Switzerland"," Universität Basel, Basel, Switzerland",Getting the most out of pattern databases for classical planning
15," Department of Information and Computer Science, Aalto University, Finland"," Optimisation Research Group, NICTA, Australia",Computing upper bounds on lengths of transition sequences
16," Department of Informatics, School of Computing and Engineering, University of Huddersfield, United Kingdom"," Department of Informatics, School of Computing and Engineering, University of Huddersfield, United Kingdom",Exploring knowledge engineering strategies in designing and modelling a road traffic accident management domain
17," Department of Computer Science, Institute of Systems Research and Institute for Advanced Computer Studies, University of Maryland at College Park"," Department of Computer Science, Institute of Systems Research and Institute for Advanced Computer Studies, University of Maryland at College Park",The GoDeL planning system: a more perfect union of domain-independent and hierarchical planning
18," The Australian National University & NICTA Optimisation Research Group, Canberra, Australia"," The Australian National University & NICTA Optimisation Research Group, Canberra, Australia",Plan quality optimisation via block decomposition
19," Planning and Learning Group, Universidad Carlos III de Madrid, Leganés, Madrid, Spain"," Planning and Learning Group, Universidad Carlos III de Madrid, Leganés, Madrid, Spain",Symbolic merge-and-shrink for cost-optimal planning
20," Onera, The French Aerospace Lab, Toulouse, France"," Onera, The French Aerospace Lab, Toulouse, France",Problem splitting using heuristic search in landmark orderings
21," School of Computer Science, University of Birmingham, Birmingham, UK"," School of Computer Science, University of Birmingham, Birmingham, UK",Run-time improvement of point-based POMDP policies
22," UPMC, LIP6, France"," University of Caen, France",Interactive value iteration for Markov decision processes with unknown rewards
23," Department of Software and Computer Technology, Delft University of Technology, Delft, The Netherlands"," Department of Software and Computer Technology, Delft University of Technology, Delft, The Netherlands",Flexibility and decoupling in the simple temporal problem
24," Massachusetts Institute of Technology, Computer Science and Artificial Intelligence Laboratory, Cambridge, MA"," Massachusetts Institute of Technology, Computer Science and Artificial Intelligence Laboratory, Cambridge, MA",Continuously relaxing over-constrained conditional temporal problems through generalized conflict learning and resolution
25," Australian National University & NICTA, Canberra, Australia"," University of Sao Paulo, Sao Paulo, Brazil",Robust optimization for hybrid MDPs with state-dependent noise
26," Dept. of Computer Science, Sun Yat-sen University, Guangzhou, China"," Dept. of Computer Science and Engineering, Arizona State University",Action-model acquisition from noisy plan traces
27," Dept. of Computer Science, Sun Yat-sen University, Guangzhou, China"," Dept. of Computer Science and Engineering, Arizona State University",Refining incomplete planning domain models through plan traces
